Formulation_ID,분류,제품명,후보URL수,시도URL수,채택URL,채택파일,제품명일치,성분일치수,문서형식,판정,경로,사유,기존URL
EyeIrritation6pack_PID1013,다른제품문서,UBI 4389,1,0,,,,0,,미발견,,검증 통과 문서 없음 — documents1.worldbank.org: 제품명 없음 · SDS·라벨 형식 아님 | 아카이브 조회 HTTP 503 · [아카이브 재조회] 검증 통과 문서 없음 — 아카이브 조회 HTTP 503 · [아카이브 재조회] 검증 통과 문서 없음 — 아카이브 조회실패(ReadTimeout),https://documents1.worldbank.org/curated/en/344361468752976836/txt/multi0page.txt
EyeIrritation6pack_PID1024,대체근거문서,V-10116 3.7 FS,1,0,,,,0,,미발견,,검증 통과 문서 없음 — msdsdigital.com: HTTP 403 | 아카이브 조회실패(ReadTimeout) · [아카이브 재조회] 검증 통과 문서 없음 — 아카이브에 스냅샷 없음 · [아카이브 재조회] 검증 통과 문서 없음 — 아카이브에 스냅샷 없음,https://msdsdigital.com/system/files/0372Rev3%20METLOCK%20MSDS.pdf
EyeIrritation6pack_PID1032,다른제품문서,VCP-01,1,0,,,,0,,미발견,,검증 통과 문서 없음 — nmu-mi.newlook.safecollegessds.com: 제품명 없음 · 성분 일치 0 | 아카이브 조회 HTTP 503 · [아카이브 재조회] 검증 통과 문서 없음 — 아카이브 조회실패(ReadTimeout),http://nmu-mi.newlook.safecollegessds.com/document/repo/9f0e5cca-a094-4c40-afa2-c4296ff77e4e
EyeIrritation6pack_PID1055,대체근거문서,XDE-PRDX,1,0,,,,0,,미발견,,검증 통과 문서 없음 — www.merckmillipore.com: HTTP 403 | 아카이브 조회 HTTP 503 · [아카이브 재조회] 검증 통과 문서 없음 — 아카이브 조회실패(ReadTimeout),https://www.merckmillipore.com/Web-BR-Site/pt_BR/-/BRL/ShowDocument-File?ProductSKU=EMD_BIO-530746&DocumentType=MSD&DocumentId=530746_SDS_IE_EN.PDF&DocumentUID=357239148&Language=EN&Country=IE&Origin=null
EyeIrritation6pack_PID1059,대체근거문서,Ygiene 206,1,1,https://quiplabs.com/wp-content/uploads/GHS-SDS-Ygiene-206-Sterilant.pdf,문서/EyeIrritation6pack_PID1059__재수집.pdf,예,2,SDS·라벨 표지 있음,발견,원URL,제품명 낱말일치 · 성분 2개 일치 · SDS·라벨 형식 (원URL),https://quiplabs.com/wp-content/uploads/GHS-SDS-Ygiene-206-Sterilant.pdf
EyeIrritation6pack_PID1062,다른제품문서,Zoxamide(95_100%),1,0,,,,0,,미발견,,검증 통과 문서 없음 — www.chemicalbook.com: HTTP 503 | 아카이브 조회 HTTP 503 · [아카이브 재조회] 검증 통과 문서 없음 — 아카이브 조회실패(ReadTimeout),https://www.chemicalbook.com/msds/oxamide.pdf
EyeIrritation6pack_PID195,대체근거문서,Captan 80 WDG,1,0,,,,0,,미발견,,검증 통과 문서 없음 — www.adama.com: HTTP 403 | 아카이브 조회 HTTP 503 · [아카이브 재조회] 검증 통과 문서 없음 — 아카이브에 스냅샷 없음,https://www.adama.com/uk/sites/adama_uk/files/product-documents/2025-03/captan80wdg-safety-data-sheet.pdf
EyeIrritation6pack_PID241,대체근거문서,Clincher CA,1,0,,,,0,,미발견,,검증 통과 문서 없음 — www.adama.com: HTTP 403 | 아카이브 조회 HTTP 503 · [아카이브 재조회] 검증 통과 문서 없음 — 아카이브에 스냅샷 없음,https://www.adama.com/south-africa/sites/adama_south_africa/files/downloads/clincher_s_sds_v1.0_20190315.pdf
EyeIrritation6pack_PID253,다른제품문서,Co-Ral 25% Wettable Powder,1,0,,,,0,,미발견,,검증 통과 문서 없음 — www3.epa.gov: 제품명 없음 | 아카이브 조회실패(ReadTimeout) · [아카이브 재조회] 검증 통과 문서 없음 — 아카이브에 스냅샷 없음,https://www3.epa.gov/pesticides/chem_search/ppls/011556-00023-20020910.pdf
EyeIrritation6pack_PID28,대체근거문서,Abamectin B1a,1,1,,,,0,,미발견,,검증 통과 문서 없음 — www.adama.com: HTTP 403 | 아카이브 조회 HTTP 503 · [아카이브 재조회] 검증 통과 문서 없음 — web.archive.org: 제품명 없음 | 아카이브 스냅샷 0건도 검증 미통과,https://www.adama.com/israel-mcw/sites/adama_israel_makhteshim/files/product-documents/2023-11/invert%20abamectin%2018%20sds%202017_0.pdf
