Formulation_ID,Formulation_Name,Audit_Status,recommendation,priority,current_n_cas,current_n_smiles,current_n_ing,Formulation_Ingredients_CAS,Formulation_Ingredients_SMILES,Formulation_Ingredients_PubChem_CID,Audit_Issues
MIX1035,Geranium oil Moroccan,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,8000-46-2,,,
MIX743,BASF MCPP-P,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,1,1,1929-29-9,,,
MIX1016,Ho leaf oil,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,8022-91-1,,,
MIX1017,Lemon oil distilled,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,8008-56-8,,,
MIX1018,Lemon oil expressed,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,8008-56-8,,,
MIX1027,Methyl ester of rosin (partially hydrogenated),MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,8050-15-5,,,
MIX1033,"Fir needle oil, Canadian",MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,8021-29-2,,,
MIX742,Apogee,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,7732-18-5,,,
MIX1040,Genet absolute,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,8023-80-1 | 90131-21-8,,,
MIX1062,Lavender oil,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,90063-37-9,,,
MIX815,Soap 20/80 coconut oil/tallow,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,67762-26-9,,,
MIX1077,Fluorinated graphite,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,51311-17-2,,,
EyeIrritation6pack_PID332,DP210 Professional Insecticide,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,1,1,52918-63-5,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,40585,
EyeIrritation6pack_PID291,Cyproconazole,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,1,1,94361-06-5,CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O,86132,
MIX886,Violet leaf absolute,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,90147-36-7 | 8024-08-6,,,
MIX1059,Ale oil,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,64742-54-7 | 72623-87-1 | 64742-55-8,,,
MIX1011,Tangelo oil,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,8016-85-1 | 93686-22-7,,,
MIX899,Castoreum,MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,0,0,64-17-5,,,
EyeIrritation6pack_PID10,"2,4-DP [(2,4-Dichlorophenoxy) propionic acid]",MATCH,RECOVER_CAS_HIGH_CONFIDENCE,0,0,1,1,120-36-5,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,8427,
MIX1046,Wintergreen oil,EVIDENCE_WEAK,RECOVER_CAS_REVIEW,1,0,0,0,68917-75-9,,,WORKBOOK_CAS_FOUND_OUTSIDE_SECTION_3
MIX1026,Geranium oil bourbon,EVIDENCE_WEAK,RECOVER_CAS_REVIEW,1,0,20,20,8000-46-2 | 90082-51-2 | 106-22-9 | 106-24-1 | 105-85-1 | 491-07-6 | 105-86-2 | 87-44-5 | 78-70-6 | 5392-40-5 | 99-87-6 | 1139-30-6 | 106-25-2 | 10458-14-7 | 150-84-5 | 105-87-3 | 80-56-8 | 98-55-5 | 1365-19-1 | 106-23-0 | 127-91-3 | 5989-27-5,,8842 | 637566 | 7778 | 6986 | 5282109 | 5281515 | 6549 | 638011 | 7463 | 1742210 | 643820 | 6986 | 9017 | 1549026 | 6654 | 17100 | 22310 | 7794 | 14896 | 440917,WORKBOOK_CAS_FOUND_OUTSIDE_SECTION_3
MIX1028,"Cinnamon leaf oil, Ceylon",EVIDENCE_WEAK,RECOVER_CAS_REVIEW,1,0,0,0,8015-91-6 | 84649-98-9,,,SECTION_3_NOT_FOUND
MIX1031,Eucalyptus oil,EVIDENCE_WEAK,RECOVER_CAS_REVIEW,1,0,0,0,8000-48-4,,,SECTION_3_NOT_FOUND
MIX1036,Pimenta leaf oil,EVIDENCE_WEAK,RECOVER_CAS_REVIEW,1,0,0,0,93-15-2,,,SECTION_3_NOT_FOUND
