endpoint,label_source,n_rows,n_labeled,n_pos,pos_rate,n_cat_unique,cats
eye,__NaN(라벨없음)__,570,0,0,,0,
eye,ntp_measured,608,608,390,0.6414,4,1;2A;2B;NC
eye,phase1_sds,31,31,6,0.1935,3,2A;2B;NC
eye,sds_2nd,135,135,112,0.8296,4,1;2A;2B;NC
eye,sds_2nd_sec11,150,150,37,0.2467,5,1;2;2A;2B;NC
eye,sds_v1,181,181,181,1.0,4,1;2;2A;2B
skin,__NaN(라벨없음)__,683,0,0,,0,
skin,ntp_measured,544,544,100,0.1838,4,1;2A;2B;NC
skin,phase1_sds,31,31,6,0.1935,2,2;NC
skin,sds_2nd,123,123,99,0.8049,4,1;2;3;NC
skin,sds_2nd_sec11,137,137,16,0.1168,5,1;1B;2;3;NC
skin,sds_v1,157,157,157,1.0,4,1;1B;2;3
sens,__NaN(라벨없음)__,1080,0,0,,0,
sens,phase1_sds,29,29,7,0.2414,2,1;NC
sens,sds_2nd,198,198,170,0.8586,2,1;NC
sens,sds_2nd_sec11,184,184,25,0.1359,4,1;1A;1B;NC
sens,sds_v1,184,184,184,1.0,2,1;1B
