Formulation_ID,endpoint,reason
Cancer_PID_99,eye,sds_grade_status=negative but y is NaN
MIX1002,eye,sds_grade_status=negative but y is NaN
MIX1004,eye,sds_grade_status=negative but y is NaN
MIX1010,eye,sds_grade_status=negative but y is NaN
MIX1023,eye,sds_grade_status=negative but y is NaN
MIX1024,eye,sds_grade_status=negative but y is NaN
MIX1047,eye,sds_grade_status=negative but y is NaN
MIX116,eye,sds_grade_status=negative but y is NaN
MIX194,eye,sds_grade_status=negative but y is NaN
MIX227,eye,sds_grade_status=negative but y is NaN
MIX280,eye,sds_grade_status=negative but y is NaN
MIX294,eye,sds_grade_status=negative but y is NaN
MIX339,eye,sds_grade_status=negative but y is NaN
MIX377,eye,sds_grade_status=negative but y is NaN
MIX383,eye,sds_grade_status=negative but y is NaN
MIX494,eye,sds_grade_status=negative but y is NaN
MIX517,eye,sds_grade_status=negative but y is NaN
MIX545,eye,sds_grade_status=negative but y is NaN
MIX547,eye,sds_grade_status=negative but y is NaN
MIX575,eye,sds_grade_status=negative but y is NaN
MIX577,eye,sds_grade_status=negative but y is NaN
MIX586,eye,sds_grade_status=negative but y is NaN
MIX587,eye,sds_grade_status=negative but y is NaN
MIX594,eye,sds_grade_status=negative but y is NaN
MIX612,eye,sds_grade_status=negative but y is NaN
MIX618,eye,sds_grade_status=negative but y is NaN
MIX621,eye,sds_grade_status=negative but y is NaN
MIX632,eye,sds_grade_status=negative but y is NaN
MIX645,eye,sds_grade_status=negative but y is NaN
MIX649,eye,sds_grade_status=negative but y is NaN
MIX653,eye,sds_grade_status=negative but y is NaN
MIX659,eye,sds_grade_status=negative but y is NaN
MIX668,eye,sds_grade_status=negative but y is NaN
MIX67,eye,sds_grade_status=negative but y is NaN
MIX672,eye,sds_grade_status=negative but y is NaN
MIX704,eye,sds_grade_status=negative but y is NaN
MIX706,eye,sds_grade_status=negative but y is NaN
MIX708,eye,sds_grade_status=negative but y is NaN
MIX758,eye,sds_grade_status=negative but y is NaN
MIX794,eye,sds_grade_status=negative but y is NaN
MIX809,eye,sds_grade_status=negative but y is NaN
MIX811,eye,sds_grade_status=negative but y is NaN
MIX823,eye,sds_grade_status=negative but y is NaN
MIX846,eye,sds_grade_status=negative but y is NaN
MIX849,eye,sds_grade_status=negative but y is NaN
