Formulation_ID,raw_item,ph_lo,ph_hi,ph_basis,ph_basis_pct,strong_acid_gate,strong_base_gate
EyeIrritation6pack_PID100,"5.5-7.5 at 10% dilution in deionized water, 23 C (pH)",5.5,7.5,diluted,10.0,False,False
EyeIrritation6pack_PID1002,5.59 at 25 C (pH),5.59,5.59,other_condition,,False,False
EyeIrritation6pack_PID101,9.0 - 10.0 at 1% in deionized water at 23 C (pH),9.0,10.0,diluted,1.0,False,False
EyeIrritation6pack_PID1011,4.6 at 1% solution (pH),4.6,4.6,diluted,1.0,False,False
EyeIrritation6pack_PID1012,7 at 1% solution (pH),7.0,7.0,diluted,1.0,False,False
EyeIrritation6pack_PID1016,6.9-7.8 (pH),6.9,7.8,unspecified,,False,False
EyeIrritation6pack_PID1018,6 - 8.5 (pH),6.0,8.5,unspecified,,False,False
EyeIrritation6pack_PID1021,4.4-4.75 (pH),4.4,4.75,unspecified,,False,False
EyeIrritation6pack_PID1024,5.33 at 25 C at 5% suspension (pH),5.33,5.33,diluted,5.0,False,False
EyeIrritation6pack_PID1025,"8 - 9 at 25 C, 1% w/v in water (pH)",8.0,9.0,diluted,1.0,False,False
EyeIrritation6pack_PID1026,4.0 - 7.0 at 100% (pH),4.0,7.0,neat,100.0,False,False
EyeIrritation6pack_PID1027,6.6 at 1% suspension (pH),6.6,6.6,diluted,1.0,False,False
EyeIrritation6pack_PID1028,"8.85 at 1% solution, 21.3 C (pH)",8.85,8.85,diluted,1.0,False,False
EyeIrritation6pack_PID1029,"4.3 - 4.8 at 6.77%, 23 C, deionized water (pH)",4.3,4.8,diluted,6.77,False,False
EyeIrritation6pack_PID103,"6.6 at 1% solution in deionized water, 25 C (pH)",6.6,6.6,diluted,1.0,False,False
EyeIrritation6pack_PID1031,3.9 at 1% emulsion (pH),3.9,3.9,diluted,1.0,False,False
EyeIrritation6pack_PID1033,"3 - 6 at 1% dilution, 23 C, deionized water (pH)",3.0,6.0,diluted,1.0,False,False
EyeIrritation6pack_PID1037,3.98 at 1% dispersion (pH),3.98,3.98,diluted,1.0,False,False
EyeIrritation6pack_PID104,"5 - 7 at 1% aqueous solution, 25 C (pH)",5.0,7.0,diluted,1.0,False,False
EyeIrritation6pack_PID1040,5 - 9 at 1% concentration (pH),5.0,9.0,diluted,1.0,False,False
EyeIrritation6pack_PID1042,"4.0 - 8.0 at 1% w/v, 20-25 C (pH)",4.0,8.0,diluted,1.0,False,False
EyeIrritation6pack_PID1045,7 (pH),7.0,7.0,unspecified,,False,False
EyeIrritation6pack_PID1048,8.8 (pH),8.8,8.8,unspecified,,False,False
EyeIrritation6pack_PID1053,7.29 (pH),7.29,7.29,unspecified,,False,False
EyeIrritation6pack_PID1056,approx 6 - 8 at 20 C (pH),6.0,8.0,other_condition,,False,False
EyeIrritation6pack_PID1059,4.0 - 5.0 at 10% soln (pH),4.0,5.0,diluted,10.0,False,False
EyeIrritation6pack_PID1060,"approx 6 - 8 at 1% m , 20 C (pH)",6.0,8.0,diluted,1.0,False,False
EyeIrritation6pack_PID115,5 - 9 at 1% w/v (pH),5.0,9.0,diluted,1.0,False,False
EyeIrritation6pack_PID120,"approx. 6 - 8 at 20 C, undiluted substance (pH)",6.0,8.0,neat,100.0,False,False
EyeIrritation6pack_PID121,"6.5 - 8.0 at 100%, 23 C (pH)",6.5,8.0,neat,100.0,False,False
