Formulation_ID,ingredient_name,cas,smiles,smiles_valid,smiles_canonical,structure_completeness,missing_reason
Cancer_PID_1057,Xylene,1330-20-7,Cc1cccc(C)c1,True,Cc1cccc(C)c1,complete,present
Cancer_PID_1057,Ethylbenzene,100-41-4,CCc1ccccc1,True,CCc1ccccc1,complete,present
Cancer_PID_1057,Cumene,98-82-8,CC(C)c1ccccc1,True,CC(C)c1ccccc1,complete,present
Cancer_PID_108,Lamivudine,134678-17-4,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,True,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,complete,present
Cancer_PID_12,3'-Azido-3'-Deoxythymidine,,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,True,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,complete,present
Cancer_PID_12,Lamivudine,,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,True,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,complete,present
Cancer_PID_13,3'-Azido-3'-Deoxythymidine,,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,True,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,complete,present
Cancer_PID_13,Lamivudine,,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,True,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,complete,present
Cancer_PID_13,Nelfinavir Mesylate,,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,True,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,complete,present
Cancer_PID_14,3'-Azido-3'-Deoxythymidine,,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,True,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,complete,present
Cancer_PID_14,Lamivudine,,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,True,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,complete,present
