Formulation_ID,pred_rule,category,eye_n_src,skin_n_src,sens_n_src,endpoints_at_risk
EyeIrritation6pack_PID1039,composition_mismatch,genuine_multi_source_risk,2,0,0,eye
EyeIrritation6pack_PID1062,composition_mismatch,genuine_multi_source_risk,4,3,0,eye;skin
EyeIrritation6pack_PID118,composition_mismatch,genuine_multi_source_risk,3,0,2,eye;sens
EyeIrritation6pack_PID222,composition_mismatch,genuine_multi_source_risk,2,1,0,eye
EyeIrritation6pack_PID28,composition_mismatch,genuine_multi_source_risk,2,1,1,eye
EyeIrritation6pack_PID29,composition_mismatch,genuine_multi_source_risk,2,1,1,eye
EyeIrritation6pack_PID376,composition_mismatch,genuine_multi_source_risk,2,0,1,eye
EyeIrritation6pack_PID462,composition_mismatch,genuine_multi_source_risk,1,0,2,sens
EyeIrritation6pack_PID553,composition_mismatch,genuine_multi_source_risk,3,2,2,eye;skin;sens
EyeIrritation6pack_PID691,composition_mismatch,genuine_multi_source_risk,3,2,0,eye;skin
EyeIrritation6pack_PID745,composition_mismatch,genuine_multi_source_risk,1,0,3,sens
EyeIrritation6pack_PID80,composition_mismatch,genuine_multi_source_risk,2,1,1,eye
EyeIrritation6pack_PID811,composition_mismatch,genuine_multi_source_risk,4,3,3,eye;skin;sens
EyeIrritation6pack_PID863,composition_mismatch,genuine_multi_source_risk,3,0,0,eye
EyeIrritation6pack_PID936,composition_mismatch,genuine_multi_source_risk,2,1,0,eye
MIX13,composition_mismatch,genuine_multi_source_risk,1,2,1,skin
MIX142,composition_mismatch,genuine_multi_source_risk,1,4,0,skin
MIX15,composition_mismatch,genuine_multi_source_risk,1,2,1,skin
MIX156,composition_mismatch,genuine_multi_source_risk,3,3,0,eye;skin
MIX212,composition_mismatch,genuine_multi_source_risk,0,1,2,sens
MIX275,composition_mismatch,genuine_multi_source_risk,2,3,2,eye;skin;sens
MIX299,composition_mismatch,genuine_multi_source_risk,1,2,0,skin
MIX345,composition_mismatch,genuine_multi_source_risk,1,2,3,skin;sens
MIX347,composition_mismatch,genuine_multi_source_risk,2,2,2,eye;skin;sens
MIX395,composition_mismatch,genuine_multi_source_risk,3,4,3,eye;skin;sens
MIX42,composition_mismatch,genuine_multi_source_risk,2,0,0,eye
MIX430,composition_mismatch,genuine_multi_source_risk,3,4,3,eye;skin;sens
MIX439,composition_mismatch,genuine_multi_source_risk,2,1,0,eye
MIX445,composition_mismatch,genuine_multi_source_risk,3,4,1,eye;skin
MIX459,composition_mismatch,genuine_multi_source_risk,1,2,0,skin
MIX488,composition_mismatch,genuine_multi_source_risk,2,2,2,eye;skin;sens
MIX491,composition_mismatch,genuine_multi_source_risk,2,1,0,eye
MIX540,composition_mismatch,genuine_multi_source_risk,3,2,1,eye;skin
MIX549,composition_mismatch,genuine_multi_source_risk,3,4,1,eye;skin
MIX564,composition_mismatch,genuine_multi_source_risk,3,4,3,eye;skin;sens
MIX583,composition_mismatch,genuine_multi_source_risk,3,3,3,eye;skin;sens
MIX584,composition_mismatch,genuine_multi_source_risk,3,3,1,eye;skin
MIX598,composition_mismatch,genuine_multi_source_risk,1,0,2,sens
MIX643,composition_mismatch,genuine_multi_source_risk,0,0,2,sens
MIX658,composition_mismatch,genuine_multi_source_risk,2,2,0,eye;skin
MIX660,composition_mismatch,genuine_multi_source_risk,2,2,2,eye;skin;sens
MIX663,composition_mismatch,genuine_multi_source_risk,1,2,2,skin;sens
MIX680,composition_mismatch,genuine_multi_source_risk,0,0,2,sens
MIX696,composition_mismatch,genuine_multi_source_risk,2,1,0,eye
MIX70,composition_mismatch,genuine_multi_source_risk,3,2,3,eye;skin;sens
MIX701,composition_mismatch,genuine_multi_source_risk,2,2,1,eye;skin
