Formulation_ID,product_name,n_y_conflict,y_conflict_rule,y_preferred,pred_rule,pred_preferred,pred_evidence
Cancer_PID_1057,Xylenes (Mixed),0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_108,AZT; 3TC,0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_12,3'-Azido-3'-Deoxythymidine (AZT); Lamivudine (3TC),0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_13,3'-Azido-3'-Deoxythymidine (AZT); Lamivudine (3TC); Nelfinavir Mesylate (NFV),0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_14,3'-Azido-3'-Deoxythymidine (AZT); Lamivudine (3TC); Nevirapine (NVP),0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_141,Beta-nitrostyrene; Styrene,0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_15,"3'-Azido-3'-deoxythymidine; 2',3'-Dideoxycytidine",0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_159,Bis(2-chloro-1-methylethyl)ether (~70); 2-Chloro-1-methylethyl(2-chloropropyl)ether (~30),0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_16,"3'-Azido-3'-deoxythymidine; 2',3'-Dideoxyinosine (AIDS Initiative)",0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_6,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin; 1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_9,"2,4-Dinitrotoluene; 2,6-Dinitrotoluene",0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_957,TEF evaluation (Binary mixture; PCB 126/PCB 153),0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_958,TEF evaluation (Dioxin mixture),0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_959,TEF Evaluation (PCB Mixture; PCB 126/PCB 118),0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_97,"Asbestos, amosite; dimethyl hydrazine",0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_98,"Asbestos, chrysotile(IR); dimethyl hydrazine",0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
Cancer_PID_99,Aspirin; Phenacetin; Caffeine,0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
EyeIrritation6pack_PID10,"2,4-DP [(2,4-Dichlorophenoxy) propionic acid]",0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
EyeIrritation6pack_PID100,Atlantis Herbicide,0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
EyeIrritation6pack_PID1000,Tri-allate (#N/A),0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
EyeIrritation6pack_PID1001,Trifloxysulfuron-sodium,0,,,product_identical,sds,제품명 일치 · 활성성분 조성 일치
EyeIrritation6pack_PID1002,Triflurex HFP,0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
EyeIrritation6pack_PID1004,Triticonazole Fungicide,0,,,no_composition_data,ntp,CAS 없음 — 조성 비교 불가
