sheet,column,role,dtype,n_notna,fill_pct,in_X,sds_coderived,feature_role,exclude_by_default
formulation,Formulation_ID,id,str,1675,100.0,True,False,id,False
formulation,product_name,id,str,1675,100.0,False,False,id,False
formulation,formulation_type,feature,str,353,21.07,False,False,chemistry,False
formulation,formulation_code,feature,str,199,11.88,False,False,chemistry,False
formulation,formulation_type_ko,feature,str,199,11.88,False,False,chemistry,False
formulation,formulation_src,provenance,str,353,21.07,False,False,provenance,False
formulation,n_ingredients,feature,int64,1675,100.0,True,False,ambiguous,True
formulation,ingredient_names,feature,str,1482,88.48,False,False,chemistry,False
formulation,ingredient_cas,feature,str,1256,74.99,False,False,chemistry,False
formulation,ingredient_pct,feature,str,982,58.63,False,False,chemistry,False
formulation,ingredient_pct_value,feature,str,982,58.63,False,False,chemistry,False
formulation,ingredient_pct_kind,feature,str,982,58.63,False,False,chemistry,False
formulation,n_pct_known,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,pct_sum_known,feature,float64,961,57.37,True,False,ambiguous,True
formulation,ingredient_smiles,feature,str,1450,86.57,False,False,chemistry,False
formulation,n_smiles,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,n_structural_na,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,structure_completeness,feature,str,1675,100.0,False,False,chemistry,False
formulation,structure_src,provenance,str,1450,86.57,False,False,provenance,False
formulation,n_smiles_ice,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,smiles_kinds,feature,str,1675,100.0,False,False,chemistry,False
formulation,smiles_sources,feature,str,1450,86.57,False,False,chemistry,False
formulation,align_ok,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,n_ing_align_bad,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,y_epa_eye,label_source,float64,608,36.3,False,False,label_source,False
formulation,y_epa_eye_roman,label_source,str,608,36.3,False,False,label_source,False
formulation,y_epa_eye_src,label_source,str,608,36.3,False,False,label_source,False
formulation,y_epa_skin,label_source,float64,544,32.48,False,False,label_source,False
formulation,y_epa_skin_roman,label_source,str,544,32.48,False,False,label_source,False
formulation,y_epa_skin_src,label_source,str,544,32.48,False,False,label_source,False
formulation,y_epa_n_endpoints,label_source,int64,1675,100.0,False,False,label_source,False
formulation,has_epa_target,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,cat_eye_epa,label_source,float64,787,46.99,False,False,label_source,False
formulation,cat_eye_epa_roman,label_source,str,787,46.99,False,False,label_source,False
formulation,cat_eye_ghs,label_source,str,789,47.1,False,False,label_source,False
formulation,cat_eye_src,label_source,str,789,47.1,False,False,label_source,False
formulation,cat_skin_epa,label_source,float64,570,34.03,False,False,label_source,False
formulation,cat_skin_epa_roman,label_source,str,570,34.03,False,False,label_source,False
formulation,cat_skin_ghs,label_source,str,701,41.85,False,False,label_source,False
formulation,cat_skin_src,label_source,str,701,41.85,False,False,label_source,False
formulation,cat_sens_ghs,label_source,str,184,10.99,False,False,label_source,False
formulation,cat_sens_src,label_source,str,184,10.99,False,False,label_source,False
formulation,n_ing_active,feature,int64,1675,100.0,True,False,ambiguous,True
formulation,n_ing_total_known,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,n_ing_missing,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,active_pct_sum,feature,float64,1350,80.6,True,False,ambiguous,True
formulation,tox_eye_irritation,label_source,str,564,33.67,False,False,label_source,False
formulation,tox_eye_corrosion,label_source,str,564,33.67,False,False,label_source,False
formulation,tox_skin_irritation,label_source,str,564,33.67,False,False,label_source,False
formulation,tox_skin_corrosion,label_source,str,564,33.67,False,False,label_source,False
formulation,tox_skin_sensitization,label_source,str,564,33.67,False,False,label_source,False
formulation,tox_eye_irritation_cat,label_source,str,132,7.88,False,False,label_source,False
formulation,tox_eye_corrosion_cat,label_source,str,104,6.21,False,False,label_source,False
formulation,tox_skin_irritation_cat,label_source,str,137,8.18,False,False,label_source,False
formulation,tox_skin_corrosion_cat,label_source,str,43,2.57,False,False,label_source,False
formulation,tox_skin_sensitization_cat,label_source,str,167,9.97,False,False,label_source,False
formulation,tox_eye_irritation_h,label_source,str,95,5.67,False,False,label_source,False
formulation,tox_eye_corrosion_h,label_source,str,64,3.82,False,False,label_source,False
formulation,tox_skin_irritation_h,label_source,str,123,7.34,False,False,label_source,False
formulation,tox_skin_corrosion_h,label_source,str,13,0.78,False,False,label_source,False
formulation,tox_skin_sensitization_h,label_source,str,132,7.88,False,False,label_source,False
formulation,tox_signal_word,label_source,str,440,26.27,False,False,label_source,False
formulation,tox_h_statements,label_source,str,338,20.18,False,False,label_source,False
formulation,tox_ld50_dermal,label_source,float64,564,33.67,False,False,label_source,False
formulation,tox_confidence,feature,str,564,33.67,False,False,chemistry,False
formulation,tox_source_url,provenance,str,235,14.03,False,False,provenance,False
formulation,tox_source_url_src,provenance,str,235,14.03,False,False,provenance,False
formulation,supplemental_source_url,provenance,str,101,6.03,False,False,provenance,False
formulation,ingredient_source,provenance,str,1662,99.22,False,False,provenance,False
formulation,doc_source,provenance,str,564,33.67,False,False,provenance,False
formulation,doc_rel,provenance,str,541,32.3,False,False,provenance,False
formulation,tox_is_sds,feature,object,564,33.67,False,False,chemistry,False
formulation,tox_doc_product,feature,str,561,33.49,False,False,chemistry,False
formulation,tox_doc_lang,feature,str,564,33.67,False,False,chemistry,False
formulation,has_toxicity,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,n_tox_endpoints,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,tox_n_composition_rows,feature,float64,564,33.67,True,False,bookkeeping,True
formulation,tox_comp_names,feature,str,544,32.48,False,False,chemistry,False
formulation,tox_comp_cas,feature,str,544,32.48,False,False,chemistry,False
formulation,tox_comp_pct,feature,str,504,30.09,False,False,chemistry,False
formulation,ntp_eye_irritation,label_source,str,608,36.3,False,False,label_source,False
formulation,ntp_eye_corrosion,label_source,str,608,36.3,False,False,label_source,False
formulation,ntp_skin_irritation,label_source,str,553,33.01,False,False,label_source,False
formulation,ntp_skin_corrosion,label_source,str,590,35.22,False,False,label_source,False
formulation,ntp_epa_eye_cat,label_source,float64,608,36.3,False,False,label_source,False
formulation,ntp_eye_ghs_cat,label_source,str,608,36.3,False,False,label_source,False
formulation,ntp_epa_skin_cat,label_source,float64,544,32.48,False,False,label_source,False
formulation,ntp_skin_ghs_cat,label_source,str,544,32.48,False,False,label_source,False
formulation,has_ntp_label,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,n_ntp_endpoints,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,ntp_eye_assay,label_source,str,608,36.3,False,False,label_source,False
formulation,ntp_skin_assay,label_source,str,544,32.48,False,False,label_source,False
formulation,ntp_eye_source,label_source,str,608,36.3,False,False,label_source,False
formulation,ntp_skin_source,label_source,str,599,35.76,False,False,label_source,False
formulation,ntp_eye_n_records,label_source,float64,608,36.3,False,False,label_source,False
formulation,ntp_skin_n_records,label_source,float64,544,32.48,False,False,label_source,False
formulation,ntp_epa_eye_cat_all,label_source,float64,608,36.3,False,False,label_source,False
formulation,ntp_epa_skin_cat_all,label_source,str,544,32.48,False,False,label_source,False
formulation,ntp_skin_irritation_invitro_calls,label_source,str,9,0.54,False,False,label_source,False
formulation,ntp_skin_corrosion_invitro_calls,label_source,str,46,2.75,False,False,label_source,False
formulation,ntp_conflict_eye_irritation,label_source,bool,1675,100.0,False,False,label_source,False
formulation,ntp_conflict_eye_corrosion,label_source,bool,1675,100.0,False,False,label_source,False
formulation,ntp_conflict_skin_irritation,label_source,bool,1675,100.0,False,False,label_source,False
formulation,ntp_conflict_skin_corrosion,label_source,bool,1675,100.0,False,False,label_source,False
formulation,ntp_conflict_skin_sensitization,label_source,bool,1675,100.0,False,False,label_source,False
formulation,n_y_conflict,feature,int64,1675,100.0,True,False,bookkeeping,True
formulation,y_conflict_rule,label_source,str,99,5.91,False,False,label_source,False
formulation,y_preferred,label_source,str,54,3.22,False,False,label_source,False
formulation,y_needs_review,label_source,bool,1675,100.0,False,False,label_source,False
formulation,y_conflict_evidence,label_source,str,99,5.91,False,False,label_source,False
formulation,sds_ghs_eye,label_source,str,233,13.91,False,False,label_source,False
formulation,sds_ghs_eye_src,provenance,str,233,13.91,False,False,provenance,False
formulation,sds_epa_eye,label_source,float64,231,13.79,False,False,label_source,False
formulation,sds_epa_eye_roman,label_source,str,231,13.79,False,False,label_source,False
formulation,sds_epa_eye_ambiguous,feature,bool,1675,100.0,True,False,bookkeeping,True
formulation,sds_grade_status_eye,label_source,str,1675,100.0,False,False,label_source,False
