sheet,column,role,feature_role,exclude_by_default,dtype,n_notna,fill_pct,sds_coderived,role_reason,role_basis
formulation,Formulation_ID,id,id,False,str,1675,100.0,False,규칙 기본값,규칙 기본값
formulation,n_ingredients,feature,ambiguous,True,int64,1675,100.0,False,명시 애매목록(AMBIGUOUS_FEATS),명시 애매목록(AMBIGUOUS_FEATS)
formulation,n_pct_known,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,pct_sum_known,feature,ambiguous,True,float64,961,57.37,False,명시 애매목록(AMBIGUOUS_FEATS),명시 애매목록(AMBIGUOUS_FEATS)
formulation,n_smiles,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,n_structural_na,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,n_smiles_ice,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,align_ok,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,n_ing_align_bad,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,has_epa_target,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,n_ing_active,feature,ambiguous,True,int64,1675,100.0,False,명시 애매목록(AMBIGUOUS_FEATS),명시 애매목록(AMBIGUOUS_FEATS)
formulation,n_ing_total_known,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,n_ing_missing,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,active_pct_sum,feature,ambiguous,True,float64,1350,80.6,False,명시 애매목록(AMBIGUOUS_FEATS),명시 애매목록(AMBIGUOUS_FEATS)
formulation,has_toxicity,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,n_tox_endpoints,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,tox_n_composition_rows,feature,bookkeeping,True,float64,564,33.67,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,has_ntp_label,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,n_ntp_endpoints,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,n_y_conflict,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,sds_epa_eye_ambiguous,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,sds_epa_skin_ambiguous,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,ice_n_ingredients,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,ice_n_smiles,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,ice_active_pct_sum,feature,ambiguous,True,float64,1350,80.6,False,명시 애매목록(AMBIGUOUS_FEATS),명시 애매목록(AMBIGUOUS_FEATS)
formulation,has_ghs_label,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,is_mixture,feature,ambiguous,True,bool,1675,100.0,False,명시 애매목록(AMBIGUOUS_FEATS),명시 애매목록(AMBIGUOUS_FEATS)
formulation,has_y,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,trainable,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,trainable_ntp,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,trainable_ghs,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,trainable_epa,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,trainable_epa_any,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,review_matched,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,pc2_n_params,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,pc2_n_items,feature,bookkeeping,True,int64,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,pc2_parse_ok,feature,bookkeeping,True,bool,1675,100.0,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,pc2_ph_lo,feature,chemistry,False,float64,533,31.82,False,규칙 기본값,규칙 기본값
formulation,pc2_ph_hi,feature,chemistry,False,float64,533,31.82,False,규칙 기본값,규칙 기본값
formulation,ph_basis_pct,feature,ambiguous,True,float64,258,15.4,False,명시 애매목록(AMBIGUOUS_FEATS),명시 애매목록(AMBIGUOUS_FEATS)
formulation,pc2_vp,feature,chemistry,False,float64,691,41.25,False,규칙 기본값,규칙 기본값
formulation,pc2_ph,feature,chemistry,False,float64,533,31.82,False,규칙 기본값,규칙 기본값
formulation,pc2_mp,feature,chemistry,False,float64,786,46.93,False,규칙 기본값,규칙 기본값
formulation,pc2_evap,feature,chemistry,False,float64,13,0.78,False,규칙 기본값,규칙 기본값
formulation,pc2_autoignition,feature,chemistry,False,float64,156,9.31,False,규칙 기본값,규칙 기본값
formulation,pc2_vapdens,feature,chemistry,False,float64,25,1.49,False,규칙 기본값,규칙 기본값
formulation,pc2_density,feature,chemistry,False,float64,723,43.16,False,규칙 기본값,규칙 기본값
formulation,pc2_solubility,feature,chemistry,False,float64,607,36.24,False,규칙 기본값,규칙 기본값
formulation,pc2_viscosity,feature,chemistry,False,float64,158,9.43,False,규칙 기본값,규칙 기본값
formulation,pc2_fp,feature,chemistry,False,float64,430,25.67,False,규칙 기본값,규칙 기본값
formulation,pc2_logkow,feature,chemistry,False,float64,666,39.76,False,규칙 기본값,규칙 기본값
formulation,pc2_decomp,feature,chemistry,False,float64,130,7.76,False,규칙 기본값,규칙 기본값
formulation,pc2_bp,feature,chemistry,False,float64,382,22.81,False,규칙 기본값,규칙 기본값
formulation,t11_present,feature,bookkeeping,True,float64,1672,99.82,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
formulation,t11_gated,feature,bookkeeping,True,float64,1672,99.82,False,명시 부기목록(BOOKKEEPING_FEATS),명시 부기목록(BOOKKEEPING_FEATS)
