Formulation_ID,group_key,group_primary_cas,group_primary_name,group_key_src,group_primary_from_same_row,group_primary_ing_idx,group_primary_cas_ing_idx,group_primary_name_ing_idx
Cancer_PID_1057,1330-20-7,1330-20-7,Xylene,cas,True,0.0,0.0,0.0
Cancer_PID_108,134678-17-4,134678-17-4,Lamivudine,cas,True,0.0,0.0,0.0
Cancer_PID_12,3'-Azido-3'-Deoxythymidine,,3'-Azido-3'-Deoxythymidine,name,False,0.0,,0.0
Cancer_PID_13,3'-Azido-3'-Deoxythymidine,,3'-Azido-3'-Deoxythymidine,name,False,0.0,,0.0
Cancer_PID_14,3'-Azido-3'-Deoxythymidine,,3'-Azido-3'-Deoxythymidine,name,False,0.0,,0.0
Cancer_PID_141,Beta-nitrostyrene,,Beta-nitrostyrene,name,False,0.0,,0.0
Cancer_PID_15,3'-Azido-3'-deoxythymidine,,3'-Azido-3'-deoxythymidine,name,False,0.0,,0.0
Cancer_PID_159,Bisether,,Bisether,name,False,0.0,,0.0
Cancer_PID_16,3'-Azido-3'-deoxythymidine,,3'-Azido-3'-deoxythymidine,name,False,0.0,,0.0
Cancer_PID_6,57653-85-7,57653-85-7,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",cas,True,0.0,0.0,0.0
Cancer_PID_9,121-14-2,121-14-2,"2,4-Dinitrotoluene",cas,True,0.0,0.0,0.0
Cancer_PID_957,TEF evaluation (Binary mixture,,TEF evaluation (Binary mixture,name,False,0.0,,0.0
Cancer_PID_958,TEF evaluation,,TEF evaluation,name,False,0.0,,0.0
Cancer_PID_959,1336-36-3,1336-36-3,Polychlorinated Biphenyls (PCBs),cas,True,0.0,0.0,0.0
Cancer_PID_97,57-14-7,57-14-7,"N,N-Dimethylhydrazine Standard",cas,True,1.0,1.0,1.0
Cancer_PID_98,12001-29-5,12001-29-5,Chrysotile,cas,True,0.0,0.0,0.0
Cancer_PID_99,Aspirin,,Aspirin,name,False,0.0,,0.0
EyeIrritation6pack_PID10,단일 성분,,단일 성분,name,False,0.0,,0.0
