Formulation_ID,pipe_index,name_token,len_names,len_cas,len_smiles,form_basis,decision,cas,smiles
EyeIrritation6pack_PID10,0,"2,4-(Dichlorophenoxy)]-propionic acid <=100",1,1,1,length_matched_all,candidate:length_matched_all,120-36-5,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl
EyeIrritation6pack_PID1000,0,Tri-allate,3,1,1,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,
EyeIrritation6pack_PID1000,1,Inert ingredients secret,3,1,1,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,
EyeIrritation6pack_PID1000,2,Liquid Hydrocarbon secret to,3,1,1,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,
EyeIrritation6pack_PID1004,0,triticonazole >98,1,1,1,length_matched_all,candidate:length_matched_all,131983-72-7,CC1(CC/C(=C\C2=CC=C(C=C2)Cl)/C1(CN3C=NC=N3)O)C
EyeIrritation6pack_PID103,0,Glycerol,9,9,0,name_cas_length_matched,candidate:name_cas_length_matched,56-81-5,
EyeIrritation6pack_PID103,1,Propylene Glycol,9,9,0,name_cas_length_matched,candidate:name_cas_length_matched,57-55-6,
EyeIrritation6pack_PID103,2,Azoxystrobin,9,9,0,name_cas_length_matched,candidate:name_cas_length_matched,131860-33-8,
EyeIrritation6pack_PID103,3,(R)-Metalaxyl,9,9,0,name_cas_length_matched,candidate:name_cas_length_matched,70630-17-0,
EyeIrritation6pack_PID103,4,(S)-metalaxyl,9,9,0,name_cas_length_matched,candidate:name_cas_length_matched,69516-34-3,
EyeIrritation6pack_PID103,5,Fludioxonil,9,9,0,name_cas_length_matched,candidate:name_cas_length_matched,131341-86-1,
EyeIrritation6pack_PID103,6,Thiabendazole,9,9,0,name_cas_length_matched,candidate:name_cas_length_matched,148-79-8,
EyeIrritation6pack_PID103,7,Abamectin,9,9,0,name_cas_length_matched,candidate:name_cas_length_matched,71751-41-2,
EyeIrritation6pack_PID103,8,Thiamethoxam,9,9,0,name_cas_length_matched,candidate:name_cas_length_matched,153719-23-4,
EyeIrritation6pack_PID1056,0,Pyraclostrobin,10,5,4,name_ref_unique,candidate:name_ref_unique,175013-18-0,COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1
EyeIrritation6pack_PID1056,1,Content (W/W),10,5,4,name_ref_unique,dropped:nonchemical_name_token,,
EyeIrritation6pack_PID1056,2,Fluxapyroxad,10,5,4,name_ref_unique,candidate:name_ref_unique,907204-31-3,Cn1cc(C(=O)Nc2ccccc2-c2cc(F)c(F)c(F)c2)c(C(F)F)n1
EyeIrritation6pack_PID1056,3,Content (W/W): >= 0.5,10,5,4,name_ref_unique,dropped:nonchemical_name_token,,
EyeIrritation6pack_PID1056,4,sodium salts,10,5,4,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,
EyeIrritation6pack_PID1056,5,Content (W/W): > 0.5 - <=,10,5,4,name_ref_unique,dropped:nonchemical_name_token,,
EyeIrritation6pack_PID1056,6,bronopol,10,5,4,name_ref_unique,candidate:name_ref_unique,52-51-7,O=[N+]([O-])C(Br)(CO)CO
