endpoint,Formulation_ID,product_name,sds_grade_status,sds_ghs_raw,positive_assertions_other_sources,y_final,y_bin,y_src,y_src_detail,y_n_src,y_conflict,resolved_by_priority,note
eye,EyeIrritation6pack_PID1024,V-10116 3.7 FS,negative,,ntp_measured=2B,2B,1.0,ntp_measured,ntp_measured,2,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID1032,VCP-01,negative,,ntp_measured=2B,2B,1.0,ntp_measured,ntp_measured,2,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID1039,Vitacon RTU FL Fungicide,negative,,sds_2nd_sec11=2B,NC,0.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID1040,Voliam Flexi Insecticide,negative,,ntp_measured=2B,2B,1.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID1055,XDE-PRDX,negative,,ntp_measured=2B,2B,1.0,ntp_measured,ntp_measured,2,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID128,BASF MCPP-P,negative,,ntp_measured=1,1,1.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID288,Cypermethrin(95%),negative,,ntp_measured=2B,2B,1.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID301,Decis 1.0 Gel,negative,,ntp_measured=1 | sds_2nd_sec11=1,1,1.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID40,Acephate,negative,,ntp_measured=2B | sds_2nd=2A | sds_2nd_sec11=2A,2B,1.0,ntp_measured,ntp_measured,4,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID467,Folicur 1. 2 emulsifiable concentrate(16.6),negative,,ntp_measured=1 | sds_2nd_sec11=1,1,1.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID475,Foundation Lite,negative,,ntp_measured=2B,2B,1.0,ntp_measured,ntp_measured,2,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID560,Ironclad Herbicide,negative,,ntp_measured=2B,2B,1.0,ntp_measured,ntp_measured,2,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID669,Mon 37500,negative,,ntp_measured=2B,2B,1.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID690,Nemathorin 500EC,negative,,ntp_measured=2A,2A,1.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID694,NEU1171H,negative,,ntp_measured=2A | sds_2nd_sec11=2A,2A,1.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID800,Raid Ant & Roach Killer with Germ Kill CIK,negative,,ntp_measured=2B,2B,1.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID838,S-Metolachlor & Mesotrione,negative,,ntp_measured=2B | sds_2nd_sec11=2B,2B,1.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
eye,EyeIrritation6pack_PID860,Scimitar GR Insecticide,negative,,ntp_measured=2B | sds_2nd_sec11=2B,2B,1.0,ntp_measured,ntp_measured,3,True,False,SDS v1 은 Not classified 를 명시했으나 다른 출처가 양성 → 사람 재검 대상(자동 수정하지 않음)
