Formulation_ID,product_name,n_ing,pct_sum_known_raw,pct_sum_known_fixed,n_pct_known_raw,n_pct_known_fixed,pct_status,rows_blanked,y_eye_bin,y_skin_bin,y_sens_bin
EyeIrritation6pack_PID776,Prodiamine/Diquat/Glyphosphate EW Manufacturing,18,596.84,16.79,16,3,nonchem_name_blanked+cross_source_block_split:ntp_ice,"idx0[master]'Calcium Limestone (>=80 - <=)'=100.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'C ='=46.6(nonchem_name_blanked); idx2[master]'Carbamide, Carbonyldiamide, Carbamidic A'=97.5(cross_source_block_dropped:ntp_ice_kept); idx3[master]'Alkalinity as ammonia (150 ppm max) C ='=31.0(cross_source_block_dropped:ntp_ice_kept); idx6[master]'Sulfur'=8.5(cross_source_block_dropped:ntp_ice_kept); idx7[master]'XCU C ='=11.0(cross_source_block_dropped:ntp_ice_kept); idx8[master]'Polymer coating () Mixture'=5.0(cross_source_block_dropped:ntp_ice_kept); idx9[master]'Non-hazardous dye () Proprietary'=1.0(nonchem_name_blanked); idx10[master]'19-0-5 Prodiamine'=0.37(cross_source_block_dropped:ntp_ice_kept); idx11[master]'Oil Dri Montmorillonite ( - 93%)'=90.0(cross_source_block_dropped:ntp_ice_kept); idx12[master]'Pesticide Prodiamine ( - 66.95 %) C = 0.'=63.05(cross_source_block_dropped:ntp_ice_kept); idx13[master]'Kaolin ( - 27.63 %)'=26.03(cross_source_block_dropped:ntp_ice_kept); idx14[master]'White mineral oil () n/a C = 0.6 %'=100.0(cross_source_block_dropped:ntp_ice_kept)",0.0,1.0,
MIX532,UBI 4389,21,445.9,33.0,21,2,cross_source_block_split:ntp_ice,"idx0[master]'Food 30.8 25.4 22.9'=30.8(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Beverages and tobacco 2.8 2.9 3.4'=2.8(cross_source_block_dropped:ntp_ice_kept); idx2[master]'otal 33.6 28.3 26.3'=33.6(cross_source_block_dropped:ntp_ice_kept); idx3[master]'Crude materials 1.7 2.9 0.8'=1.7(cross_source_block_dropped:ntp_ice_kept); idx4[master]'Fuels 28.2 23.1 24.7'=28.2(cross_source_block_dropped:ntp_ice_kept); idx5[master]'Oils and fats 0.4 0.2 0.2'=0.4(cross_source_block_dropped:ntp_ice_kept); idx6[master]'otal 30.3 26.2 25.7'=30.3(cross_source_block_dropped:ntp_ice_kept); idx7[master]'Chemicals 17.2 14.7 15.3'=17.2(cross_source_block_dropped:ntp_ice_kept); idx8[master]'Wood, textile, metals 12.1 13.5 13.1'=12.1(cross_source_block_dropped:ntp_ice_kept); idx9[master]'Machinery and transportation equipment 0'=0.3(cross_source_block_dropped:ntp_ice_kept); idx10[master]'Clothing, footwear, and similar items 6.'=6.4(cross_source_block_dropped:ntp_ice_kept); idx11[master]'otal 36.0 45.4 47.9'=36.0(cross_source_block_dropped:ntp_ice_kept); idx12[master]'Miscellaneous 0.1 0.1 0.1'=0.1(cross_source_block_dropped:ntp_ice_kept); idx13[master]'9    Miscellaneous                      '=100.0(cross_source_block_dropped:ntp_ice_kept); idx14[master]'are of manufactures in total imports 50 '=50.0(cross_source_block_dropped:ntp_ice_kept); idx15[master]'are of manufactures in imports from CARI'=25.0(cross_source_block_dropped:ntp_ice_kept); idx16[master]'hare of manufactures in total exports 4 '=4.0(cross_source_block_dropped:ntp_ice_kept); idx17[master]'are of manufactures in exports to CARIFT'=26.0(cross_source_block_dropped:ntp_ice_kept); idx18[master]'ARIFTA imports 8 9'=8.0(cross_source_block_dropped:ntp_ice_kept)",,0.0,
EyeIrritation6pack_PID1013,UBI 4389,21,445.9,33.0,21,2,cross_source_block_split:ntp_ice,"idx0[master]'Food 30.8 25.4 22.9'=30.8(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Beverages and tobacco 2.8 2.9 3.4'=2.8(cross_source_block_dropped:ntp_ice_kept); idx2[master]'otal 33.6 28.3 26.3'=33.6(cross_source_block_dropped:ntp_ice_kept); idx3[master]'Crude materials 1.7 2.9 0.8'=1.7(cross_source_block_dropped:ntp_ice_kept); idx4[master]'Fuels 28.2 23.1 24.7'=28.2(cross_source_block_dropped:ntp_ice_kept); idx5[master]'Oils and fats 0.4 0.2 0.2'=0.4(cross_source_block_dropped:ntp_ice_kept); idx6[master]'otal 30.3 26.2 25.7'=30.3(cross_source_block_dropped:ntp_ice_kept); idx7[master]'Chemicals 17.2 14.7 15.3'=17.2(cross_source_block_dropped:ntp_ice_kept); idx8[master]'Wood, textile, metals 12.1 13.5 13.1'=12.1(cross_source_block_dropped:ntp_ice_kept); idx9[master]'Machinery and transportation equipment 0'=0.3(cross_source_block_dropped:ntp_ice_kept); idx10[master]'Clothing, footwear, and similar items 6.'=6.4(cross_source_block_dropped:ntp_ice_kept); idx11[master]'otal 36.0 45.4 47.9'=36.0(cross_source_block_dropped:ntp_ice_kept); idx12[master]'Miscellaneous 0.1 0.1 0.1'=0.1(cross_source_block_dropped:ntp_ice_kept); idx13[master]'9    Miscellaneous                      '=100.0(cross_source_block_dropped:ntp_ice_kept); idx14[master]'are of manufactures in total imports 50 '=50.0(cross_source_block_dropped:ntp_ice_kept); idx15[master]'are of manufactures in imports from CARI'=25.0(cross_source_block_dropped:ntp_ice_kept); idx16[master]'hare of manufactures in total exports 4 '=4.0(cross_source_block_dropped:ntp_ice_kept); idx17[master]'are of manufactures in exports to CARIFT'=26.0(cross_source_block_dropped:ntp_ice_kept); idx18[master]'ARIFTA imports 8 9'=8.0(cross_source_block_dropped:ntp_ice_kept)",1.0,,
EyeIrritation6pack_PID145,Bifenthrin 0.069 RU Insecticide With X-X-X Fertilizer,15,417.207,,14,0,nonchem_name_blanked+unrecoverable_blanked,"idx0[master]'Calcium Limestone (>=80 - <=)'=100.0(unrecoverable_blanked); idx1[master]'C ='=52.8(nonchem_name_blanked); idx2[master]'Carbamide, Carbonyldiamide, Carbamidic A'=97.5(unrecoverable_blanked); idx3[master]'C ='=52.8(nonchem_name_blanked); idx5[master]'Sulfur'=8.5(unrecoverable_blanked); idx6[master]'XCU C ='=11.9(unrecoverable_blanked); idx7[master]'Polymer coating () Mixture'=5.0(unrecoverable_blanked); idx8[master]'Non-hazardous dye () Proprietary'=1.0(nonchem_name_blanked); idx9[master]'0-0-62 Sodium chloride ( - 3.7 %) C = 6.'=0.3(unrecoverable_blanked); idx10[master]'Calcium and magnesium; Chloride and sulf'=0.2(unrecoverable_blanked); idx11[master]'Bifenthrin'=0.069(unrecoverable_blanked); idx12[master]'Bifenthrin C ='=0.069(unrecoverable_blanked); idx13[master]'Inert Ingredients () n/a'=87.0(unrecoverable_blanked); idx14[master]'Bifenthrin Insecticide'=0.069(unrecoverable_blanked)",0.0,1.0,
MIX13,Abamectin B1a,4,287.0,,3,0,cross_source_block_split:master+unrecoverable_blanked,idx1[master]'Acetophenone'=100.0(unrecoverable_blanked); idx2[master]'Methanol'=95.0(unrecoverable_blanked); idx3[ntp_ice]'Abamectin Component B1a'=92.0(cross_source_block_dropped:master_kept),0.0,0.0,0.0
EyeIrritation6pack_PID352,DuPont DPX-KJM44 Herbicide,7,268.575,95.6,7,1,nonchem_name_blanked+cross_source_block_split:ntp_ice,idx0[master]'Chlorimuron ethyl'=25.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Modified Aromatic Sulfonate Salt'=3.0(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Other Ingredients'=72.0(nonchem_name_blanked); idx3[master]'Titanium dioxide'=0.75(cross_source_block_dropped:ntp_ice_kept); idx4[master]'Quartz'=0.225(cross_source_block_dropped:ntp_ice_kept); idx5[master]'Other/Inert Ingredients'=72.0(cross_source_block_dropped:ntp_ice_kept),1.0,,
EyeIrritation6pack_PID478,FujiMite 5 EC Miticide/Insecticide,5,222.5,,5,0,nonchem_name_blanked+cross_source_block_split:master+unrecoverable_blanked,idx0[master]'Fenpyroximate 134098'=33.0(unrecoverable_blanked); idx1[master]'Propylene glycol'=5.5(unrecoverable_blanked); idx2[master]'Other ingredients'=89.5(nonchem_name_blanked); idx3[master]'Other/Inert Ingredients'=89.5(unrecoverable_blanked); idx4[ntp_ice]'Fenpyroximate'=5.0(cross_source_block_dropped:master_kept),1.0,,0.0
EyeIrritation6pack_PID351,DuPont DPX-KJM44 80 MUP Herbicide,5,205.0,80.0,5,1,nonchem_name_blanked+cross_source_block_split:ntp_ice,idx0[master]'Metribuzin'=64.3(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Chlorimuron ethyl'=10.7(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Other Ingredients'=25.0(nonchem_name_blanked); idx3[master]'Other/Inert Ingredients'=25.0(cross_source_block_dropped:ntp_ice_kept),0.0,,
MIX412,Roval Brand 75 WG Fungicide,5,202.2,75.0,5,1,cross_source_block_split:ntp_ice,"idx0[master]'Copper hydroxide'=77.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Crystalline silica, quartz'=0.1(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Silicone dioxide (SiO2) - idx1과 동일 물질의 동'=0.1(cross_source_block_dropped:ntp_ice_kept); idx3[master]'Elemental copper, present as copper hydr'=50.0(cross_source_block_dropped:ntp_ice_kept)",,0.0,
EyeIrritation6pack_PID48,Acticide CBM 2,6,201.0,17.0,6,4,nonchem_name_blanked,idx1[master]'OTHER INGREDIENTS'=84.0(nonchem_name_blanked); idx2[master]'TOTAL'=100.0(nonchem_name_blanked),1.0,1.0,1.0
