Formulation_ID,ing_idx,ing_name_best,ing_cas_best_v4,ing_cas_best_v5,smiles_v4,smiles_v5,june_audit_recovered_v4,june_audit_recovered_v5,june_merge_basis,v4_defect_verdict
EyeIrritation6pack_PID1056,1,Content (W/W),907204-31-3,,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,,True,False,skipped_length_mismatch,NONCHEM_TOKEN_GOT_STRUCTURE
EyeIrritation6pack_PID1056,4,sodium salts,55965-84-9,,,,True,False,skipped_length_mismatch,UNVERIFIABLE
EyeIrritation6pack_PID1056,6,bronopol,,52-51-7,O=[N+]([O-])C(Br)(CO)CO,O=[N+]([O-])C(Br)(CO)CO,False,True,name_ref_unique,UNVERIFIABLE
EyeIrritation6pack_PID182,1,Content (W/W),7783-20-2,,[NH4+].[NH4+].[O-]S(=O)(=O)[O-],,True,False,skipped_length_mismatch,NONCHEM_TOKEN_GOT_STRUCTURE
EyeIrritation6pack_PID182,6,Kaolin,1332-58-7,1332-58-7,,O.O.[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-],False,True,name_ref_unique,UNVERIFIABLE
EyeIrritation6pack_PID32,0,Name : Abamectin techn. min,71751-41-2,,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,True,False,skipped_no_safe_pair,NONCHEM_TOKEN_GOT_STRUCTURE
EyeIrritation6pack_PID32,1,EC index no : 606,143-00-0,,CCCCCCCCCCCCOS(=O)(=O)O.OCCNCCO,CCCCCCCCCCCCOS(=O)(=O)O.OCCNCCO,True,False,skipped_no_safe_pair,NONCHEM_TOKEN_GOT_STRUCTURE
EyeIrritation6pack_PID345,2,2-Propanediol <,57-55-6,57-55-6,CC(CO)O,CC(O)CO,True,True,name_ref_unique,CAS_OK
EyeIrritation6pack_PID345,3,Fatty alcohol ethoxylate <=,68131-39-5,68131-39-5,C1=CC=C2C(=C1)C(=O)NS2,,True,False,skipped_length_mismatch,UNVERIFIABLE
EyeIrritation6pack_PID345,4,2-Benzisothiazol-3(2H)-one >= 0.005 - <=,2634-33-5,2634-33-5,,O=c1[nH]sc2ccccc12,False,True,name_ref_unique,CAS_OK
EyeIrritation6pack_PID356,0,Potassium salt of aminocyclopyrachlor,858956-35-1,,C1CC1C2=NC(=C(C(=N2)N)Cl)C(=O)[O-].[K+],,True,False,skipped_length_mismatch,UNVERIFIABLE
EyeIrritation6pack_PID356,1,Inert Ingredients,858956-08-8,,C1CC1C2=NC(=C(C(=N2)N)Cl)C(=O)O,,True,False,skipped_length_mismatch,UNVERIFIABLE
EyeIrritation6pack_PID356,2,Aminocyclopyrachlor,,858956-08-8,Nc1nc(C2CC2)nc(C(=O)O)c1Cl,Nc1nc(C2CC2)nc(C(=O)O)c1Cl,False,True,name_ref_unique,UNVERIFIABLE
EyeIrritation6pack_PID360,2,Lignin Sulfonate Salt,,,OP(=O)([O-])[O-].[Na+].[Na+],,True,False,skipped_length_mismatch,UNVERIFIABLE
EyeIrritation6pack_PID363,2,Lignin Sulfonate Salt,13463-67-7,,OP(=O)([O-])[O-].[Na+].[Na+],,True,False,skipped_length_mismatch,UNVERIFIABLE
EyeIrritation6pack_PID391,2,"solvent naphtha (petroleum), highly >= 5 - <",64742-94-5,64742-94-5,CC(CO)O,,True,False,,CAS_OK
EyeIrritation6pack_PID391,3,"propane-,2-diol >= 5 - <",57-55-6,57-55-6,CC1=CC2=CC=CC=C2C=C1,,True,False,,SMILES_WRONG
EyeIrritation6pack_PID391,4,methyl-naphthalene >= 1 - <,91-57-6,91-57-6,O=[Ti]=O,,True,False,skipped_no_safe_pair,SMILES_WRONG
EyeIrritation6pack_PID391,5,methyl-naphthalene >= 1 - <,90-12-0,90-12-0,O=[Ti]=O,,True,False,skipped_no_safe_pair,SMILES_WRONG
EyeIrritation6pack_PID391,6,titanium dioxide >= 1 - <,13463-67-7,13463-67-7,OS(=O)(=O)O,,True,False,,SMILES_WRONG
EyeIrritation6pack_PID391,7,sulfuric acid >= 0.1 - <,7664-93-9,7664-93-9,C1=CC=C2C(=C1)C(=O)NS2,,True,False,,SMILES_WRONG
EyeIrritation6pack_PID393,1,Glycerol,104376-75-2,56-81-5,OCC(O)CO,OCC(O)CO,True,True,name_ref_unique,CAS_WRONG
