metric,value,note
대상 제형 (RECOVER_CAS_HIGH_CONFIDENCE),195,
세 파이프리스트 길이 불일치 제형,163,
v4 june_audit_recovered 행,112,
v5 june_audit_recovered 행,54,
v4·v5 모두 병합된 행,48,
v4 병합 → v5 에서 철회된 행,64,
v5 신규 안전복구 행,6,
v4 오염판정(증거CSV) 행 중 v5 에서 철회,18,
v4 오염판정 행 중 v5 에서 값 정정,9,
CAS 값이 바뀐 행,47,
  · CAS 철회 (v4有→v5無),35,
"  · CAS 정정 (양쪽 有, 값 다름)",9,
  · CAS 신규 (v4無→v5有),3,
SMILES 값이 바뀐 행,54,
  · SMILES 철회 (v4有→v5無),49,
  · SMILES 정정,2,
  · SMILES 신규,3,
구조 보유 행 desc_ok (v4),3626,
구조 보유 행 desc_ok (v5),3580,
영향받은 제형 수 (성분값 변동),37,
