Formulation_ID,ing_idx,ing_name_best,ing_cas_best,smiles,june_merge_basis
EyeIrritation6pack_PID1044,0,Methylene Chloride,75-09-0,ClCCl,
EyeIrritation6pack_PID1050,0,Publication,10-07-0,,
EyeIrritation6pack_PID288,1,Index No 607,421-00-4,,
EyeIrritation6pack_PID41,2,Ethylene diamine alkoxylate max. NE,26361-40-5,,
EyeIrritation6pack_PID422,1,Index No 616,111-00-8,,
EyeIrritation6pack_PID435,1,· Index number:616,216-00-9,,
EyeIrritation6pack_PID443,1,Index No 613,164-00-9,,
EyeIrritation6pack_PID45,1,· Index number:616,37-00-6,,
EyeIrritation6pack_PID508,1,· Index number:608,55-00-8,,
EyeIrritation6pack_PID511,1,Index No 613,58-00-2,,
EyeIrritation6pack_PID514,1,Index No 607,315-00-8,,
EyeIrritation6pack_PID516,1,Index No (GB CLP) 607,315-00-8,,
EyeIrritation6pack_PID538,0,ORTHO HOME DEFENSE MAX INSECT KILLER FOR INDOOR& PERIMETER. The Ortho Group. Revision date,2015-04-1,,
EyeIrritation6pack_PID788,1,Index No 603,197-00-7,,
EyeIrritation6pack_PID798,1,· Index number:613,138-00-7,,
EyeIrritation6pack_PID828,1,Index No 612,252-00-4,,
EyeIrritation6pack_PID838,1,Index No 607,432-00-4,,
EyeIrritation6pack_PID871,4,Barium Sulphate,7727-43-1,O=S(=O)([O-])[O-].[Ba+2],
EyeIrritation6pack_PID897,1,· Index number:607,711-00-0,,
EyeIrritation6pack_PID951,1,· Index number:603,197-00-7,,
MIX183,0,Fipronil,120068-37-7,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,
MIX222,1,Index No 613,164-00-9,,
MIX24,2,Ethylene diamine alkoxylate,26361-40-5,,
MIX245,1,Index No 613,58-00-2,,
MIX248,1,Index No 607,315-00-8,,
MIX250,1,Index No (GB CLP) 607,315-00-8,,
MIX285,4,Trichloroisocyanuric Acid,87-90-3,O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,
MIX370,1,Index No 603,197-00-7,,
MIX405,1,Index No 612,252-00-4,,
MIX447,1,Index No 607,432-00-4,,
MIX449,4,Barium Sulphate,7727-43-1,O=S(=O)([O-])[O-].[Ba+2],
MIX455,2,Thiamethoxam,153719-23-6,CN1COCN(CC2=CN=C(Cl)S2)C1=N[N+]([O-])=O,
MIX537,0,Methylene Chloride,75-09-0,ClCCl,
MIX538,1,Light aromatic naphtha,74742-95-6,,
MIX57,1,Fluxapyroxad,179293-51-1,Cn1cc(C(=O)Nc2ccccc2-c2cc(F)c(F)c(F)c2)c(C(F)F)n1,
MIX584,1,"1-Propanamine, N-ethyl- (N-ethylpropylamine, i.e. EP-Amin)",20520-69-2,CCCNCC,
MIX586,1,Index No 616,111-00-8,,
MIX635,1,Flufenpyr-ethyl (parent compound); this item is its acid/4-OH metabolite (S-3153 Acid-4-OH),188489-07-2,CCOC(=O)COC1=CC(N2N=CC(=C(C)C2=O)C(F)(F)F)=C(F)C=C1Cl,
MIX766,1,· Index number:613,138-00-7,,
MIX770,1,· Index number:603,197-00-7,,
MIX794,2,Octanoic acid (Caprylic acid),124-07-4,CCCCCCCC(O)=O,
