Formulation_ID,ing_idx,ing_name_best,cas,pubchem_title,basis
EyeIrritation6pack_PID182,6,Kaolin,1332-58-7,,name_ref_unique
EyeIrritation6pack_PID345,2,2-Propanediol <,57-55-6,Propylene Glycol,name_ref_unique
EyeIrritation6pack_PID345,4,2-Benzisothiazol-3(2H)-one >= 0.005 - <=,2634-33-5,"1,2-Benzisothiazol-3(2H)-one",name_ref_unique
EyeIrritation6pack_PID362,1,+/--tartaric acid >= 20 - <,133-37-9,"2,3-Dihydroxybutanedioic Acid",length_matched_all
EyeIrritation6pack_PID585,3,2-Benzisothiazol-3(2H)-one >= 0.005 - <=,2634-33-5,"1,2-Benzisothiazol-3(2H)-one",name_ref_unique
EyeIrritation6pack_PID62,1,Clay,8031-18-3,,length_matched_all
EyeIrritation6pack_PID718,1,"4-Pyridinedimethanol, 5-hydroxy-6- >= 5 - <",58-56-0,Pyridoxine Hydrochloride,name_cas_length_matched
EyeIrritation6pack_PID718,4,starch >= 1 - <,9005-25-8,,name_cas_length_matched
EyeIrritation6pack_PID718,5,"5,7-triaza-1- >= 0.1 - <",51229-78-8,"cis-1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride",name_cas_length_matched
EyeIrritation6pack_PID803,2,"methyl N-(,6-dimethylphenyl)-N- >= 1 - <",57837-19-1,Metalaxyl,length_matched_all
EyeIrritation6pack_PID831,1,"2,3-Propanetriol 9.5-10.5",56-81-5,Glycerol,length_matched_all
EyeIrritation6pack_PID831,2,2-Benzisothiazol-3(2H)-one 0.18-0.22,2634-33-5,"1,2-Benzisothiazol-3(2H)-one",length_matched_all
EyeIrritation6pack_PID955,1,THFA Proprietary,872-50-4,N-methyl-2-pyrrolidone,length_matched_all
EyeIrritation6pack_PID985,0,GSP Crop Science Limited,129558-76-5,Tolfenpyrad,length_matched_all
MIX186,8,2-benzisothiazol-3(2H)-one >= 0.05 - <,2634-33-5,"1,2-Benzisothiazol-3(2H)-one",name_cas_length_matched
MIX27,1,Clay,8031-18-3,,length_matched_all
MIX77,6,Kaolin,1332-58-7,,name_ref_unique
MIX90,2,Butoxyethanol -No.: 1-5,111-76-2,2-Butoxyethanol,length_matched_all
