Formulation_ID,ing_idx,ing_name_best,ing_cas_best,smiles,smiles_source,gates,kind,june_merge_basis
EyeIrritation6pack_PID10,0,단일 성분,,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,master_column,under_3_letters,hard_pure_junk_token,skipped_no_safe_pair
EyeIrritation6pack_PID102,0,Content (W/W),67485-29-4,CC1(C)CN=C(NN=C(C=Cc2ccc(C(F)(F)F)cc2)C=Cc2ccc(C(F)(F)F)cc2)NC1,pubchem_name,"content,w_w",soft_real_chemical_with_noise,
EyeIrritation6pack_PID160,0,RN,125401-92-5,COc1cc(OC)nc(Oc2cccc(Oc3nc(OC)cc(OC)n3)c2C(=O)[O-])n1.[Na+],pubchem_name,under_3_letters,hard_pure_junk_token,
EyeIrritation6pack_PID170,0,RN,188425-85-6,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,pubchem_name,under_3_letters,hard_pure_junk_token,
EyeIrritation6pack_PID288,1,Index No 607,421-00-4,,,index_no,hard_pure_junk_token,
EyeIrritation6pack_PID32,0,Name : Abamectin techn. min,,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,master_column,name_colon,soft_real_chemical_with_noise,skipped_no_safe_pair
EyeIrritation6pack_PID32,1,EC index no : 606,,CCCCCCCCCCCCOS(=O)(=O)O.OCCNCCO,master_column,"ec_header,ec_index",hard_pure_junk_token,skipped_no_safe_pair
EyeIrritation6pack_PID378,0,RN,104104-12-3,COc1ccc(OCCOCCOc2ccc(OC)cc2)cc1,pubchem_name,under_3_letters,hard_pure_junk_token,
EyeIrritation6pack_PID422,1,Index No 616,111-00-8,,,index_no,hard_pure_junk_token,
EyeIrritation6pack_PID443,0,Identifiers,142459-58-3,CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,pubchem_name,identifier_hdr,hard_pure_junk_token,
EyeIrritation6pack_PID443,1,Index No 613,164-00-9,,,index_no,hard_pure_junk_token,
EyeIrritation6pack_PID511,1,Index No 613,58-00-2,,,index_no,hard_pure_junk_token,
EyeIrritation6pack_PID514,1,Index No 607,315-00-8,,,index_no,hard_pure_junk_token,
EyeIrritation6pack_PID516,1,Index No (GB CLP) 607,315-00-8,,,index_no,hard_pure_junk_token,
EyeIrritation6pack_PID551,0,phosmet(ISO) w/w,732-11-6,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,pubchem_name,w_w,soft_real_chemical_with_noise,
EyeIrritation6pack_PID607,0,No,7732-18-5,O,pubchem_name,under_3_letters,hard_pure_junk_token,
EyeIrritation6pack_PID635,1,Hazardous components,70630-17-0,COCC(=O)N(c1c(C)cccc1C)[C@H](C)C(=O)OC,pubchem_name,hazard_hdr,hard_pure_junk_token,
EyeIrritation6pack_PID639,0,Chemical Name: Mesosulfuron-methyl sodium salt,208465-19-4,,,chemical_name_hdr,soft_real_chemical_with_noise,
EyeIrritation6pack_PID675,0,Butan-2-one w/w,78-93-3,CCC(C)=O,pubchem_name,w_w,soft_real_chemical_with_noise,
EyeIrritation6pack_PID675,1,"fatty acids, C18-unsatd., dimers, reactionproducts with polyethylenepolyamines w/w",68410-23-1,,,w_w,soft_real_chemical_with_noise,
EyeIrritation6pack_PID675,2,Propan-2-ol w/w,67-63-0,CC(C)O,pubchem_name,w_w,soft_real_chemical_with_noise,
EyeIrritation6pack_PID675,3,butan-1-ol w/w,71-36-3,CCCCO,pubchem_name,w_w,soft_real_chemical_with_noise,
EyeIrritation6pack_PID675,4,triethylenetetramine w/w,112-24-3,NCCNCCNCCN,pubchem_name,w_w,soft_real_chemical_with_noise,
EyeIrritation6pack_PID76,0,RN,129909-90-6,CC(C)c1nn(C(=O)NC(C)(C)C)c(=O)n1N,pubchem_name,under_3_letters,hard_pure_junk_token,
EyeIrritation6pack_PID773,2,3:1,,Cn1sccc1=O,master_column,under_3_letters,hard_pure_junk_token,
EyeIrritation6pack_PID78,0,Chemical Name: Amitraz,33089-61-1,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,pubchem_name,chemical_name_hdr,soft_real_chemical_with_noise,
EyeIrritation6pack_PID788,1,Index No 603,197-00-7,,,index_no,hard_pure_junk_token,
EyeIrritation6pack_PID828,1,Index No 612,252-00-4,,,index_no,hard_pure_junk_token,
EyeIrritation6pack_PID838,0,Identifiers,87392-12-9,CCc1cccc(C)c1N(C(=O)CCl)[C@@H](C)COC,pubchem_name,identifier_hdr,hard_pure_junk_token,
EyeIrritation6pack_PID838,1,Index No 607,432-00-4,,,index_no,hard_pure_junk_token,
EyeIrritation6pack_PID856,0,480 g/L,21087-64-9,CSc1nnc(C(C)(C)C)c(=O)n1N,pubchem_name,under_3_letters,hard_pure_junk_token,
EyeIrritation6pack_PID953,0,Active ingredient (% w/w): Tebuconazole,107534-96-3,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,pubchem_name,w_w,soft_real_chemical_with_noise,
EyeIrritation6pack_PID955,0,Active ingredient (% w/w): Tebuconazole Technical,,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,master_column,w_w,soft_real_chemical_with_noise,skipped_no_safe_pair
EyeIrritation6pack_PID962,0,Content (W/W),120068-37-3,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,pubchem_name,"content,w_w",soft_real_chemical_with_noise,
MIX142,0,Other ingredients (undisclosed),872-05-9,C=CCCCCCCCC,pubchem_name,other_ingredient,hard_pure_junk_token,
MIX17,1,EC index no : 606,,CCCCCCCCCCCCOS(=O)(=O)O.OCCNCCO,master_column,"ec_header,ec_index",hard_pure_junk_token,skipped_no_safe_pair
MIX189,0,RN,104104-12-3,COc1ccc(OCCOCCOc2ccc(OC)cc2)cc1,pubchem_name,under_3_letters,hard_pure_junk_token,
MIX194,2,Other Ingredients (proprietary),7732-18-5,O,pubchem_name,other_ingredient,hard_pure_junk_token,
MIX222,0,Identifiers,142459-58-3,CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,pubchem_name,identifier_hdr,hard_pure_junk_token,
MIX222,1,Index No 613,164-00-9,,,index_no,hard_pure_junk_token,
MIX245,1,Index No 613,58-00-2,,,index_no,hard_pure_junk_token,
MIX248,1,Index No 607,315-00-8,,,index_no,hard_pure_junk_token,
MIX250,1,Index No (GB CLP) 607,315-00-8,,,index_no,hard_pure_junk_token,
MIX262,2,"2,4-D",94-75-7,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,ntp_ice,under_3_letters,hard_pure_junk_token,
MIX306,0,No,7732-18-5,O,pubchem_name,under_3_letters,hard_pure_junk_token,
MIX307,1,Hazardous components,70630-17-0,COCC(=O)N(c1c(C)cccc1C)[C@H](C)C(=O)OC,pubchem_name,hazard_hdr,hard_pure_junk_token,
MIX321,1,Other ingredients (unspecified),51-03-6,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,pubchem_name,other_ingredient,hard_pure_junk_token,
MIX33,4,Other ingredients,,COCC(=O)N(c1c(C)cccc1C)[C@@H](C)C(=O)OC,pubchem_name,other_ingredient,hard_pure_junk_token,skipped_no_safe_pair
MIX334,0,Butan-2-one w/w,78-93-3,CCC(C)=O,pubchem_name,w_w,soft_real_chemical_with_noise,
MIX334,1,"fatty acids, C18-unsatd., dimers, reactionproducts with polyethylenepolyamines w/w",68410-23-1,,,w_w,soft_real_chemical_with_noise,
MIX334,2,Propan-2-ol w/w,67-63-0,CC(C)O,pubchem_name,w_w,soft_real_chemical_with_noise,
MIX334,3,butan-1-ol w/w,71-36-3,CCCCO,pubchem_name,w_w,soft_real_chemical_with_noise,
MIX334,4,triethylenetetramine w/w,112-24-3,NCCNCCNCCN,pubchem_name,w_w,soft_real_chemical_with_noise,
MIX361,2,3:1,,Cn1sccc1=O,master_column,under_3_letters,hard_pure_junk_token,
MIX370,1,Index No 603,197-00-7,,,index_no,hard_pure_junk_token,
MIX405,1,Index No 612,252-00-4,,,index_no,hard_pure_junk_token,
MIX431,0,Other ingredients (inert),,N[C@@]1(Cc2ccccc2)CCN2CC[C@@H](C=O)N2C1=O,nci_cir,other_ingredient,hard_pure_junk_token,
MIX432,0,Other ingredients (inert),21087-64-9,CSc1nnc(C(C)(C)C)c(=O)n1N,pubchem_name,other_ingredient,hard_pure_junk_token,
MIX435,0,Other ingredients (inert),23031-36-9,C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,pubchem_name,other_ingredient,hard_pure_junk_token,
MIX447,1,Index No 607,432-00-4,,,index_no,hard_pure_junk_token,
MIX517,0,Other ingredients,,CC1NC=C(COP(=O)(O)O)C(C=[NH+][C@@H](C[C@@H]2C(=O)Nc3ccccc32)C(=O)O)C1=O,pubchem_name,other_ingredient,hard_pure_junk_token,
MIX559,1,"Other ingredients (incl. petroleum distillates, phenol as toxic inert)",,COP(=O)(OC)OC=C(Cl)Cl,master_column,other_ingredient,hard_pure_junk_token,
MIX586,1,Index No 616,111-00-8,,,index_no,hard_pure_junk_token,
MIX620,1,Other ingredients (NE - not established),65195-53-1,CC[C@H](C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](CC=C(C)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)C=CC=C4/CO[C@@H]5[C@H](OC)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)C[C@H](O)[C@@H]1C,ntp_ice,other_ingredient,hard_pure_junk_token,
MIX78,3,"Other ingredients (unnamed, proprietary/non-hazardous)",,O=C1CCCCC1=O,pubchem_name,other_ingredient,hard_pure_junk_token,
