Formulation_ID,ing_idx,ing_name_best,cas,basis,pubchem_title,cas_resolvable_in_pubchem,skeleton_inchikey_match,full_inchikey_match
EyeIrritation6pack_PID103,0,Glycerol,56-81-5,name_cas_length_matched,Glycerol,True,True,True
EyeIrritation6pack_PID103,3,(R)-Metalaxyl,70630-17-0,name_cas_length_matched,(R)-Metalaxyl,True,True,True
EyeIrritation6pack_PID103,4,(S)-metalaxyl,69516-34-3,name_cas_length_matched,(S)-metalaxyl,True,True,True
EyeIrritation6pack_PID1056,6,bronopol,52-51-7,name_ref_unique,Bronopol,True,True,True
EyeIrritation6pack_PID182,6,Kaolin,1332-58-7,name_ref_unique,,False,,
EyeIrritation6pack_PID277,0,Chlorothalonil not listed,1897-45-6,length_matched_all,Chlorothalonil,True,True,True
EyeIrritation6pack_PID277,1,Propylene Glycol not listed,57-55-6,length_matched_all,Propylene Glycol,True,True,True
EyeIrritation6pack_PID345,2,2-Propanediol <,57-55-6,name_ref_unique,Propylene Glycol,True,True,True
EyeIrritation6pack_PID345,4,2-Benzisothiazol-3(2H)-one >= 0.005 - <=,2634-33-5,name_ref_unique,"1,2-Benzisothiazol-3(2H)-one",True,True,True
EyeIrritation6pack_PID356,2,Aminocyclopyrachlor,858956-08-8,name_ref_unique,Aminocyclopyrachlor,True,True,True
EyeIrritation6pack_PID362,1,+/--tartaric acid >= 20 - <,133-37-9,length_matched_all,"2,3-Dihydroxybutanedioic Acid",True,True,True
EyeIrritation6pack_PID362,3,Talc (Mg3H2(SiO3)) >= 1 - <,14807-96-6,length_matched_all,Talc,True,True,True
EyeIrritation6pack_PID393,1,Glycerol,56-81-5,name_ref_unique,Glycerol,True,True,True
EyeIrritation6pack_PID393,2,"1,2-Benzisothiazol-3(2H)-one",2634-33-5,name_ref_unique,"1,2-Benzisothiazol-3(2H)-one",True,True,True
EyeIrritation6pack_PID393,3,Kathon,55965-84-9,name_ref_unique,Kathon,True,True,True
EyeIrritation6pack_PID459,2,"1,2-Benzisothiazol-3(2H)-one",2634-33-5,name_cas_length_matched,"1,2-Benzisothiazol-3(2H)-one",True,True,True
EyeIrritation6pack_PID459,3,Propylene Glycol,57-55-6,name_cas_length_matched,Propylene Glycol,True,True,True
EyeIrritation6pack_PID530,0,Saflufenacil,372137-35-4,name_ref_unique,Saflufenacil,True,True,True
EyeIrritation6pack_PID530,4,"1,2-benzisothiazol-3(2H)-one",2634-33-5,name_ref_unique,"1,2-Benzisothiazol-3(2H)-one",True,True,True
EyeIrritation6pack_PID540,1,(R)-Metalaxyl,70630-17-0,name_ref_unique,(R)-Metalaxyl,True,True,True
EyeIrritation6pack_PID540,2,(S)-metalaxyl,69516-34-3,name_ref_unique,(S)-metalaxyl,True,True,True
EyeIrritation6pack_PID585,2,Synthetic amorphous silica <=,112926-00-8,name_ref_unique,Silica,True,True,True
EyeIrritation6pack_PID585,3,2-Benzisothiazol-3(2H)-one >= 0.005 - <=,2634-33-5,name_ref_unique,"1,2-Benzisothiazol-3(2H)-one",True,True,True
EyeIrritation6pack_PID62,1,Clay,8031-18-3,length_matched_all,,False,,
EyeIrritation6pack_PID62,2,contains Crystalline Silica,14808-60-7,length_matched_all,Silica,True,True,True
EyeIrritation6pack_PID718,1,"4-Pyridinedimethanol, 5-hydroxy-6- >= 5 - <",58-56-0,name_cas_length_matched,Pyridoxine Hydrochloride,True,,
EyeIrritation6pack_PID718,4,starch >= 1 - <,9005-25-8,name_cas_length_matched,,False,,
EyeIrritation6pack_PID718,5,"5,7-triaza-1- >= 0.1 - <",51229-78-8,name_cas_length_matched,"cis-1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride",True,,
EyeIrritation6pack_PID803,0,glycerol >= 10 - <,56-81-5,length_matched_all,Glycerol,True,True,True
EyeIrritation6pack_PID803,2,"methyl N-(,6-dimethylphenyl)-N- >= 1 - <",57837-19-1,length_matched_all,Metalaxyl,True,True,True
EyeIrritation6pack_PID831,1,"2,3-Propanetriol 9.5-10.5",56-81-5,length_matched_all,Glycerol,True,True,True
EyeIrritation6pack_PID831,2,2-Benzisothiazol-3(2H)-one 0.18-0.22,2634-33-5,length_matched_all,"1,2-Benzisothiazol-3(2H)-one",True,True,True
EyeIrritation6pack_PID857,1,"1,2-Benzisothiazol-3(2H)-one",2634-33-5,name_ref_unique,"1,2-Benzisothiazol-3(2H)-one",True,True,True
EyeIrritation6pack_PID857,2,Propylene Glycol,57-55-6,name_ref_unique,Propylene Glycol,True,True,True
EyeIrritation6pack_PID870,0,Saflufenacil,372137-35-4,name_ref_unique,Saflufenacil,True,True,True
EyeIrritation6pack_PID955,1,THFA Proprietary,872-50-4,length_matched_all,N-methyl-2-pyrrolidone,True,True,True
EyeIrritation6pack_PID985,0,GSP Crop Science Limited,129558-76-5,length_matched_all,Tolfenpyrad,True,True,True
MIX1051,0,Methyl Anthranilate,134-20-3,name_cas_length_matched,Methyl Anthranilate,True,True,True
MIX1052,1,(+-)-alpha-Pinene,80-56-8,name_ref_unique,(+-)-alpha-Pinene,True,True,True
MIX1055,0,Hydroxycitronellal,107-75-5,name_cas_length_matched,Hydroxycitronellal,True,True,True
MIX1058,0,Hydroxycitronellal,107-75-5,name_cas_length_matched,Hydroxycitronellal,True,True,True
MIX1065,0,Water,7732-18-5,name_ref_unique,Water,True,True,True
MIX1065,1,Glycerol,56-81-5,name_ref_unique,Glycerol,True,True,True
MIX1065,2,Benzyl Alcohol,100-51-6,name_ref_unique,Benzyl Alcohol,True,True,True
MIX127,0,Chlorothalonil not listed,1897-45-6,length_matched_all,Chlorothalonil,True,True,True
MIX127,1,Propylene Glycol not listed,57-55-6,length_matched_all,Propylene Glycol,True,True,True
MIX186,8,2-benzisothiazol-3(2H)-one >= 0.05 - <,2634-33-5,name_cas_length_matched,"1,2-Benzisothiazol-3(2H)-one",True,,
MIX27,1,Clay,8031-18-3,length_matched_all,,False,,
MIX27,2,contains Crystalline Silica,14808-60-7,length_matched_all,Silica,True,True,True
MIX77,6,Kaolin,1332-58-7,name_ref_unique,,False,,
MIX90,0,Isopropanol -No,67-63-0,length_matched_all,Isopropanol,True,True,True
MIX90,1,Ethanol -No,64-17-5,length_matched_all,Ethanol,True,True,True
MIX90,2,Butoxyethanol -No.: 1-5,111-76-2,length_matched_all,2-Butoxyethanol,True,True,True
MIX90,3,Didecyldimethylammonium chloride -No,7173-51-5,length_matched_all,Didecyldimethylammonium Chloride,True,True,True
