endpoint,Formulation_ID,product_name,ph_best,ct_cat,v1_sds_grade_status,v1_verdict_column,ingredients_head,quote,evidence_explicit_negative,evidence_suspicious,ph_gate_violation
eye,MIX668,Bifenthrin 0.083 Insecticide with X-X-X Fertilizer,,NC,negative,negative,Bifenthrin,"Serious Eye Damage / Irritation: Based on classification principles, the classification criteria are not met.",True,False,False
eye,MIX661,Accent Q Herbicide,3.9,2A,negative,negative,Kaolin | Nicosulfuron,Serious eye damage/eye irritation / May cause slight temporary eye irritation. / Minimal effects that do not meet the threshold for classification.,True,True,False
eye,MIX888,Fenugreek absolute,,,negative,negative,Fenugreek Absolute (INCI: Trigonella Foenum-Graecum Seed Extract),This chemical is not considered hazardous by the 2012 OSHA Hazard Communication Standard (29 CFR 1910.1200) ... Not classified ... Hazard statements None,True,False,False
sens,MIX891,Orris absolute,,,negative,negative,Orris Root Extract natural (Iris spp. root extract; perfumery trade term used interchangeably with 'Orris absolute'),· Sensitization: No sensitizing effects known.,True,False,False
sens,MIX799,sodium hydroxide/SMS (1:10),,NC,negative,negative,Water | Sodium hydroxide | Sodium metabisulfite (SMS),Skin Sensitization: / Not applicable.,False,False,False
sens,EyeIrritation6pack_PID966,Texan Glyphosate,,NC,negative,negative,Glyphosate (ISO),"Respiratory or Skin Sensitisation: Based on classification principles, the classification criteria are not met.",True,False,False
skin,EyeIrritation6pack_PID768,Precise Acephate,,,negative,negative,mol | Index No | Acephate,Skin corrosion/irritation Shall not be classified as corrosive/irritant to skin.,True,False,False
skin,MIX1024,Bay oil,,,negative,negative,,Skin Contact: None expected when used under normal conditions.,False,False,False
eye,MIX618,Abamectin A1a,,,negative,negative,Abamectin (Avermectin B1a/B1b mixture) - 요청된 Avermectin A1a와 불일치,· on the eye: No irritating effect.,True,False,False
sens,MIX294,Ironclad Herbicide,,NC,negative,negative,"Distillates (petroleum), hydrotreated light >= 70 - < | Nicosulfuron | Rimsulfuron",Skin sensitization This product is not expected to cause skin sensitization.,True,False,False
sens,MIX459,TC 240,,NC,negative,negative,">= - < Hydrocarbons, C3-4 | >= - < Cyclohexane | substance contains less than 0, w/w 1,3-butadiene (Einecs No -8). If th","d) respiratory or skin sensitisation / Based on available data, the classification criteria are not met",True,False,False
sens,MIX397,Penbotec,7.76,,negative,negative,Pyrimethanil (ISO),Respiratory or skin sensitization: Species: Guinea pig Method: Guinea pig maximization assay (GPMT) (OECD 406) Result: Does not cause skin sensitization,True,False,False
sens,EyeIrritation6pack_PID738,Penbotec,7.76,,negative,negative,Pyrimethanil (ISO) >= - <50 %,Respiratory or skin sensitization: Species: Guinea pig Method: Guinea pig maximization assay (GPMT) (OECD 406) Result: Does not cause skin sensitization,True,False,False
sens,MIX672,Calypso 4F,,,negative,negative,"1,2-Benzisothiazol-3(2H)-one (BIT) | Thiacloprid",Respiratory or skin sensitisation Maximisation Test (GPMT) - Guinea pig Result: Does not cause skin sensitisation.,True,False,False
sens,MIX905,Chamomile oil German,,,negative,negative,"Oil of Chamomile, German/Blue (Matricaria chamomilla / Oleum Chamomillae)",Respiratory or skin sensitisation / Shall not be classified as a respiratory or skin sensitiser.,True,False,False
skin,MIX670,Bifenthrin 0.069 RU Insecticide With X-X-X Fertilizer,,NC,negative,negative,Bifenthrin,"Skin corrosion/irritation Based on available data, the classification criteria are not met.",True,False,False
skin,MIX794,Oleic/caprylic acid,,,negative,negative,Oleic acid | Octanoic acid (Caprylic acid),2.1 Classification of the substance or mixture Not a hazardous substance or mixture.,True,False,False
skin,EyeIrritation6pack_PID838,S-Metolachlor & Mesotrione,,,negative,negative,Identifiers | Index No 607 | Mesotrione,Skin corrosion/irritation / Shall not be classified as corrosive/irritant to skin.,True,False,False
skin,MIX587,Folicur 1. 2 emulsifiable concentrate(15.4),,,negative,negative,Tebuconazole,Skin corrosion/irritation  / Skin - rabbit  / Result: No skin irritation,True,False,False
skin,MIX708,Safer Brand Garden Fungicide RTU II,,NC,negative,negative,"Sulfur, precipitated",Health hazards Not classified. Hazard statement The mixture does not meet the criteria for classification. / Skin corrosion/irritation: Prolonged skin contact may cause temporary irritation.,True,True,False
