ing_cas_best,ing_name_best,canon_smiles,Formulation_ID,ing_idx,smiles_source,june_merge_basis
106-24-1,Geraniol 5.00,CC(C)=CCC/C(C)=C/CO,EyeIrritation6pack_PID802,3,pubchem_name,
106-24-1,Geraniol,CC(C)=CCCC(C)=CCO,EyeIrritation6pack_PID874,1,ntp_ice,
106-24-1,Geraniol,CC(C)=CCC/C(C)=C/CO,MIX1001,5,pubchem_name,
106-24-1,Geraniol,CC(C)=CCC/C(C)=C/CO,MIX1030,12,pubchem_name,
106-24-1,Geraniol,CC(C)=CCC/C(C)=C/CO,MIX1044,7,pubchem_name,
106-24-1,Geraniol,CC(C)=CCC/C(C)=C/CO,MIX1050,10,pubchem_name,
106-24-1,Geraniol 5.00,CC(C)=CCC/C(C)=C/CO,MIX380,3,pubchem_name,
106-24-1,Geraniol,CC(C)=CCCC(C)=CCO,MIX438,1,ntp_ice,
112926-00-8,"Silica, amorphous, precipitated and gel",O.O=[Si]=O,EyeIrritation6pack_PID167,1,pubchem_name,
112926-00-8,"Silica, amorphous",O=[Si]=O,EyeIrritation6pack_PID277,2,pubchem_name,
112926-00-8,precipitated silica,O=[Si]=O,EyeIrritation6pack_PID505,4,pubchem_name,
112926-00-8,Synthetic amorphous silica <=,O=[Si]=O,EyeIrritation6pack_PID585,2,,name_ref_unique
112926-00-8,"Silica, amorphous",O=[Si]=O,MIX127,2,pubchem_name,
112926-00-8,precipitated silica,O=[Si]=O,MIX271,4,pubchem_name,
112926-00-8,Synthetic amorphous silica,O=[Si]=O,MIX290,2,pubchem_name,
112926-00-8,Hydrated amorphous silica,O=[Si]=O,MIX437,2,pubchem_name,
112926-00-8,"Silica, amorphous, precipitated and gel",O.O=[Si]=O,MIX65,1,pubchem_name,
113-48-4,N-OCTYL BICYCLOHEPTENE DICARBOXIMIDE,CCCCC(CC)CN1C(=O)[C@@H]2[C@H](C1=O)[C@@H]1C=C[C@H]2C1,EyeIrritation6pack_PID224,3,pubchem_name,
113-48-4,Octylbicycloheptenedicarboximide,CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O,EyeIrritation6pack_PID631,4,ntp_ice,
113-48-4,1-5 2-ethylhexyl bicycloheptene dicarboximide,CCCCC(CC)CN1C(=O)[C@@H]2[C@H](C1=O)[C@@H]1C=C[C@H]2C1,EyeIrritation6pack_PID658,2,pubchem_name,
113-48-4,n-Octyl Bicycloheptene,CCCCC(CC)CN1C(=O)[C@@H]2[C@H](C1=O)[C@@H]1C=C[C@H]2C1,EyeIrritation6pack_PID861,2,pubchem_name,
113-48-4,Octylbicycloheptenedicarboximide,CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O,MIX302,4,ntp_ice,
113-48-4,2-Ethylhexyl bicycloheptene dicarboximide (MGK-264),CCCCC(CC)CN1C(=O)[C@@H]2[C@H](C1=O)[C@@H]1C=C[C@H]2C1,MIX328,2,pubchem_name,
113-48-4,n-Octyl Bicycloheptene,CCCCC(CC)CN1C(=O)[C@@H]2[C@H](C1=O)[C@@H]1C=C[C@H]2C1,MIX435,2,pubchem_name,
12069-69-1,Copper(II) carbonate basic,O=C([O][Cu][OH])[O][Cu][OH],EyeIrritation6pack_PID1048,5,ntp_ice,
12069-69-1,"Copper Carbonate, basic",O=C([O-])[O-].[Cu+2],MIX392,2,ntp_ice,
12069-69-1,Copper(II) carbonate basic,O=C([O][Cu][OH])[O][Cu][OH],MIX542,5,ntp_ice,
129558-76-5,GSP Crop Science Limited,CCc1nn(C)c(C(=O)NCc2ccc(Oc3ccc(C)cc3)cc2)c1Cl,EyeIrritation6pack_PID985,0,master_column,length_matched_all
129558-76-5,Tolfenpyrad EC,CN1CCCC1=O,EyeIrritation6pack_PID985,1,master_column,
129558-76-5,Tolfenpyrad,CN1CCCC1=O,MIX497,1,master_column,skipped_no_safe_pair
1317-39-1,dicopper oxide - <50,[Cu].[O]=[Cu],EyeIrritation6pack_PID875,0,pubchem_name,
1317-39-1,Cuprous oxide,[Cu+].[Cu+].[O-2],MIX116,1,ntp_ice,
1317-39-1,Dicopper oxide,[Cu].[O]=[Cu],MIX442,0,pubchem_name,
1317-39-1,Cuprous oxide,[Cu+].[Cu+].[O-2],MIX612,1,ntp_ice,
131860-33-8,Azoxystrobin,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,EyeIrritation6pack_PID103,2,pubchem_name,
131860-33-8,Azoxystrobin 50 NA NA NA NA,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,EyeIrritation6pack_PID107,0,pubchem_name,
131860-33-8,Azoxystrobin,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,EyeIrritation6pack_PID23,1,ntp_ice,
131860-33-8,Azoxystrobin,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,EyeIrritation6pack_PID272,2,ntp_ice,
131860-33-8,Azoxystrobin,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,EyeIrritation6pack_PID273,4,ntp_ice,
131860-33-8,Azoxystrobin,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,EyeIrritation6pack_PID476,4,ntp_ice,
131860-33-8,Azoxystrobin,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,EyeIrritation6pack_PID521,2,ntp_ice,
131860-33-8,Azoxystrobin,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,EyeIrritation6pack_PID53,2,ntp_ice,
131860-33-8,Azoxystrobin,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,EyeIrritation6pack_PID610,2,ntp_ice,
