Formulation_ID,pipe_index,name_token,len_names,len_cas,len_smiles,form_basis,decision,cas,smiles,v4_assigned_cas,v4_defect_verdict
EyeIrritation6pack_PID1000,0,Tri-allate,3,1,1,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,,2303-17-5,UNVERIFIABLE
EyeIrritation6pack_PID1000,1,Inert ingredients secret,3,1,1,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,,,UNVERIFIABLE
EyeIrritation6pack_PID1000,2,Liquid Hydrocarbon secret to,3,1,1,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,,,UNVERIFIABLE
EyeIrritation6pack_PID1056,1,Content (W/W),10,5,4,name_ref_unique,dropped:nonchemical_name_token,,,907204-31-3,NONCHEM_TOKEN_GOT_STRUCTURE
EyeIrritation6pack_PID1056,3,Content (W/W): >= 0.5,10,5,4,name_ref_unique,dropped:nonchemical_name_token,,,52-51-7,NONCHEM_TOKEN_GOT_STRUCTURE
EyeIrritation6pack_PID1056,4,sodium salts,10,5,4,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,,55965-84-9,UNVERIFIABLE
EyeIrritation6pack_PID1056,5,Content (W/W): > 0.5 - <=,10,5,4,name_ref_unique,dropped:nonchemical_name_token,,,,UNVERIFIABLE
EyeIrritation6pack_PID1056,7,Content (W/W): >= 0.02,10,5,4,name_ref_unique,dropped:nonchemical_name_token,,,,UNVERIFIABLE
EyeIrritation6pack_PID1056,8,mixture of: 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1),10,5,4,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,,,UNVERIFIABLE
EyeIrritation6pack_PID1056,9,Content (W/W): >= 0.0001,10,5,4,name_ref_unique,dropped:nonchemical_name_token,,,,UNVERIFIABLE
EyeIrritation6pack_PID182,1,Content (W/W),10,5,4,name_ref_unique,dropped:nonchemical_name_token,,,7783-20-2,NONCHEM_TOKEN_GOT_STRUCTURE
EyeIrritation6pack_PID182,2,Ammonium sulphate,10,5,4,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,,7631-86-9,UNVERIFIABLE
EyeIrritation6pack_PID182,3,Content (W/W): > 10.0,10,5,4,name_ref_unique,dropped:nonchemical_name_token,,,1332-58-7,NONCHEM_TOKEN_GOT_STRUCTURE
EyeIrritation6pack_PID182,4,Silicon dioxide,10,5,4,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,,577-11-7,UNVERIFIABLE
EyeIrritation6pack_PID182,5,Content (W/W): >= 10.0 - <=,10,5,4,name_ref_unique,dropped:nonchemical_name_token,,,,UNVERIFIABLE
EyeIrritation6pack_PID182,7,Content (W/W): >= 3.0 - <=,10,5,4,name_ref_unique,dropped:nonchemical_name_token,,,,UNVERIFIABLE
EyeIrritation6pack_PID182,8,sodium-di-ethyl-hexyl-sulfosuccinate,10,5,4,name_ref_unique,skipped_length_mismatch:no_unique_reference_cas,,,,UNVERIFIABLE
EyeIrritation6pack_PID182,9,Content (W/W): >= 0.1 - <=,10,5,4,name_ref_unique,dropped:nonchemical_name_token,,,,UNVERIFIABLE
