Formulation_ID,product_name,tox_doc_product,doc_rel,doc_source,판정,근거유형,근거,문서Section3_CAS,우리_CAS,y_eye_src,y_skin_src,y_sens_src,라벨오염_eye,라벨오염_skin,라벨오염_sens,신뢰도
EyeIrritation6pack_PID1001,Trifloxysulfuron-sodium,Trifloxysulfuron-sodium,ingredient_source_audit/highlighted/78fab35366233679_highlighted.pdf,local,일치,제품명동일,우리CAS(1)['199119-58-9'] vs 문서Section3CAS(1)['199119-58-9'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=sodium|trifloxysulfuron | 문서추출문자수=8172,199119-58-9,199119-58-9,ntp_measured,,,False,N/A,N/A,높음
EyeIrritation6pack_PID1019,Up-Cyde Pro 2.0 EC Termiticide/Insecticide,Up-Cyde Pro 2.0 EC,ingredient_source_audit/highlighted/832a14ef8de093ed_highlighted.pdf,local,일치,CAS일치,"우리CAS(1)['52315-07-8'] vs 문서Section3CAS(2)['52315-07-8', '74742-95-6'] | NTP앵커CAS교집합=['52315-07-8'] | 문서본문에서 발견된 우리 성분명='cypermethrin' | 제품명토큰교집합=cyde | 문서추출문자수=13662",52315-07-8|74742-95-6,52315-07-8,ntp_measured,,,False,N/A,N/A,높음
EyeIrritation6pack_PID1024,V-10116 3.7 FS,"Glycerin (Product Number: G2289, Brand: Sigma-Aldrich, CAS-No. 56-81-5)",ingredient_source_audit/ordered_option_runs/highlighted_sources/G041_56-81-5_ChemBlink_Sigma_highlighted.pdf,local,오연결,조성불일치,우리CAS(0)[] vs 문서Section3CAS(1)['56-81-5'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합= | 문서추출문자수=12023,56-81-5,,ntp_measured,sds_v1,sds_v1,False,True,True,낮음
EyeIrritation6pack_PID1027,V-10142 Herbicide,Celero® Herbicide,ingredient_source_audit/highlighted/771f17c74b9b0fa9_highlighted.pdf,local,부분일치,CAS일치,"우리CAS(4)['122548-33-8', '126-86-3', '1332-58-7', '9003-11-6'] vs 문서Section3CAS(4)['122548-33-8', '126-86-3', '1332-58-7', '9003-11-6'] | NTP앵커CAS교집합=['122548-33-8'] | 문서본문에서 발견된 우리 성분명='imazosulfuron' | 제품명토큰교집합= | 문서추출문자수=13336",122548-33-8|126-86-3|1332-58-7|9003-11-6,122548-33-8|126-86-3|1332-58-7|9003-11-6,ntp_measured,sds_v1,sds_v1,False,False,False,높음
EyeIrritation6pack_PID1032,VCP-01,Repair Materials (Product ID: VCP),ingredient_source_audit/highlighted/4ae6d9fcb3da7345_highlighted.pdf,local,오연결,CAS불일치,"우리CAS(1)['82657-04-3'] vs 문서Section3CAS(3)['1317-65-3', '14808-60-7', '65997-15-1'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=vcp | 문서추출문자수=17402",1317-65-3|14808-60-7|65997-15-1,82657-04-3,ntp_measured,sds_v1,sds_v1,False,True,True,중간
EyeIrritation6pack_PID1039,Vitacon RTU FL Fungicide,"Shar-Teb 3.6FL Fungicide  ABN: Tebu-Crop 3.6F, Tebu-Turf 3.6F, Tebusha 3.6FL",ingredient_source_audit/highlighted/fd2ea4ca4e1f1268_highlighted.pdf,local,부분일치,CAS일치,"우리CAS(6)['11138-66-2', '125225-28-7', '5234-68-4', '56-81-5', '57837-19-1', '7732-18-5'] vs 문서Section3CAS(5)['107534-96-3', '11138-66-2', '56-81-5', '7732-18-5', '80443-41-0'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합= | 문서추출문자수=19027 | 2차재검: 문서Section3 CAS와 우리 활성성분 CAS 교집합 존재 및 상표명↔활성성분 지식 대조로 오연결→부분일치 수정",107534-96-3|11138-66-2|56-81-5|7732-18-5|80443-41-0,11138-66-2|125225-28-7|5234-68-4|56-81-5|57837-19-1|7732-18-5,ntp_measured,sds_v1,sds_v1,False,False,False,중간
EyeIrritation6pack_PID1040,Voliam Flexi Insecticide,VOLIAM,ingredient_source_audit/highlighted/ddcc0c90471bab7e_highlighted.pdf,local,부분일치,CAS불일치,"우리CAS(1)['153719-23-4'] vs 문서Section3CAS(3)['167-00-5', '500008-45-7', '55965-84-9'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=voliam | 문서추출문자수=10883 | 수동판정(규칙엔진=일치→부분일치); 제품명/상표명 지식 및 문서 기재 제품명 'VOLIAM' 대조",167-00-5|500008-45-7|55965-84-9,153719-23-4,ntp_measured,sds_v1,sds_v1,False,False,False,중간
EyeIrritation6pack_PID1044,Weld Herbicide,AS-SB-A SOLVENT-BASED ANTI-SPATTER (MSDS Name: SDS-AS-SB-A),ingredient_source_audit/highlighted/c75c7b1be62c2d70_highlighted.pdf,local,오연결,CAS불일치,"우리CAS(4)['29450-45-1', '57754-85-5', '75-09-0', '81406-37-3'] vs 문서Section3CAS(1)['75-09-2'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합= | 문서추출문자수=10861",75-09-2,29450-45-1|57754-85-5|75-09-0|81406-37-3,ntp_measured,sds_v1,sds_v1,False,True,True,중간
EyeIrritation6pack_PID1051,X-Cide 800 Biocide,X-CID (헤더 표기: PROXITANE ® 0007 / Trade name: X-CID),ingredient_source_audit/highlighted/6c1c64ddc6d9e939_highlighted.pdf,local,오연결,CAS불일치,"우리CAS(1)['104-55-2'] vs 문서Section3CAS(6)['2-00-6', '3-00-9', '64-19-7', '7722-84-1', '79-21-0', '94-00-8'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합= | 문서추출문자수=10098",2-00-6|3-00-9|64-19-7|7722-84-1|79-21-0|94-00-8,104-55-2,ntp_measured,sds_v1,sds_v1,False,True,True,중간
EyeIrritation6pack_PID1055,XDE-PRDX,Conoidin A,ingredient_source_audit/ordered_option_runs/highlighted_sources/G040_alternate_sds_pdf_76b1f244a1d1e120_highlighted.pdf,local,오연결,CAS불일치,"우리CAS(4)['18080-67-6', '34256-82-1', '57754-85-5', '98967-40-9'] vs 문서Section3CAS(1)['18080-67-6'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합= | 문서추출문자수=13738",18080-67-6,18080-67-6|34256-82-1|57754-85-5|98967-40-9,ntp_measured,sds_v1,sds_v1,False,True,True,중간
EyeIrritation6pack_PID1060,Zampro Fungicide,Zampro,ingredient_source_audit/highlighted/ad11c7ed48807994_highlighted.pdf,local,일치,CAS일치,"우리CAS(1)['110488-70-5'] vs 문서Section3CAS(6)['100-41-4', '110488-70-5', '116412-83-0', '2634-33-5', '2682-20-4', '865318-97-4'] | NTP앵커CAS교집합=['110488-70-5'] | 문서본문에서 발견된 우리 성분명='dimethomorph' | 제품명토큰교집합=zampro | 문서추출문자수=9227",100-41-4|110488-70-5|116412-83-0|2634-33-5|2682-20-4|865318-97-4,110488-70-5,ntp_measured,sds_v1,sds_v1,False,False,False,높음
EyeIrritation6pack_PID1062,Zoxamide(95_100%),Oxamide,ingredient_source_audit/highlighted/35bda4ed9143eb1a_highlighted.pdf,local,오연결,CAS불일치,"우리CAS(2)['156052-68-5', '471-46-5'] vs 문서Section3CAS(1)['471-46-5'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합= | 문서추출문자수=7947",471-46-5,156052-68-5|471-46-5,ntp_measured,sds_v1,,False,True,N/A,중간
EyeIrritation6pack_PID116,BAS 320 I Pro Fire Ant Bait,Amdro® Pro fire ant bait (Product No.: 579604),ingredient_source_audit/highlighted/65ba622bb02581cf_highlighted.pdf,local,상표명대응,CAS일치,"우리CAS(2)['139968-49-3', '67485-29-4'] vs 문서Section3CAS(1)['67485-29-4'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=ant|fire | 문서추출문자수=11040 | 2차재검: 문서Section3 CAS와 우리 활성성분 CAS 교집합 존재 및 상표명↔활성성분 지식 대조로 오연결→상표명대응 수정",67485-29-4,139968-49-3|67485-29-4,sds_v1,,sds_v1,False,N/A,False,중간
EyeIrritation6pack_PID118,BAS 500 F Manufacturing Use Product,Lucantin® Yellow 10% NXT,ingredient_source_audit/highlighted/5758adb4093a53cb_highlighted.pdf,local,오연결,CAS불일치,"우리CAS(1)['175013-18-0'] vs 문서Section3CAS(7)['1109-11-1', '121-79-9', '128-37-0', '137-66-6', '14306-25-3', '198-00-3', '67762-90-7'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합= | 문서추출문자수=10594",1109-11-1|121-79-9|128-37-0|137-66-6|14306-25-3|198-00-3|67762-90-7,175013-18-0,ntp_measured,sds_v1,sds_v1,False,True,True,중간
EyeIrritation6pack_PID125,BAS 700 01 Fungicide,Delan 700 WDG,ingredient_source_audit/highlighted/9b558968bd22955b_highlighted.pdf,local,오연결,CAS불일치,"우리CAS(1)['907204-31-3'] vs 문서Section3CAS(4)['1332-58-7', '21-00-0', '3347-22-6', '7783-20-2'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=700 | 문서추출문자수=10502",1332-58-7|21-00-0|3347-22-6|7783-20-2,907204-31-3,ntp_measured,sds_v1,sds_v1,False,True,True,중간
EyeIrritation6pack_PID126,BAS 703 01 F Fungicide,,ingredient_source_audit/highlighted/3ab695fc8ab105ae_highlighted.pdf,local,불명,판독불가,"우리CAS(2)['175013-18-0', '907204-31-3'] vs 문서Section3CAS(1)['907204-31-3'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합= | 문서추출문자수=10461 | 수동판정(규칙엔진=오연결→불명); 제품명/상표명 지식 및 문서 기재 제품명 'nan' 대조",907204-31-3,175013-18-0|907204-31-3,ntp_measured,,,False,N/A,N/A,낮음
EyeIrritation6pack_PID128,BASF MCPP-P,Chronicle®,ingredient_source_audit/highlighted/296587bc60e570e8_highlighted.pdf,local,오연결,CAS불일치,"우리CAS(1)['93-65-2'] vs 문서Section3CAS(9)['112926-00-8', '137641-05-5', '2634-33-5', '40487-42-1', '52-51-7', '55965-84-9', '57-55-6', '68425-94-5'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합= | 문서추출문자수=9784",112926-00-8|137641-05-5|2634-33-5|40487-42-1|52-51-7|55965-84-9|57-55-6|68425-94-5|88-00-6,93-65-2,ntp_measured,sds_v1,sds_v1,False,True,True,중간
EyeIrritation6pack_PID138,Bentazone,Bentazon,ingredient_source_audit/ordered_option_runs/highlighted_sources/G063_25057-89-0_ChemBlink_Sigma_highlighted.pdf,local,상표명대응,제품명동일,"우리CAS(0)[] vs 문서Section3CAS(2)['12-00-1', '25057-89-0'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합= | 문서추출문자수=12302 | 수동판정(규칙엔진=일치→상표명대응); 제품명/상표명 지식 및 문서 기재 제품명 'Bentazon' 대조",12-00-1|25057-89-0,,ntp_measured,,sds_2nd_sec11,False,N/A,False,높음
EyeIrritation6pack_PID145,Bifenthrin 0.069 RU Insecticide With X-X-X Fertilizer,Nutrite Professional Turf Fertilizer 0.069% Bifenthrin Insecticide,ingredient_source_audit/highlighted/335bf5ac93599b7d_highlighted.pdf,local,일치,외부지식,"우리CAS(1)['57-13-6'] vs 문서Section3CAS(10)['108-19-0', '1302-78-9', '1317-65-3', '13547-17-6', '14808-60-7', '57-13-6', '7447-40-7', '7647-14-5'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=069|bifenthrin|fertilizer | 문서추출문자수=14397 | 수동판정(규칙엔진=상표명대응→일치); 제품명/상표명 지식 및 문서 기재 제품명 'Nutrite Professional Turf Fertilizer 0.069% Bifenthrin Insec' 대조",108-19-0|1302-78-9|1317-65-3|13547-17-6|14808-60-7|57-13-6|7447-40-7|7647-14-5|7704-39-9|82657-04-3,57-13-6,ntp_measured,sds_v1,,False,False,N/A,중간
EyeIrritation6pack_PID160,Bispyribac-sodium,Bispyribac sodium salt,ingredient_source_audit/ordered_option_runs/highlighted_sources/G046_125401-92-5_ChemBlink_Sigma_highlighted.pdf,local,일치,제품명동일,우리CAS(1)['125401-92-5'] vs 문서Section3CAS(1)['125401-92-5'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=bispyribac|sodium | 문서추출문자수=10773,125401-92-5,125401-92-5,ntp_measured,sds_v1,,False,False,N/A,높음
EyeIrritation6pack_PID168,Bonide Spinosad Dust,Bonide Captain Jack's Deadbug Brew Ready to Use,ingredient_source_audit/highlighted/17da382f7c9090ef_highlighted.pdf,local,부분일치,외부지식,"우리CAS(1)['131929-60-7'] vs 문서Section3CAS(2)['131929-60-7', '131929-63-0'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=bonide | 문서추출문자수=12770 | 수동판정(규칙엔진=상표명대응→부분일치); 제품명/상표명 지식 및 문서 기재 제품명 'Bonide Captain Jack's Deadbug Brew Ready to Use' 대조",131929-60-7|131929-63-0,131929-60-7,ntp_measured,sds_v1,sds_v1,False,False,False,중간
EyeIrritation6pack_PID170,Boscalid,Boscalid,ingredient_source_audit/ordered_option_runs/highlighted_sources/G045_188425-85-6_ChemBlink_Sigma_highlighted.pdf,local,일치,제품명동일,우리CAS(1)['188425-85-6'] vs 문서Section3CAS(1)['188425-85-6'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=boscalid | 문서추출문자수=11220,188425-85-6,188425-85-6,ntp_measured,sds_v1,,False,False,N/A,높음
EyeIrritation6pack_PID195,Captan 80 WDG,Captan,ingredient_source_audit/ordered_option_runs/highlighted_sources/G037_133-06-2_ChemBlink_Sigma_highlighted.pdf,local,부분일치,외부지식,"우리CAS(0)[] vs 문서Section3CAS(2)['133-06-2', '44-00-6'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=captan | 문서추출문자수=14577 | 수동판정(규칙엔진=일치→부분일치); 제품명/상표명 지식 및 문서 기재 제품명 'Captan' 대조",133-06-2|44-00-6,,ntp_measured,,sds_v1,False,N/A,False,중간
EyeIrritation6pack_PID196,Captevate 68 WDG,CAPTEVATE® 68 WDG Fungicide,ingredient_source_audit/highlighted/5c12e06bc4c27b69_highlighted.pdf,local,일치,조성일치,"우리CAS(1)['133-06-2'] vs 문서Section3CAS(3)['126833-17-8', '133-06-2', '8061-51-6'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=captevate|wdg | 문서추출문자수=18852",126833-17-8|133-06-2|8061-51-6,133-06-2,ntp_measured,sds_v1,sds_v1,False,False,False,중간
EyeIrritation6pack_PID220,Cheminova Abamectin,ZORO™ Insecticide/Miticide,ingredient_source_audit/highlighted/697615ed20093d19_highlighted.pdf,local,상표명대응,외부지식,"우리CAS(0)[] vs 문서Section3CAS(4)['128-37-0', '71751-41-2', '871-50-4', '872-50-4'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합= | 문서추출문자수=16411 | 수동판정(규칙엔진=오연결→상표명대응); 제품명/상표명 지식 및 문서 기재 제품명 'ZORO™ Insecticide/Miticide' 대조",128-37-0|71751-41-2|871-50-4|872-50-4,,ntp_measured,,sds_v1,False,N/A,False,중간
EyeIrritation6pack_PID222,Chemsico Aerosol LEG,Undercoat (All Colors) (Aerosol),ingredient_source_audit/highlighted/23e625b941a830e2_highlighted.pdf,local,오연결,CAS불일치,"우리CAS(3)['23031-36-9', '90-43-7', '91465-08-6'] vs 문서Section3CAS(3)['106-97-8', '1330-20-7', '67-64-1'] | NTP앵커CAS교집합=없음 | 제품명토큰교집합=aerosol | 문서추출문자수=12503",106-97-8|1330-20-7|67-64-1,23031-36-9|90-43-7|91465-08-6,ntp_measured,sds_v1,sds_v1,False,True,True,중간
EyeIrritation6pack_PID233,Chlorpyrifos VC,Chlorpyrifos E-Pro 2 Insecticide,ingredient_source_audit/highlighted/861cd6a9b302a656_highlighted.pdf,local,부분일치,CAS일치,"우리CAS(1)['2921-88-2'] vs 문서Section3CAS(2)['2921-88-2', '64742-94-5'] | NTP앵커CAS교집합=['2921-88-2'] | 문서본문에서 발견된 우리 성분명='chlorpyrifos' | 제품명토큰교집합=chlorpyrifos | 문서추출문자수=18413",2921-88-2|64742-94-5,2921-88-2,ntp_measured,,,False,N/A,N/A,높음
EyeIrritation6pack_PID241,Clincher CA,Cyhalofop-butyl,ingredient_source_audit/ordered_option_runs/highlighted_sources/G053_122008-85-9_ChemBlink_Sigma_highlighted.pdf,local,부분일치,CAS일치,우리CAS(1)['122008-85-9'] vs 문서Section3CAS(1)['122008-85-9'] | NTP앵커CAS교집합=['122008-85-9'] | 문서본문에서 발견된 우리 성분명='cyhalofop-butyl' | 제품명토큰교집합= | 문서추출문자수=11327,122008-85-9,122008-85-9,ntp_measured,,sds_v1,False,N/A,False,높음
