no,sheet,fid,ep,우선순위,현재라벨,★판정,★확정라벨,★근거출처,★확인한원문쪽수,★검토자,★검토일,★메모,SDS_Section2_분류,SDS_Section11_해당항목,SDS실제입장,신뢰도
1,A,EyeIrritation6pack_PID1024,눈자극,T1,2B,유지,2B,"ntp_measured(NTP ICE EPA in vivo Draize, EPA eye cat 3)","p.1(Sec2), p.5(Sec11)",AI판정,2026-08-30,"해석된 PDF는 제품(V-10116 3.7 FS, 메트코나졸 FS)이 아니라 부자재 Glycerin(56-81-5) Sigma 단일물질 SDS다. Sec2 ""Not a hazardous substance"", Sec11 눈 항목은 ""No data available"" -> SDS 미분류는 음성이 아니라 결측. NTP ICE 제품 in vivo Draize 양성이 이긴다.","2. HAZARDS IDENTIFICATION / 2.1 Classification of the substance or mixture: Not a hazardous substance or mixture. / 2.2 GHS Label elements, including precautionary statements: Not a hazardous substance or mixture. / 2.3 Hazards not otherwise classified (HNOC) or not covered by GHS - none",Serious eye damage/eye irritation / No data available,데이터없음,높음
2,A,EyeIrritation6pack_PID1032,눈자극,T1,2B,유지,2B,ntp_measured(NTP ICE EPA in vivo Draize),"p.1-2(Sec2), p.6(Sec11)",AI판정,2026-08-30,"해석된 PDF는 제품(VCP-01, 비펜트린 10%)이 아니라 부자재 ""VCP / Repair Materials""(결정질 실리카 함유 시멘트계) SDS. Sec2에 눈 분류 없음, Sec11 눈은 ""criteria are not met"" 이지만 대상 제품이 아니므로 제형 눈자극을 반박하지 못한다. CT가산=NC 와 라벨 bin1 모순은 문서 불일치와 무관.",SECTION 2) HAZARDS IDENTIFICATION / Classification: Carcinogenicity - Category 1A; Skin Sensitizer - Category 1; Specific Target Organ Toxicity - Repeated Exposure - Category 1 / Hazardous Statements - Health: H350 - May cause cancer; H317 - May cause an allergic skin reaction; H372 - Causes damage to organs through prolonged or repeated exposure.,"Serious Eye Damage/Irritation / Based on available data, the classification criteria are not met.",시험후_음성,중간
3,A,EyeIrritation6pack_PID1040,눈자극,T1,2B,유지,2B,"ntp_measured(NTP ICE EPA in vivo Draize, 2 records)","p.1-3(Sec2), p.10(Sec11)",AI판정,2026-08-30,"제품은 Voliam Flexi(티아메톡삼 20%+클로란트라닐리프롤), PDF는 동일 계열 다른 제품 VOLIAM(클로란트라닐리프롤 단독) SDS. VOLIAM은 제품 수준 토끼 시험 ""No eye irritation""으로 진짜 음성이나 티아메톡삼 20% 를 포함하지 않아 Voliam Flexi 에 적용 불가.","2.1 Classification of the substance or mixture / Classification (REGULATION (EC) No 1272/2008 as amended by GB-CLP): Short-term (acute) aquatic hazard, Category 1 H400; Long-term (chronic) aquatic hazard, Category 1 H410 / Hazard statements: H410 / EUH208 Contains reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1). May produce an allergic reaction.",Serious eye damage/eye irritation / Product: / Result : No eye irritation / Components: chlorantraniliprole: Species : Rabbit Result : No eye irritation,시험후_음성,중간
4,A,EyeIrritation6pack_PID1055,눈자극,T1,2B,유지,2B,"ntp_measured(NTP ICE EPA in vivo Draize, 3 records)","p.1(Sec2), p.5(Sec11)",AI판정,2026-08-30,"제품은 XDE-PRDX(아세토클로르 41.67%+클로피랄리드+플루메트술람), PDF는 연구용 시약 ""Conoidin A""(18080-67-6) SDS. 미량 CAS 로 잘못 매칭된 완전 불일치 문서. NTP 실측 양성 유지.",2 Hazard(s) identification / Classification of the substance or mixture: Aquatic Chronic 4 H413 May cause long lasting harmful effects to aquatic life. / Hazard pictograms None / Signal word None / Hazard statements H413,11 Toxicological information / Primary irritant effect: on the skin: No irritant effect. on the eye: No irritating effect. Sensitization: No sensitizing effects known.,시험후_음성,높음
5,A,EyeIrritation6pack_PID128,눈자극,T1,1,유지,1,"ntp_measured(NTP ICE EPA in vivo Draize, EPA eye cat 1) + CT가산=1","p.2-3(Sec2), p.11-12(Sec11)",AI판정,2026-08-30,"제품은 BASF MCPP-P(메코프로프-P 93%), PDF는 BASF Chronicle(펜디메탈린/피콜리나펜) SDS 로 다른 제품. Chronicle Sec11 은 ""The product has not been tested"" 라고 명시한 read-across 음성. 메코프로프-P 고농도는 통상 Eye Dam. 1 이며 CT가산예측도 1 로 일치.","2.1. Classification of the substance or mixture / According to GB-CLP Regulations: Skin Sens. 1 H317 May cause an allergic skin reaction; Repr. 2 H361d; Aquatic Acute 1 H400; Aquatic Chronic 1 H410 / Hazard Statement: H317, H361d, H400, H410, EUH401","Irritation / Assessment of irritating effects: Not irritating to eyes and skin. The product has not been tested. The statement has been derived from substances/products of a similar structure or composition. / Serious eye damage/irritation rabbit: non-irritant (Guideline 92/69/EEC, B.5)",시험후_음성,높음
6,A,EyeIrritation6pack_PID288,눈자극,T1,2B,유지,2B,ntp_measured(NTP ICE EPA in vivo Draize),"p.1-2(Sec2), p.8(Sec11)",AI판정,2026-08-30,"제품은 Cypermethrin(95%) 원제, PDF는 분석용 표준품 ""Cypermethrin ROTICHROM Pestilyse HPLC"" SDS. 표준품 SDS 의 계산기반 ""Shall not be classified"" 는 원제 제품 실측을 반박하지 못한다.","2.1 Classification according to Regulation (EC) No 1272/2008 (CLP): Acute Tox. 4 H302; Acute Tox. 4 H332; STOT SE 3 H335; STOT RE 2 H373; Aquatic Acute 1 H400; Aquatic Chronic 1 H410 / Hazard statements H302+H332, H335, H373, H410",Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.,시험후_음성,중간
7,A,EyeIrritation6pack_PID301,눈자극,T1,1,유지,1,"ntp_measured(NTP ICE EPA in vivo Draize, EPA eye cat 1)","p.1-2(Sec2), p.6(Sec11)",AI판정,2026-08-30,"제품은 Decis 1.0 Gel(델타메트린 11.7%), PDF는 부자재 1-Decene(872-05-9) ChemicalBook SDS. 제품 SDS 아님. 동일 제품의 다른 레코드(MIX142)도 확인 필요(no.24 참조).",SECTION 2: Hazards identification / GHS Label elements / Signal word Danger / Hazard statements: H226 Flammable liquid and vapour; H304 May be fatal if swallowed and enters airways; H315 Causes skin irritation; H410 Very toxic to aquatic life with long lasting effects,Serious eye damage/eye irritation / Eyes - Rabbit / Result: No eye irritation,시험후_음성,높음
8,A,EyeIrritation6pack_PID40,눈자극,T1,2B,유지,2B,ntp_measured(NTP ICE EPA in vivo Draize) + 주장_sds_2nd=2A(동일 방향),"p.1-2(Sec2), p.7(Sec11)",AI판정,2026-08-30,"제품은 Acephate 98.6% 원제, PDF는 분석용 표준품 ""Acephate ROTICHROM Pestilyse HPLC"" SDS(Acute Tox. 4 H302 만). sds_2nd 는 2A 로 이미 양성이므로 실질 충돌 아님.",2.1 Classification according to Regulation (EC) No 1272/2008 (CLP): Acute toxicity (oral) 4 Acute Tox. 4 H302 / Hazard statements H302 Harmful if swallowed,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.,시험후_음성,중간
9,A,EyeIrritation6pack_PID467,눈자극,T1,1,유지,1,"ntp_measured(NTP ICE EPA in vivo Draize, EPA eye cat 1)","p.1-2(Sec2), p.5-6(Sec11)",AI판정,2026-08-30,"제품은 Folicur 1.2 EC(테부코나졸 유제), PDF는 Sigma 테부코나졸 순물질 SDS. 순물질 토끼 시험 ""No eye irritation"" 은 유화제/용매를 포함한 EC 제형의 눈자극을 반박하지 못한다.","2.1 Classification of the substance or mixture / GHS Classification in accordance with 29 CFR 1910 (OSHA HCS): Acute toxicity, Oral (Category 4), H302; Reproductive toxicity (Category 2), H361; Acute aquatic toxicity (Category 2), H401; Chronic aquatic toxicity (Category 2), H411",Serious eye damage/eye irritation / Eyes - rabbit / Result: No eye irritation,시험후_음성,중간
10,A,EyeIrritation6pack_PID475,눈자극,T1,2B,유지,2B,"ntp_measured(NTP ICE EPA in vivo Draize, 2 records)","p.1-2(Sec2), p.7-8(Sec11)",AI판정,2026-08-30,"제품은 Foundation Lite(이프로디온 10.2%+티람 6.8%), PDF는 ""112 Non-Fibered Foundation & Roof Coating""(아스팔트계 방수도료) SDS. 제품명 ""Foundation"" 문자열로 오매칭. Sec11 분류표에서 눈 항목 카테고리는 ""---""/Not Applicable 로 데이터 없음.",2. Hazard(s) identification / 2.1. Classification of the substance or mixture / STOT RE 1;H372 Causes damage to organs through prolonged or repeated exposure. Specific Target Organs: (central nervous system) / Danger / H372,Classification / Category / Hazard Description: Serious eye damage/irritation --- Not Applicable / (4.2) Splashes of liquid in the eyes may cause irritation and soreness with possible reversible damage.,데이터없음,높음
