no,sheet,fid,ep,등급,현재라벨,★판정,★확정라벨,★근거출처,★확인한원문쪽수,★검토자,★검토일,★메모,section2_원문,section11_원문,신뢰도
2,D,MIX1072,눈자극,E1_반대신호,NC,유지,NC,"5de83797814ec23f_highlighted.pdf / Section 2.1, Section 11, Section 16","p1, p2, p7, p9",AI판정,2026-08-30,"Section 2.1 분류목록에 Eye Irrit./Eye Dam. 및 H319/H318 이 전혀 없음 → 공급자 미분류이므로 eye=NC 정당. 단 Section 11 은 ""Not conclusive data for classification""(=시험 미실시/자료 불충분)이며 ""Not classified""(시험 후 기준 미달)와 다르다. 즉 음성 자체는 공급자 분류와 일치하나 시험근거는 없음.",2.1 Classification of the substance or mixture. / Skin Irrit. 2 : Causes skin irritation. / Skin Sens. 1 : May cause an allergic skin reaction. / H315 Causes skin irritation. / H317                  May cause an allergic skin reaction.,c) serious eye damage/irritation; / Not conclusive data for classification.,높음
3,D,EyeIrritation6pack_PID695,피부감작성,E1_반대신호,NC,제외,,"ecb6c1dac58d0ad0_highlighted.pdf / Section 2.1.2, 2.2, Section 11","p1, p5",AI판정,2026-08-30,"Section 2 에 H317 이 없으나, 그 진술은 엔드포인트 미분화 총괄문(""not classified as hazardous"")일 뿐이고 Section 11 감작 항목은 시험데이터 없이 오히려 ""May cause allergic reactions in susceptible people.""(양성 시사)를 서술. ""May cause allergic reactions""는 음성진술이 아니며 감작 시험(LLNA/Buehler 등) 근거가 전무 → 음성의 시험근거 없음, 학습 제외 권고. (No data / 반대서술)","2.1. Classification of the substance or mixture / 2.1.2. Classification - EC   Based on available data, this product is not classified as hazardous. / 1272/2008 / 2.2. Label elements / Hazard Statement   No Significant Hazard",Skin corrosion/irritation   May cause irritation to skin. / Serious eye damage/irritation   May cause irritation to eyes. / Respiratory or skin   May cause allergic reactions in susceptible people. / sensitisation,높음
4,D,MIX645,피부감작성,E1_반대신호,NC,유지,NC,"9e4e42c3ac50daf5_highlighted.pdf / Section 2, Section 11",p1 (1쪽 2단 레이아웃 전체),AI판정,2026-08-30,"Section 11 에 명시적 음성 분류진술 ""Does not meet OSHA criteria as a skin sensitizer.""(=시험/기준 평가 후 음성) 존재하고 Section 2 에도 H317 등 분류 없음 → 감작 NC 정당. 다만 동일 문장 뒤에 EPA FIFRA 라벨 의무문구 ""Prolonged/repeated skin contact may cause allergic reaction in some individuals.""가 병기되어 상충 → 신뢰도 중간. E1(반대신호)로 표시된 원인은 이 FIFRA 문구를 자동 파서가 반대신호로 읽었기 때문.","Section 2: Hazard Identification / This product does not meet the criteria for classification as a hazardous material / as set forth in OSHA hazard communication regulations at 29 CFR 1910.1200, and / requires no signal word, hazard class statement, precautionary statements or / pictogram under these regulations.",Skin irritation:            Non-irritating / Skin sensitization:         Does not meet OSHA criteria as a skin sensitizer. / Prolonged/repeated skin contact may cause / allergic reaction in some individuals.,중간
5,D,MIX1002,눈자극,E2_근거없음,NC,유지,NC,"41e679697c8f495a_highlighted.pdf (Organic Cedarwood Atlas Essential Oil) / Section 2.1, Section 11","p1, p5, p6, p8",AI판정,2026-08-30,"Section 2.1 은 엔드포인트별로 분화된 분류목록(AH1/EHA1/EHC1/SCI2/SS1, H304·H315·H317·H400·H410)을 제시하는데 눈 관련 분류(Eye Irrit./Eye Dam.)와 H319/H318 이 없음 → 공급자가 눈은 분류하지 않음, eye=NC 정당. 단 Section 11 은 ""Not determined""(미측정)이므로 시험근거는 없음. ""Not determined""는 ""Not classified""와 다르다.","2.1 Classification of the substance or mixture / AH1 Aspiration hazard 1 / EHA1 Hazardous to the aquatic environment, acute hazard 1 / EHC1 Hazardous to the aquatic environment, long-trem hazard 1 / SCI2 Skin corrosion / irritation 2 / SS1 Sensitisation skin 1 / H304 - May be fatal if swallowed and enters airways. / H315 - Causes skin irritation. / H317 - May cause an allergic skin reaction. / ...",Skin corrosion/irritation: Not determined. / Serious eye damage/irritation: Not determined. No significant effects or critical hazards. / Respiratory or skin sensitization: Not determined.,중간
6,D,MIX383,눈자극,E2_근거없음,NC,유지,NC,"ba0e013d21fa2454_highlighted.pdf / Section 2.1.1, Section 11","p1, p8",AI판정,2026-08-30,"Section 2 분류는 Flam. Sol. 1 (H228) 단독으로, 눈 분류·H319/H318 없음. Section 11 은 ""Not classified (Based on available data, the classification criteria are not met.)"" = 가용자료 평가 후 기준 미달(명시적 음성)이며 ""No data available""이 아님 → eye=NC 정당. E2(근거없음) 표시는 오분류로 판단.",SECTION 2: Hazards identification / 2.1.     Classification of the substance or mixture / CLP-Classification   :   The product is classified as hazardous in accordance with Regulation / (EC) No. 1272/2008. / Flam. Sol. 1 H228,"Serious eye damage/eye irritation : Not classified (Based on available data, the classification criteria are not met.)",높음
7,D,MIX545,눈자극,E2_근거없음,NC,제외,,"G041_56-81-5_ChemBlink_Sigma_highlighted.pdf (Glycerin, Sigma) / Section 2.1, Section 11","p1, p5",AI판정,2026-08-30,"근거문서가 제품(V-10116 3.7 FS)의 SDS가 아니라 부성분 Glycerine(3-5%)의 Sigma SDS다. 해당 문서 Section 2 는 엔드포인트 미분화 총괄문 ""Not a hazardous substance or mixture.""이고 Section 11 눈 항목은 ""No data available"" → 시험근거 전무. 부성분 SDS의 무자료 상태를 제형 라벨 음성으로 승격시킨 것이므로 학습 제외 권고.","2.1 Classification of the substance or mixture / Not a hazardous substance or mixture. / 2.2 GHS Label elements, including precautionary statements / Not a hazardous substance or mixture.",Skin corrosion/irritation / No data available / Serious eye damage/eye irritation / No data available / Respiratory or skin sensitisation / No data available,높음
8,D,EyeIrritation6pack_PID1024,피부감작성,E2_근거없음,NC,제외,,"G041_56-81-5_ChemBlink_Sigma_highlighted.pdf (Glycerin, Sigma) / Section 2.1, Section 11","p1, p5",AI판정,2026-08-30,"근거문서가 제품 SDS가 아닌 부성분 Glycerine(3-5%) Sigma SDS. Section 2 는 미분화 총괄 미분류문, Section 11 감작 항목은 ""No data available"" → 시험근거 전무. ""No data available""은 GHS상 음성이 아니라 자료없음이다. 학습 제외 권고.","2.1 Classification of the substance or mixture / Not a hazardous substance or mixture. / 2.2 GHS Label elements, including precautionary statements / Not a hazardous substance or mixture.",Respiratory or skin sensitisation / No data available,높음
9,D,EyeIrritation6pack_PID1027,피부감작성,E2_근거없음,NC,유지,NC,"771f17c74b9b0fa9_highlighted.pdf (V-10142 Herbicide) / Section 2, Section 11","p1, p5",AI판정,2026-08-30,"Section 2 GHS 분류가 Eye Irritation Cat 2B, Skin Irritation Cat 3 로 분화되어 있으며 감작(Skin Sens./H317) 은 없음. Section 11 은 기니피그 감작시험 결과 ""Non-sensitizer"" 를 명시 → 실제 시험 기반 음성, NC 정당. E2(근거없음) 표시는 오분류.",Eye Irritation: Category 2B / Skin Irritation: Category 3,Skin Sensitization (guinea pigs)     Non-sensitizer          EPA Tox Category   Not applicable,높음
10,D,EyeIrritation6pack_PID1044,피부감작성,E2_근거없음,NC,유지,NC,"c75c7b1be62c2d70_highlighted.pdf (Weld Herbicide) / Section 2, Section 11","p1, p4, p5",AI판정,2026-08-30,"Section 2 GHS 분류가 Eye irritation Cat 2A / Skin irritation Cat 2 (H315, H319)로 분화되어 있고 감작 분류(H317)는 없음 → 공급자 미분류로 NC 정당. 단 Section 11 은 ""Respiratory or Skin Sensitization: N/Av"", ""Sensitization: No effects known."" 로 시험데이터가 없음(N/Av=자료없음). 명시적 음성시험 근거는 아님.",GHS Classification: / Eye irritation: Category 2A / Skin irritation: Category 2 / H315 Causes skin irritation. / H319 Causes serious eye irritation.,Respiratory or Skin Sensitization: N/Av / Sensitization: No effects known.,중간
11,D,EyeIrritation6pack_PID965,피부감작성,E2_근거없음,NC,유지,NC,"e155bfa6c5a709c6_highlighted.pdf (Tetrasan 5 WDG) / Section 2, Section 11","p1, p5",AI판정,2026-08-30,"Section 2 분류는 Acute toxicity - Inhalation (Dusts/Mists) Category 4 단독으로 감작 분류 없음. Section 11 에 기니피그 감작시험 ""Not a sensitizer"" 명시 → 실제 시험 기반 음성. NC 정당, E2 표시는 오분류.",2. HAZARDS IDENTIFICATION / Classification - (per U.S. OSHA 29 CFR 1910.1200 (Hazcom 2012)) / Acute toxicity - Inhalation (Dusts/Mists)   Category 4 / Hazard statements / Harmful if inhaled,Skin Sensitization (guinea pigs)   Not a sensitizer                      EPA Tox Category       Not applicable,높음
