sheet,key,fid,ep,name,cur,quote,doc,no,has_pdf
D,E1_반대신호,MIX1024,눈자극,Bay oil,NC,GHS Hazard Classifications: None Hazard Statements: None / Eye Contact: Direct contact with the eyes is likely irritating. / Irritancy: May cause eye irritation with direct contact.,,1,False
D,E1_반대신호,MIX1072,눈자극,"Bitter fennel, mix",NC,c) serious eye damage/irritation; / Not conclusive data for classification.,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/5de83797814ec23f_highlighted.pdf,2,True
D,E1_반대신호,EyeIrritation6pack_PID695,피부감작성,NEUl l 71H RTU,NC,Respiratory or skin sensitisationMay cause allergic reactions in susceptible people.,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/ecb6c1dac58d0ad0_highlighted.pdf,3,True
D,E1_반대신호,MIX645,피부감작성,Metarex 4% Snail to Slug Bait,NC,Skin sensitization: Does not meet OSHA criteria as a skin sensitizer. Prolonged/repeated skin contact may cause allergic reaction in some individuals.,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/9e4e42c3ac50daf5_highlighted.pdf,4,True
D,E2_근거없음,MIX1002,눈자극,Cedarwood oil Atlas,NC,Serious eye damage/irritation: Not determined. No significant effects or critical hazards.,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/41e679697c8f495a_highlighted.pdf,5,True
D,E2_근거없음,MIX383,눈자극,NNI-0001,NC,"Serious eye damage/eye irritation : Not classified (Based on available data, the classification criteria are not met.) pH: Not applicable",formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/ba0e013d21fa2454_highlighted.pdf,6,True
D,E2_근거없음,MIX545,눈자극,V-10116 3.7 FS,NC,"2.1 Classification of the substance or mixture / Not a hazardous substance or mixture. / 2.2 GHS Label elements, including precautionary statements / Not a hazardous substance or mixture. / ... Serious eye damage/eye irritation / No data available",formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/ordered_option_runs/highlighted_sources/G041_56-81-5_ChemBlink_Sigma_highlighted.pdf,7,True
D,E2_근거없음,EyeIrritation6pack_PID1024,피부감작성,V-10116 3.7 FS,NC,2.1 Classification of the substance or mixture / Not a hazardous substance or mixture. / ... Respiratory or skin sensitisation / No data available,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/ordered_option_runs/highlighted_sources/G041_56-81-5_ChemBlink_Sigma_highlighted.pdf,8,True
D,E2_근거없음,EyeIrritation6pack_PID1027,피부감작성,V-10142 Herbicide,NC,Skin Sensitization (guinea pigs) Non-sensitizer EPA Tox Category Not applicable,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/771f17c74b9b0fa9_highlighted.pdf,9,True
D,E2_근거없음,EyeIrritation6pack_PID1044,피부감작성,Weld Herbicide,NC,Respiratory or Skin Sensitization: N/Av ... Sensitization: No effects known.,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/c75c7b1be62c2d70_highlighted.pdf,10,True
D,E2_근거없음,EyeIrritation6pack_PID965,피부감작성,Tetrasan 5 WDG,NC,Skin Sensitization (guinea pigs) Not a sensitizer EPA Tox Category Not applicable,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/e155bfa6c5a709c6_highlighted.pdf,11,True
D,E2_근거없음,MIX478,피부감작성,Tetrasan 5 WDG,NC,Skin Sensitization (guinea pigs) Not a sensitizer EPA Tox Category Not applicable,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/e155bfa6c5a709c6_highlighted.pdf,12,True
D,E2_근거없음,MIX508,피부감작성,V-10142 Herbicide,NC,Skin Sensitization (guinea pigs) Non-sensitizer EPA Tox Category Not applicable,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/771f17c74b9b0fa9_highlighted.pdf,13,True
D,E2_근거없음,MIX537,피부감작성,Weld Herbicide,NC,Respiratory or Skin Sensitization: N/Av ... Sensitization: No effects known.,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/c75c7b1be62c2d70_highlighted.pdf,14,True
D,E2_근거없음,MIX545,피부감작성,V-10116 3.7 FS,NC,2.1 Classification of the substance or mixture / Not a hazardous substance or mixture. / ... Respiratory or skin sensitisation / No data available,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/ordered_option_runs/highlighted_sources/G041_56-81-5_ChemBlink_Sigma_highlighted.pdf,15,True
D,E2_근거없음,MIX574,피부감작성,Aloft LC SC Insecticide,NC,Skin Sensitization (guinea pigs) Non-sensitizer EPA Tox Category Not applicable,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/0ead2d3d5c4fa28e_highlighted.pdf,16,True
D,E2_근거없음,MIX623,피부감작성,Aloft GC G Insecticide,NC,Skin Sensitization (guinea pigs) Non-sensitizer EPA Tox Category Not applicable,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/bb24ba2df9a2af52_highlighted.pdf,17,True
D,E2_근거없음,MIX704,피부감작성,Regiment Herbicide,NC,Skin Sensitization (guinea pigs) Non-sensitizer EPA Tox Category Not applicable,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/20fc174c37b0b8b7_highlighted.pdf,18,True
D,E2_근거없음,EyeIrritation6pack_PID1024,피부자극,V-10116 3.7 FS,NC,2.1 Classification of the substance or mixture / Not a hazardous substance or mixture. / ... Skin corrosion/irritation / No data available,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/ordered_option_runs/highlighted_sources/G041_56-81-5_ChemBlink_Sigma_highlighted.pdf,19,True
D,E2_근거없음,EyeIrritation6pack_PID699,피부자극,NNI-0001,NC,"Skin corrosion/irritation : Not classified (Based on available data, the classification criteria are not met.) pH: Not applicable",formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/ba0e013d21fa2454_highlighted.pdf,20,True
D,E3_부호전환,MIX142,눈자극,Decis 1.0 Gel,NC,Serious eye damage/eye irritation / Eyes - Rabbit / Result: No eye irritation,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/417529ce078df58e_highlighted.pdf,21,True
D,E3_부호전환,MIX217,눈자극,Folicur 1. 2 emulsifiable concentrate(16.6),NC,Serious eye damage/eye irritation  / Eyes - rabbit  / Result: No eye irritation,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/ordered_option_runs/highlighted_sources/G039_107534-96-3_ChemBlink_Sigma_highlighted.pdf,22,True
D,E3_부호전환,MIX23,눈자극,Acephate,NC,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/e24b8e39082df840_highlighted.pdf,23,True
D,E3_부호전환,MIX345,눈자극,NEU1171H,NC,"Irritation/Corrosion Conclusion/Summary ... Eyes : Based on available data, the classification criteria are not met.",formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/0504e3ad50d63ff1_highlighted.pdf,24,True
D,E3_부호전환,MIX42,눈자극,Aminopyralid,NC,Serious eye damage/eye irritation / Essentially nonirritating to eyes. / Corneal injury is unlikely.,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/2ba9cc637fd8a601_highlighted.pdf,25,True
D,E3_부호전환,MIX434,눈자극,Scimitar GR Insecticide,NC,Eye Contact: Non-Irritating (Rabbit),formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/ec7e9870eec92980_highlighted.pdf,26,True
D,E3_부호전환,MIX447,눈자극,S-Metolachlor & Mesotrione,NC,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/f7d0674de986bc8f_highlighted.pdf,27,True
D,E3_부호전환,MIX527,눈자극,Vitacon RTU FL Fungicide,NC,(c) serious eye damage/irritation: not irritant,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/fd2ea4ca4e1f1268_highlighted.pdf,28,True
D,E3_부호전환,MIX670,눈자극,Bifenthrin 0.069 RU Insecticide With X-X-X Fertilizer,NC,"Serious eye damage/eye irritation Based on available data, the classification criteria are not met.",formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/c2a5d1d533d1d7dc_highlighted.pdf,29,True
D,E3_부호전환,MIX701,눈자극,NEUl l 71H RTU,NC,Eye The mixture is not considered to be an eye irritant. Sum of eye irritants <10%,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/fef9f862170fcdc4_highlighted.pdf,30,True
D,E3_부호전환,MIX759,눈자극,F6141 EW Insecticide,NC,Eye Irritation (Category III) Cause moderate eye irritation | Not classified,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/bcabb1bf65fff64c_highlighted.pdf,31,True
D,E3_부호전환,MIX810,눈자극,"Mixture of: diethyl cis-1,4-cyclohexanedicarboxylate; diethyl trans-1,4-cyclohexanedicarboxylate",NC,This product is not considered hazardous by the US OSHA Hazard Communication Standard 2024 (29 CFR 1910.1200).,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/aeb8b80ea8f83fdb_highlighted.pdf,32,True
D,E3_부호전환,MIX914,눈자극,Cardamom oil,NC,Serious eye damage/irritation: Based on available data the classification criteria are not met.,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/highlighted/bc72d8d1be4a4024_highlighted.pdf,33,True
D,E3_부호전환,MIX1024,피부감작성,Bay oil,NC,Sensitization to the Product: This product is not expected to cause skin sensitization.,,34,False
D,E3_부호전환,MIX1047,피부감작성,Hibawood oil,NC,2.1 Classification of the substance or mixture / Not a hazardous substance or mixture.,formulation_audit_team_share_highlighted_only_20260630/ingredient_source_audit/ordered_option_runs/highlighted_sources/G061_499-44-5_ChemBlink_Sigma_highlighted.pdf,35,True
