Formulation_ID,y,oof_proba_mean,n_misclassified_of_5_seeds,oof_majority_pred,y_eye_src,label_confidence_eye,label_tier_eye,y_eye_conflict,n_ingredients,f_smiles_coverage,f_pct_with_structure,ph_best,f_pct_active,f_pct_surf_total,f_max_pct,f_ct_eye_coverage,f_ct_eye_ord,f_pct_water,formulation_type,form_code_best,always_wrong
EyeIrritation6pack_PID750,1,0.13218044969204962,5,0,ntp_measured,high,NONE,False,1.0,1.0,,,,0.0,,0.0,,,__NA__,__NA__,True
EyeIrritation6pack_PID151,1,0.22822154442384585,5,0,ntp_measured,high,NONE,False,1.0,1.0,8.0,,8.0,0.0,8.0,1.0,0.0,0.0,__RARE__,__RARE__,True
MIX830,1,0.25452394787123817,5,0,sds_2nd,high,NONE,False,1.0,1.0,,,,0.0,,0.0,,,__NA__,SL,True
MIX244,1,0.2568982171303693,5,0,sds_2nd_sec11,high,NONE,False,1.0,1.0,98.0,5.0,98.0,0.0,98.0,1.0,0.0,0.0,__NA__,__NA__,True
EyeIrritation6pack_PID810,1,0.2595695095609089,5,0,ntp_measured,high,NONE,False,2.0,0.5,25.0,,25.0,0.0,25.0,0.0,,0.0,__NA__,SL,True
EyeIrritation6pack_PID251,1,0.28618850585814337,5,0,ntp_measured,high,NONE,False,2.0,0.5,45.0,,45.0,0.0,45.0,0.5,0.0,0.0,__NA__,WG,True
EyeIrritation6pack_PID121,1,0.30295414602935417,5,0,ntp_measured,high,NONE,False,3.0,1.0,41.4,6.5,22.0,0.0,22.0,0.0,,0.0,__NA__,SC,True
MIX498,1,0.3123421496654365,5,0,sds_v1,high,NONE,False,1.0,0.5,24.74,4.33,0.0,0.0,67.96,0.0,,0.0,__NA__,SL,True
EyeIrritation6pack_PID288,1,0.31592467782977185,5,0,ntp_measured,medium,SOURCE_CONFLICT,True,2.0,0.5,,,,0.0,,0.0,,,__NA__,EC,True
MIX847,1,0.3187173421861399,5,0,sds_v1,high,NONE,False,0.0,0.0,0.0,,100.0,0.0,100.0,0.0,,0.0,__NA__,__NA__,True
MIX239,1,0.3201412639412484,5,0,sds_v1,high,NONE,False,1.0,0.5,96.2,,96.2,0.0,96.2,0.0,,0.0,__NA__,SL,True
MIX588,1,0.3201412639412484,5,0,sds_v1,high,NONE,False,1.0,0.5,96.2,,96.2,0.0,96.2,0.0,,0.0,__NA__,SL,True
