endpoint,label_set,feature_set,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,mcc,mcc_sd,dummy_mf_f1,dummy_mf_f1_sd,dummy_mf_balanced_accuracy,dummy_mf_balanced_accuracy_sd,dummy_mf_mcc,dummy_mf_mcc_sd,prevalence,prevalence_sd,noinfo_roc_auc,noinfo_roc_auc_sd,noinfo_pr_auc,noinfo_pr_auc_sd,noinfo_f1_all_positive,noinfo_f1_all_positive_sd,noinfo_f1_random_at_p,noinfo_f1_random_at_p_sd,noinfo_balanced_accuracy,noinfo_balanced_accuracy_sd,noinfo_mcc,noinfo_mcc_sd,fold_roc_auc_sd,n,n_pos,n_groups,n_features,seeds,n_dropped_vs_L_all
eye,L_all,S1_chemistry,0.6387495218666327,0.00974639187500098,0.7276684161386593,0.012142875677813726,0.7396737583201468,0.008310009535741144,0.589798227718985,0.00960403786381923,0.20152972248917922,0.022703560642070457,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.044671824546622683,1153,713,477,221,"[0, 1, 2, 3, 4]",0
eye,L_all,S2_chem_plus_ambiguous,0.6416310722937651,0.013102108626372625,0.7251776251474313,0.01581125568180613,0.7412423703927035,0.0048509850230923504,0.5916020655361468,0.005759418848903032,0.20574481466148944,0.012975811886617339,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.04494626059311903,1153,713,477,430,"[0, 1, 2, 3, 4]",0
eye,L_all,S3_all_minus_excluded,0.6387495218666327,0.00974639187500098,0.7276684161386593,0.012142875677813726,0.7396737583201468,0.008310009535741144,0.589798227718985,0.00960403786381923,0.20152972248917922,0.022703560642070457,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.044671824546622683,1153,713,477,221,"[0, 1, 2, 3, 4]",0
eye,L_drop_T1T2,S1_chemistry,0.6433847592332865,0.01010868841818561,0.7330480860698743,0.011517539238856104,0.7433068676936511,0.006844792924280154,0.5929970498621657,0.00757495567751204,0.2084895752232101,0.018126069839825294,0.7662547017732402,0.0,0.5,0.0,0.0,0.0,0.6210801393728222,0.0,0.5,0.0,0.6210801393728222,0.0,0.7662547017732402,0.0,0.6210801393728222,0.0,0.5,0.0,0.0,0.0,0.03704104953104304,1148,713,474,221,"[0, 1, 2, 3, 4]",5
eye,L_drop_T1T2,S2_chem_plus_ambiguous,0.6483397011171833,0.0054183728396139785,0.7358223934534383,0.007589809499424889,0.743157330166132,0.004489860026913754,0.5918086118231207,0.009395850398857224,0.2061117632877949,0.01921480159591889,0.7662547017732402,0.0,0.5,0.0,0.0,0.0,0.6210801393728222,0.0,0.5,0.0,0.6210801393728222,0.0,0.7662547017732402,0.0,0.6210801393728222,0.0,0.5,0.0,0.0,0.0,0.034161395447660975,1148,713,474,430,"[0, 1, 2, 3, 4]",5
eye,L_drop_T1T2,S3_all_minus_excluded,0.6433847592332865,0.01010868841818561,0.7330480860698743,0.011517539238856104,0.7433068676936511,0.006844792924280154,0.5929970498621657,0.00757495567751204,0.2084895752232101,0.018126069839825294,0.7662547017732402,0.0,0.5,0.0,0.0,0.0,0.6210801393728222,0.0,0.5,0.0,0.6210801393728222,0.0,0.7662547017732402,0.0,0.6210801393728222,0.0,0.5,0.0,0.0,0.0,0.03704104953104304,1148,713,474,221,"[0, 1, 2, 3, 4]",5
eye,L_drop_flip,S1_chemistry,0.6595930020007578,0.009848002588468055,0.7454796824827099,0.007800980702474147,0.7576456264041602,0.009407801661949234,0.6099339949349587,0.00743126171205776,0.2452815208734133,0.020407391276224634,0.7716450216450217,0.0,0.5,0.0,0.0,0.0,0.628193832599119,0.0,0.5,0.0,0.628193832599119,0.0,0.7716450216450217,0.0,0.628193832599119,0.0,0.5,0.0,0.0,0.0,0.04536302857003148,1135,713,470,221,"[0, 1, 2, 3, 4]",18
eye,L_drop_flip,S2_chem_plus_ambiguous,0.6651037269929475,0.0040300176629419916,0.7511467323036749,0.0065363087183168975,0.7541842872141113,0.0029478822638556628,0.6045562106578571,0.0027075538194801787,0.23308175182649737,0.006745253005967819,0.7716450216450217,0.0,0.5,0.0,0.0,0.0,0.628193832599119,0.0,0.5,0.0,0.628193832599119,0.0,0.7716450216450217,0.0,0.628193832599119,0.0,0.5,0.0,0.0,0.0,0.03777999467456689,1135,713,470,430,"[0, 1, 2, 3, 4]",18
eye,L_drop_flip,S3_all_minus_excluded,0.6595930020007578,0.009848002588468055,0.7454796824827099,0.007800980702474147,0.7576456264041602,0.009407801661949234,0.6099339949349587,0.00743126171205776,0.2452815208734133,0.020407391276224634,0.7716450216450217,0.0,0.5,0.0,0.0,0.0,0.628193832599119,0.0,0.5,0.0,0.628193832599119,0.0,0.7716450216450217,0.0,0.628193832599119,0.0,0.5,0.0,0.0,0.0,0.04536302857003148,1135,713,470,221,"[0, 1, 2, 3, 4]",18
skin,L_all,S1_chemistry,0.755560866294741,0.005043358574587347,0.6443873585033677,0.0084546416016094,0.5702876438065839,0.00864471989122451,0.6770051087569736,0.005470891628208502,0.36975100804087135,0.010086566919991323,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.03146265381813849,1059,371,477,221,"[0, 1, 2, 3, 4]",0
