endpoint,feature_set,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,mcc,mcc_sd,dummy_mf_f1,dummy_mf_f1_sd,dummy_mf_balanced_accuracy,dummy_mf_balanced_accuracy_sd,dummy_mf_mcc,dummy_mf_mcc_sd,prevalence,prevalence_sd,noinfo_roc_auc,noinfo_roc_auc_sd,noinfo_pr_auc,noinfo_pr_auc_sd,noinfo_f1_all_positive,noinfo_f1_all_positive_sd,noinfo_f1_random_at_p,noinfo_f1_random_at_p_sd,noinfo_balanced_accuracy,noinfo_balanced_accuracy_sd,noinfo_mcc,noinfo_mcc_sd,fold_roc_auc_sd,n,n_pos,n_groups,n_features,seeds
eye,S1_chemistry,0.6387495218666327,0.00974639187500098,0.7276684161386593,0.012142875677813726,0.7396737583201468,0.008310009535741144,0.589798227718985,0.00960403786381923,0.20152972248917922,0.022703560642070457,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.044671824546622683,1153,713,477,221,"[0, 1, 2, 3, 4]"
eye,S2_chem_plus_ambiguous,0.6416310722937651,0.013102108626372625,0.7251776251474313,0.01581125568180613,0.7412423703927035,0.0048509850230923504,0.5916020655361468,0.005759418848903032,0.20574481466148944,0.012975811886617339,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.04494626059311903,1153,713,477,430,"[0, 1, 2, 3, 4]"
eye,S3_all_minus_excluded,0.6387495218666327,0.00974639187500098,0.7276684161386593,0.012142875677813726,0.7396737583201468,0.008310009535741144,0.589798227718985,0.00960403786381923,0.20152972248917922,0.022703560642070457,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.044671824546622683,1153,713,477,221,"[0, 1, 2, 3, 4]"
eye,R_all_contaminated,0.6878165242891751,0.010841999538197629,0.76890396351279,0.014039308388621895,0.7614573721708748,0.004925637406564004,0.6082634196098432,0.004785146515140812,0.2523273118843827,0.012578259466706203,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.043824447976307794,1153,713,477,523,"[0, 1, 2, 3, 4]"
eye,D_chemistry_minus_CT,0.639408708402397,0.008640159945165227,0.7217027887117536,0.011925543880265321,0.7440965017270603,0.002224379767893625,0.5962734285349993,0.004212300603743513,0.2158838090194452,0.007546787256559571,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.04946523840124383,1153,713,477,195,"[0, 1, 2, 3, 4]"
skin,S1_chemistry,0.755560866294741,0.005043358574587347,0.6443873585033677,0.0084546416016094,0.5702876438065839,0.00864471989122451,0.6770051087569736,0.005470891628208502,0.36975100804087135,0.010086566919991323,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.03146265381813849,1059,371,477,221,"[0, 1, 2, 3, 4]"
skin,S2_chem_plus_ambiguous,0.7556572431517582,0.0037128045337280775,0.6467384187889305,0.006936593987785904,0.5723823220712977,0.010466885510551676,0.6800417633047076,0.006704585185086318,0.3802660069862479,0.012646793955930281,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.031580665569350796,1059,371,477,430,"[0, 1, 2, 3, 4]"
skin,S3_all_minus_excluded,0.755560866294741,0.005043358574587347,0.6443873585033677,0.0084546416016094,0.5702876438065839,0.00864471989122451,0.6770051087569736,0.005470891628208502,0.36975100804087135,0.010086566919991323,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.03146265381813849,1059,371,477,221,"[0, 1, 2, 3, 4]"
skin,R_all_contaminated,0.812887074531436,0.004185303835313176,0.744827761933011,0.007068188340553745,0.6222208829904473,0.00634400669437141,0.7178849589418916,0.004354568343481315,0.4801695036525822,0.01136730090658354,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.030947164725017545,1059,371,477,523,"[0, 1, 2, 3, 4]"
skin,D_chemistry_minus_CT,0.7548756503478968,0.005542338989156632,0.6415208639939641,0.007223951432464487,0.5713742094102557,0.014312151870936818,0.6782313671409765,0.009720788866452652,0.37348772140577546,0.019645173271514882,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.031114172739080844,1059,371,477,195,"[0, 1, 2, 3, 4]"
