endpoint,representation,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,mcc,mcc_sd,dummy_mf_f1,dummy_mf_f1_sd,dummy_mf_balanced_accuracy,dummy_mf_balanced_accuracy_sd,dummy_mf_mcc,dummy_mf_mcc_sd,prevalence,prevalence_sd,noinfo_roc_auc,noinfo_roc_auc_sd,noinfo_pr_auc,noinfo_pr_auc_sd,noinfo_f1_all_positive,noinfo_f1_all_positive_sd,noinfo_f1_random_at_p,noinfo_f1_random_at_p_sd,noinfo_balanced_accuracy,noinfo_balanced_accuracy_sd,noinfo_mcc,noinfo_mcc_sd,fold_roc_auc_sd,n,n_pos,n_groups,n_features,seeds
eye,desc_only(S1),0.6400997704959837,0.011396544007512164,0.7258716525140265,0.01156973286435807,0.7416272637301559,0.004913894801015125,0.5939423689914574,0.010904723917650457,0.20985528608517937,0.022117417454191716,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.046962296628568136,1153,713,477,221,"[0, 1, 2, 3, 4]"
eye,morgan_only,0.6535098176718093,0.0035315617631605178,0.7450419476798298,0.0051554200038605264,0.708858489474039,0.006397118136416415,0.5850780951166645,0.005773583940771179,0.17705439526550149,0.009841214272175035,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.05725968918145568,1153,713,477,4096,"[0, 1, 2, 3, 4]"
eye,maccs_only,0.6393953206681117,0.005607741584509131,0.7516412209760654,0.007569082658887636,0.6888917109343389,0.009978830807758755,0.5751479025882953,0.005268301875901535,0.15306969556796438,0.010215592688081532,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.053743227613228306,1153,713,477,334,"[0, 1, 2, 3, 4]"
eye,S1+morgan,0.6633972969526967,0.008873546088984044,0.7524878684142859,0.009444090501544091,0.7400748618488737,0.005882612007817112,0.6018959581792681,0.006479801664313014,0.22254569367528934,0.013450794308771176,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.04659066812362298,1153,713,477,4317,"[0, 1, 2, 3, 4]"
eye,S1+maccs,0.6531779931148796,0.00920783117916227,0.7526630723264813,0.011598629925832674,0.7367580643895053,0.006677885430663453,0.5932258064516128,0.0047725440906656764,0.20549072656713913,0.012466426292878632,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.04783662643898335,1153,713,477,555,"[0, 1, 2, 3, 4]"
eye,S1+morgan+maccs,0.6621707254876961,0.008650443358322412,0.7597599718957048,0.00946889683686086,0.731790586628845,0.008034861651195347,0.595685962004335,0.00670983780027274,0.20668588639379096,0.015720016984966185,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.6183868169991327,0.0,0.5,0.0,0.6183868169991327,0.0,0.7642015005359056,0.0,0.6183868169991327,0.0,0.5,0.0,0.0,0.0,0.04702300340062812,1153,713,477,4651,"[0, 1, 2, 3, 4]"
skin,desc_only(S1),0.7549951419795649,0.004921372820269647,0.6443332169225476,0.008160337005852883,0.5711017866365383,0.010658857695538431,0.6779195135711152,0.006866976638050222,0.3725089468798354,0.01301930133200735,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.03155914987984909,1059,371,477,221,"[0, 1, 2, 3, 4]"
skin,morgan_only,0.7567083777345954,0.005352466653100997,0.5976878499940117,0.007247747129558342,0.6131767913978765,0.008393275417960854,0.7022115746254624,0.006418317629877148,0.40422340067531026,0.012817237289147156,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.03903555468764446,1059,371,477,4096,"[0, 1, 2, 3, 4]"
skin,maccs_only,0.7536462577571615,0.0029239599454868427,0.6007010037173329,0.005957076393672702,0.6118526414567428,0.013834317288043668,0.7022198019181346,0.011076612571533358,0.407484376167509,0.02413286033666086,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.034859745518076406,1059,371,477,334,"[0, 1, 2, 3, 4]"
skin,S1+morgan,0.764952516768006,0.00336005386217124,0.6515969623044319,0.007538691277161555,0.5938988014200508,0.0031656224519669156,0.6913037516454585,0.0026164666789649637,0.39216567291764215,0.006479220835555534,0.0,0.0,0.5,0.0,0.0,0.0,0.35033050047214354,0.0,0.5,0.0,0.35033050047214354,0.0,0.5188811188811189,0.0,0.35033050047214354,0.0,0.5,0.0,0.0,0.0,0.03489303600741402,1059,371,477,4317,"[0, 1, 2, 3, 4]"
