comparison,endpoint,label_regime,feature_set,n_inclusive,n_variant,p_inclusive,p_variant,n_groups_inclusive,n_groups_variant,d_roc_auc,sd_pooled_roc_auc,d_mcc,sd_pooled_mcc,d_f1_minus_dummy,low_confidence
strict_vs_inclusive,eye,all,S1_chemistry,1153,1153,0.6183868169991327,0.3347788378143972,477,477,0.08159790536144784,0.01228892630860147,0.16343652782835344,0.03654172673098805,0.5837076596697888,False
strict_drop_vs_inclusive,eye,all,S1_chemistry,1153,826,0.6183868169991327,0.4673123486682808,477,415,0.069434651472981,0.011273604678636489,0.1267889788934023,0.02951367395936332,0.6740132525455517,False
strict_vs_inclusive,eye,all,S1_minus_CT26,1153,1153,0.6183868169991327,0.3347788378143972,477,477,0.07598232455691556,0.011329117356644493,0.14484394777497434,0.029482371581870056,0.5723929809705512,False
strict_drop_vs_inclusive,eye,all,S1_minus_CT26,1153,826,0.6183868169991327,0.4673123486682808,477,415,0.06805831938846485,0.012235765786391677,0.09764247482781702,0.01989317596640654,0.6597703476399691,False
strict_vs_inclusive,eye,measured,S1_chemistry,608,608,0.6414473684210527,0.19078947368421054,273,273,0.051559715380876225,0.014105740632311615,-0.009550108662486873,0.046341431036499285,0.27252035252136,False
strict_drop_vs_inclusive,eye,measured,S1_chemistry,608,334,0.6414473684210527,0.3473053892215569,273,193,0.08486769847257047,0.012589232590174183,0.12327960830200715,0.045269758506782935,0.5285744845158389,False
strict_vs_inclusive,eye,measured,S1_minus_CT26,608,608,0.6414473684210527,0.19078947368421054,273,273,0.04670934474627153,0.01346986667887535,-0.016332862617557536,0.04629749138615287,0.2712867606310886,False
strict_drop_vs_inclusive,eye,measured,S1_minus_CT26,608,334,0.6414473684210527,0.3473053892215569,273,193,0.08033558026914556,0.01561521919632439,0.10923591183955561,0.03262758915176727,0.527744649713476,False
strict_vs_inclusive,eye,regulatory,S1_chemistry,545,545,0.5926605504587156,0.4954128440366973,351,351,0.02666843426595744,0.019381354995431352,0.04325132491991679,0.03883062891879657,0.682035448728725,False
strict_drop_vs_inclusive,eye,regulatory,S1_chemistry,545,492,0.5926605504587156,0.5487804878048781,351,327,0.032709050639907145,0.018333358774215814,0.026045886036542287,0.03867429086260856,-0.0008204740947286293,False
strict_vs_inclusive,eye,regulatory,S1_minus_CT26,545,545,0.5926605504587156,0.4954128440366973,351,351,0.0299554006018401,0.0205498300688499,0.05755125803382108,0.041944407082969364,0.6862858519144324,False
strict_drop_vs_inclusive,eye,regulatory,S1_minus_CT26,545,492,0.5926605504587156,0.5487804878048781,351,327,0.026718230098003115,0.02048860991731985,0.015020205499870487,0.03975106438565141,-0.009047343784788775,False
strict_vs_inclusive,eye,regulatory_minus_sdsv1,S1_chemistry,255,255,0.5568627450980392,0.4549019607843137,202,202,-0.012642508840173039,0.020555646259882442,-0.02549320093626195,0.043534880408983206,0.6433421608755043,False
strict_drop_vs_inclusive,eye,regulatory_minus_sdsv1,S1_chemistry,255,229,0.5568627450980392,0.5065502183406113,202,185,0.013393927802395789,0.017749551149349986,0.018402415412131057,0.051589486814744644,0.01969295414943706,False
strict_vs_inclusive,eye,regulatory_minus_sdsv1,S1_minus_CT26,255,255,0.5568627450980392,0.4549019607843137,202,202,-0.01627364708996981,0.017731748760178367,-0.021718370193395398,0.042485792430818445,0.6475097327520559,False
strict_drop_vs_inclusive,eye,regulatory_minus_sdsv1,S1_minus_CT26,255,229,0.5568627450980392,0.5065502183406113,202,185,0.014672471815943,0.016808409777221825,0.013874941178750377,0.04720379811197831,0.01682639573318012,False
strict_vs_inclusive,skin,all,S1_chemistry,1059,1059,0.35033050047214354,0.2587346553352219,477,477,0.015918979351267626,0.008497171084086113,0.0734139461446563,0.01536984387759893,0.010965177415667604,False
strict_drop_vs_inclusive,skin,all,S1_chemistry,1059,1044,0.35033050047214354,0.2624521072796935,477,471,0.01899454180081317,0.0056451891160937875,0.08156375834416929,0.017641032871435935,0.01551638017089052,False
strict_skin_only3_vs_inclusive,skin,all,S1_chemistry,1059,1059,0.35033050047214354,0.336166194523135,477,477,-0.0008355318532621281,0.009879238038773698,0.0028037482350941056,0.022800376234890257,-0.006828508685291723,False
strict_vs_inclusive,skin,all,S1_minus_CT26,1059,1059,0.35033050047214354,0.2587346553352219,477,477,0.013773287306108495,0.007160418885038539,0.07435897499821575,0.023339842641097598,0.012962891515038266,False
strict_drop_vs_inclusive,skin,all,S1_minus_CT26,1059,1044,0.35033050047214354,0.2624521072796935,477,471,0.019831904870607264,0.007755349228944389,0.07463638012234941,0.02272302072449178,0.012582616184143247,False
strict_skin_only3_vs_inclusive,skin,all,S1_minus_CT26,1059,1059,0.35033050047214354,0.336166194523135,477,477,-0.0013162660079093502,0.009060884085073015,-0.01830661278025325,0.028017670549557172,-0.01888146343450625,False
strict_vs_inclusive,skin,measured,S1_chemistry,544,544,0.18382352941176472,0.03308823529411765,257,257,0.12046738658810896,0.027080317925521697,-0.08076602076463983,0.11385887362282919,-0.09504603624385839,True
strict_drop_vs_inclusive,skin,measured,S1_chemistry,544,544,0.18382352941176472,0.03308823529411765,257,257,0.12046738658810896,0.027080317925521697,-0.08076602076463983,0.11385887362282919,-0.09504603624385839,True
strict_skin_only3_vs_inclusive,skin,measured,S1_chemistry,544,544,0.18382352941176472,0.18382352941176472,257,257,0.0,0.019100352670062656,0.0,0.06634144504571489,0.0,False
strict_vs_inclusive,skin,measured,S1_minus_CT26,544,544,0.18382352941176472,0.03308823529411765,257,257,0.13492200470432414,0.016297971977040308,-0.08091151851693669,0.11020300077857911,-0.0952676314592841,True
strict_drop_vs_inclusive,skin,measured,S1_minus_CT26,544,544,0.18382352941176472,0.03308823529411765,257,257,0.13492200470432414,0.016297971977040308,-0.08091151851693669,0.11020300077857911,-0.0952676314592841,True
strict_skin_only3_vs_inclusive,skin,measured,S1_minus_CT26,544,544,0.18382352941176472,0.18382352941176472,257,257,0.0,0.018103252789079885,0.0,0.052563332149340086,0.0,False
strict_vs_inclusive,skin,regulatory,S1_chemistry,515,515,0.5262135922330097,0.4970873786407767,349,349,0.0033332652599107337,0.013414463760989453,-0.032412787457901715,0.02130901148734878,0.6506221687005261,False
