endpoint,binarization,label_regime,n,n_pos,n_neg,n_groups,prevalence,dummy_f1_formula_2p_over_1plusp,feature_set,n_features,low_confidence,seeds,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,balanced_accuracy,balanced_accuracy_sd,mcc,mcc_sd,dummy_mf_f1,dummy_mf_f1_sd,dummy_mf_balanced_accuracy,dummy_mf_balanced_accuracy_sd,dummy_mf_mcc,dummy_mf_mcc_sd,prevalence_sd,fold_roc_auc_sd
eye,inclusive,all,1153,713,440,477,0.6183868169991327,0.7642015005359056,S1_chemistry,221,False,"0,1,2,3,4",0.6387495218666327,0.00974639187500098,0.7276684161386593,0.012142875677813726,0.7396737583201468,0.008310009535741144,0.589798227718985,0.00960403786381923,0.20152972248917922,0.022703560642070457,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.0,0.044671824546622683
eye,inclusive,all,1153,713,440,477,0.6183868169991327,0.7642015005359056,S1_minus_CT26,195,False,"0,1,2,3,4",0.639408708402397,0.008640159945165227,0.7217027887117536,0.011925543880265321,0.7440965017270603,0.002224379767893625,0.5962734285349993,0.004212300603743513,0.2158838090194452,0.007546787256559571,0.7642015005359056,0.0,0.5,0.0,0.0,0.0,0.0,0.04946523840124383
eye,inclusive,measured,608,390,218,273,0.6414473684210527,0.781563126252505,S1_chemistry,221,False,"0,1,2,3,4",0.6381392613502704,0.006781563822644734,0.7383162699209743,0.006857973402824966,0.7761820325470461,0.005406327749736721,0.5808680310515173,0.004794325364195924,0.2097884793426857,0.01340240753444463,0.781563126252505,0.0,0.5,0.0,0.0,0.0,0.0,0.0474820494703091
eye,inclusive,measured,608,390,218,273,0.6414473684210527,0.781563126252505,S1_minus_CT26,195,False,"0,1,2,3,4",0.6370007057163021,0.011289290178914248,0.7403567632921356,0.015834364908077932,0.7754094804278792,0.003545848486240102,0.5824864737708775,0.0037269479329333287,0.21101834285457133,0.010456201735550641,0.781563126252505,0.0,0.5,0.0,0.0,0.0,0.0,0.0504013040167091
eye,inclusive,regulatory,545,323,222,351,0.5926605504587156,0.7442396313364056,S1_chemistry,221,False,"0,1,2,3,4",0.6356009260034028,0.01488328575809462,0.7135157062996631,0.009916795043900695,0.6899836476673457,0.00358365889648976,0.5923534990098458,0.010482883659803714,0.18968815165239977,0.01960383122341567,0.7442396313364056,0.0,0.5,0.0,0.0,0.0,0.0,0.0506672980978722
eye,inclusive,regulatory,545,323,222,351,0.5926605504587156,0.7442396313364056,S1_minus_CT26,195,False,"0,1,2,3,4",0.6351853401389005,0.015815980699217896,0.7107093693447996,0.01117101207335804,0.690831722118274,0.008813406144390946,0.5892840208629682,0.015392593163142692,0.18430870016469653,0.030437168874614565,0.7442396313364056,0.0,0.5,0.0,0.0,0.0,0.0,0.04915585198836035
eye,inclusive,regulatory_minus_sdsv1,255,142,113,202,0.5568627450980392,0.7153652392947103,S1_chemistry,221,False,"0,1,2,3,4",0.7249719556275707,0.01695679747466413,0.7391381895099339,0.016709443512449774,0.706198468872562,0.018932731550825935,0.6753209522622461,0.02159325172312267,0.3496245743714794,0.04290632431639883,0.7153652392947103,0.0,0.5,0.0,0.0,0.0,0.0,0.068026357784775
eye,inclusive,regulatory_minus_sdsv1,255,142,113,202,0.5568627450980392,0.7153652392947103,S1_minus_CT26,195,False,"0,1,2,3,4",0.7243113548547925,0.01573192982499205,0.732186887566695,0.011839437994128742,0.7078367042412292,0.018798885775384487,0.6756637168141593,0.018304622756640455,0.3506863704152482,0.03707328930347974,0.7153652392947103,0.0,0.5,0.0,0.0,0.0,0.0,0.07374087180849653
eye,strict,all,1153,386,767,477,0.3347788378143972,0.5016244314489928,S1_chemistry,221,False,"0,1,2,3,4",0.7203474272280805,0.007485022059897499,0.5632910427799918,0.0183973307497427,0.55917991745403,0.019814267436750462,0.6747110402550818,0.013626778371844887,0.36496625031753266,0.028632955255335345,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.04818985884704575
eye,strict,all,1153,386,767,477,0.3347788378143972,0.5016244314489928,S1_minus_CT26,195,False,"0,1,2,3,4",0.7153910329593126,0.007327792041439626,0.5653035283601318,0.017068510806809597,0.5522879821617059,0.021221590724509718,0.6711043632752599,0.014009310094588365,0.36072775679441954,0.028500109406731918,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0476686508279134
eye,strict,measured,608,116,492,273,0.19078947368421054,0.32044198895027626,S1_chemistry,221,False,"0,1,2,3,4",0.6896989767311467,0.012368601816917022,0.3660350967725939,0.02491601716545006,0.26713925881590106,0.03471023356066365,0.568152509111298,0.015093590263674145,0.20023837068019884,0.04436106065899779,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.06020011221153747
eye,strict,measured,608,116,492,273,0.19078947368421054,0.32044198895027626,S1_minus_CT26,195,False,"0,1,2,3,4",0.6837100504625736,0.007347736767396256,0.36593301158955926,0.02371145080206361,0.26513311480646273,0.035476867616291076,0.566932996916176,0.01554332240238749,0.1946854802370138,0.04510128106735292,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.06188601187260573
eye,strict,regulatory,545,270,275,351,0.4954128440366973,0.6625766871165644,S1_chemistry,221,False,"0,1,2,3,4",0.6622693602693602,0.012414698002844437,0.6428042344198627,0.016882522084622074,0.6277794650596651,0.016071277540822305,0.6161279461279461,0.01677252712019867,0.23293947657231656,0.03351876405229038,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.05573627269476984
eye,strict,regulatory,545,270,275,351,0.4954128440366973,0.6625766871165644,S1_minus_CT26,195,False,"0,1,2,3,4",0.6651407407407406,0.013120604802392853,0.6433248061431734,0.01977606113951455,0.6328779426963008,0.012457712697902868,0.6205521885521885,0.014510116538388813,0.2418599581985176,0.028860215460734952,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.05478907076581687
