sheet,column,key,원본값,배포본값,차이유형,손상측,정본권고,근거
특성,pH작업_상세,(열스키마),(열없음),(열존재: 서윤),신규,없음,배포본(신규열 채택),배포본(서윤)에만 존재하는 신규 작업열. build_input_v5.py 는 이 열을 읽지 않음(grep: GHS조사/S11/pH작업 무참조)
독성코드,tox_signal_word,EyeIrritation6pack_PID1062,Warning,warning,변경,없음,배포본,"_run_tox 상위출처값=['warning'](chunk_0.json,pchunk_0.json,unique_products.json) | 파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)"
독성코드,tox_signal_word,EyeIrritation6pack_PID404,Warning (경고),,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,EyeIrritation6pack_PID406,Danger (위험),,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,EyeIrritation6pack_PID408,Warning (경고),,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,EyeIrritation6pack_PID42,Danger (위험),,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,EyeIrritation6pack_PID639,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,EyeIrritation6pack_PID643,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,EyeIrritation6pack_PID75,Danger,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,EyeIrritation6pack_PID756,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,EyeIrritation6pack_PID760,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,EyeIrritation6pack_PID765,Danger,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,EyeIrritation6pack_PID865,Warning,warning,변경,없음,배포본,"_run_tox 상위출처값=['warning'](chunk_2.json,pchunk_6.json,unique_products.json) | 파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)"
독성코드,tox_signal_word,MIX1028,Warning,warning,변경,없음,배포본,"_run_tox 상위출처값=['warning'](chunk_3.json,pchunk_8.json,unique_products.json) | 파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)"
독성코드,tox_signal_word,MIX1029,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX1058,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX143,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX171,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX195,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX26,Danger,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX303,Danger,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX310,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX315,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX338,Danger,danger,변경,없음,배포본,"_run_tox 상위출처값=['danger'](chunk_1.json,pchunk_5.json,unique_products.json) | 파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)"
독성코드,tox_signal_word,MIX38,Danger,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX388,Danger,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX440,Warning,warning,변경,없음,배포본,"_run_tox 상위출처값=['warning'](chunk_2.json,pchunk_6.json,unique_products.json) | 파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)"
독성코드,tox_signal_word,MIX472,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX48,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX511,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX629,Warning,warning,변경,없음,배포본,"_run_tox 상위출처값=['warning'](chunk_3.json,pchunk_9.json,unique_products.json) | 파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)"
독성코드,tox_signal_word,MIX630,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX689,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX692,Danger,,소실,없음,확인 불가(양쪽 모두 상위출처와 불일치),"_run_tox 상위출처값=['danger'](chunk_1.json,pchunk_4.json,unique_products.json) | 파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)"
독성코드,tox_signal_word,MIX759,Warning,warning,변경,없음,확인 불가,파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX77,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX784,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX811,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX836,Danger,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX838,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX839,Danger,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX85,Warning,,소실,없음,원본(값 보유),파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_signal_word,MIX986,Danger,danger,변경,없음,배포본,"_run_tox 상위출처값=['danger'](chunk_4.json,pchunk_13.json,unique_products.json) | 파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)"
독성코드,tox_h_statements,EyeIrritation6pack_PID1062,H317 ;; H400 ;; H410,H302 ;; H315 ;; H319 ;; H335,변경,없음,배포본,"_run_tox 상위출처값=['H302 ;; H315 ;; H319 ;; H335'](chunk_0.json,pchunk_0.json,unique_products.json) | 파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)"
독성코드,tox_h_statements,EyeIrritation6pack_PID404,"H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0 ;;   ;; ( ;; 일 ;; 부 ;;   ;; 통 ;; 보 ;;   ;; H ;; 4 ;; 1 ;; 1 ;;   ;; 병 ;; 기 ;; )",,손상패턴,원본,원본(문자분리 복원 후) — 배포본은 결측,파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_h_statements,EyeIrritation6pack_PID406,"H ;; 3 ;; 0 ;; 1 ;; , ;;   ;; H ;; 3 ;; 1 ;; 0 ;; , ;;   ;; H ;; 3 ;; 1 ;; 7 ;; , ;;   ;; H ;; 3 ;; 3 ;; 0 ;; , ;;   ;; H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0",,손상패턴,원본,원본(문자분리 복원 후) — 배포본은 결측,파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_h_statements,EyeIrritation6pack_PID408,"H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0",,손상패턴,원본,원본(문자분리 복원 후) — 배포본은 결측,파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_h_statements,EyeIrritation6pack_PID42,"H ;; 3 ;; 1 ;; 7 ;; , ;;   ;; H ;; 3 ;; 7 ;; 0 ;; , ;;   ;; H ;; 3 ;; 7 ;; 3 ;; , ;;   ;; H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0",,손상패턴,원본,원본(문자분리 복원 후) — 배포본은 결측,파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
독성코드,tox_h_statements,EyeIrritation6pack_PID639,"H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0",,손상패턴,원본,원본(문자분리 복원 후) — 배포본은 결측,파이프라인소비=아니오(build_input_v5.py 미참조 → X/y/group_key 무영향)
