Formulation_ID,product_name,제형코드,제형코드_출처,v5_formulation_code,배정범위내,확보값_원문,파싱값,파싱하한,파싱상한,값형태,측정조건,측정조건_원문,근거URL,극단pH게이트,극단pH게이트_조건무시,기존값충돌,v5조인,v5물리형태,미확보사유,미확보세부,귀속등급,귀속코드,제품명불일치자인,제형표기모순,사람검토요망,상세기록,채택가능,판정근거
EyeIrritation6pack_PID1005,Troysan 680,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,근거 확보 실패,출처: 없음 - 제품 SDS 미확인,근거 확보 실패,출처: 없음 - 제품 SDS 미확인,N,N,N,N,보류,확보값 없음 · 근거 확보 실패 · 출처: 없음 - 제품 SDS 미확인
EyeIrritation6pack_PID1007,Troysan V48,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 정보량 부족,B4 부성분(10~50%) 참고값,참고값 기각 - 정보량 부족,B4 부성분(10~50%) 참고값,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 정보량 부족 · B4 부성분(10~50%) 참고값
EyeIrritation6pack_PID1008,Tru-Core Millwork Preservative Concentrate,SL,제형코드시트.추출정보(팀원기입),,Y,8.3,8.3,8.3,8.3,단일,원액,원액(조건 미기재),https://kopcoat.com/hubfs/KopCoat-Website/files/product%20documentation/Wood%20Preservation/Millwork/Tru-Core%20Millwork/Tru-Core%20Millwork%20SDS.pdf,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,,,,제품 SDS 확인,출처: 제조사 SDS,N,N,N,N,채택,제품 귀속(제품 SDS 확인) + 측정조건 명시(원액(조건 미기재))
EyeIrritation6pack_PID1013,UBI 4389,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 조성 데이터 결함,D2 조성 파싱결함(외부근거 있음),참고값 기각 - 조성 데이터 결함,D2 조성 파싱결함(외부근거 있음),N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 조성 데이터 결함 · D2 조성 파싱결함(외부근거 있음)
EyeIrritation6pack_PID1020,UP-End Herbicide,SL,제형코드시트.추출정보(팀원기입),,Y,7.72 at 20 C,7.72,7.72,7.72,단일,원액,원액 20 C,https://s3-us-west-1.amazonaws.com/agrian-cg-fs1-production/pdfs/UP-End_HydroCap_MSDS.pdf,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,liquid,,,동일제품 동의어 SDS 확인,출처: 유통사 SDS 아카이브,Y,N,N,N,조건부,제품 귀속 주장이나 메모가 제품명 불일치 자인(문서 표제 Up-End Hydrocap) + 측정조건 원액 20 C
EyeIrritation6pack_PID1023,US-LON-A,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,참고값 기각 - 귀속 불성립,D1 미지배성분 대입,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 귀속 불성립 · D1 미지배성분 대입
EyeIrritation6pack_PID1032,VCP-01,SL,제형코드시트.추출정보(팀원기입),,Y,5.8 - 6.2 at 1% dispersion,5.8-6.2,5.8,6.2,범위,1%수용액,1% 분산액,https://www.domyown.com/msds/Bifenthrin_IT_7.9_F_MSDS2_.pdf,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,,,,참고값 - 동일 제품 아님,출처: 타제품 완제품 SDS,Y,N,N,N,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID1043,Waterborne Milltreat 111 Concentrate,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,liquid,참고값 기각 - 귀속 불성립,D4 pH 비지배 성분 대입,참고값 기각 - 귀속 불성립,D4 pH 비지배 성분 대입,N,N,N,Y,보류,확보값 없음 · 참고값 기각 - 귀속 불성립 · D4 pH 비지배 성분 대입
EyeIrritation6pack_PID1050,WRC-13927-32-0,SL,제형코드시트.추출정보(팀원기입),,Y,5.50 at 1% solution,5.5,5.5,5.5,단일,1%수용액,1% 수용액,https://s3-us-west-1.amazonaws.com/agrian-cg-fs1-production/pdfs/Nufarm_Lambda-Cyhalothrin_1_EC_MSDS4.pdf,해당없음,해당없음,해당없음(v5 ph_best 결측),Y,,,,참고값 - 동일 제품 아님,출처: 제조사 SDS,Y,N,N,N,보류,참고값 - 동일 제품 아님 - 제품 자체 pH 아님(성분/타제품 참고값)
EyeIrritation6pack_PID1051,X-Cide 800 Biocide,SL,제형코드시트.추출정보(팀원기입),,Y,,,,,,,,,,,해당없음(v5 ph_best 결측),Y,,근거 확보 실패,출처: 농약물성DB,근거 확보 실패,출처: 농약물성DB,N,N,N,N,보류,확보값 없음 · 근거 확보 실패 · 출처: 농약물성DB
