Formulation_ID,ep,원문,판독,태그,원문지지,범주유효,NC근거유형,기존y,기존src_detail,충돌,채택가능,판정근거
Cancer_PID_1057,sens,감작성 분류 없음; 급성독성(피부/흡입) Category 4,,nc_weak,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=nc_weak)
Cancer_PID_9,eye,눈에 심한 자극(Causes severe eye irritation),,qual_only,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=qual_only)
Cancer_PID_9,skin,Draize test rabbit skin: 500 mg/24H Mild (경미한 자극),,qual_only,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=qual_only)
Cancer_PID_9,sens,호흡기 자극 유발; 피부를 통한 유해 흡수 가능(경피 유해),,xep,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=xep)
Cancer_PID_97,eye,분진 노출 시 기계적 자극 가능,,qual_only,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=qual_only)
Cancer_PID_97,skin,분진 노출 시 기계적 자극 가능,,qual_only,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=qual_only)
Cancer_PID_97,sens,자료 없음,,no_data,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=no_data)
Cancer_PID_98,eye,자극 및 찰과상 유발 가능,,qual_only,해당없음,정상,해당없음,1.0,sds_2nd,비교불가,폐기,미판독(태그=qual_only)
Cancer_PID_98,sens,호흡기 자극 가능(H335),,xep,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=xep)
EyeIrritation6pack_PID10,sens,자료 없음,,no_data,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=no_data)
EyeIrritation6pack_PID1001,eye,자료없음,,no_data,해당없음,정상,해당없음,1.0,ntp_measured,비교불가,폐기,미판독(태그=no_data)
EyeIrritation6pack_PID1001,skin,자료없음,,no_data,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=no_data)
EyeIrritation6pack_PID1001,sens,자료없음,,no_data,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=no_data)
EyeIrritation6pack_PID1012,skin,Slight skin irritation (rabbit),,qual_only,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=qual_only)
EyeIrritation6pack_PID1016,skin,DEET: minimal irritation (rabbit); isopropyl alcohol/isobutane: no significant irritation,,comp,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=comp)
EyeIrritation6pack_PID1018,eye,Non-irritant (rabbit),NC,nc_explicit,지지,정상,a,1.0,ntp_measured,충돌,재검,기존y=1 충돌(src=ntp_measured) [NTP실측 충돌-재검필수]
EyeIrritation6pack_PID1018,skin,Non-irritant (rabbit),NC,nc_explicit,지지,정상,a,,,비교불가,채택,원문지지+범주유효+기존y비교불가(NC근거=a)
EyeIrritation6pack_PID1018,sens,Weak skin sensitizer (guinea pig),1,pos_assert,지지,정상,해당없음,,,비교불가,채택,원문지지+범주유효+기존y비교불가(NC근거=해당없음)
EyeIrritation6pack_PID1019,sens,"피부접촉시 저림/화끈거림/따끔거림 유발 가능(가역적, 12시간 내 소실)",,xep,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=xep)
EyeIrritation6pack_PID1020,eye,Not an eye irritant (rabbit),NC,nc_explicit,지지,정상,a,0.0,ntp_measured,일치,채택,원문지지+범주유효+기존y일치(NC근거=a)
EyeIrritation6pack_PID1020,skin,Not a skin irritant (rabbit),NC,nc_explicit,지지,정상,a,,,비교불가,채택,원문지지+범주유효+기존y비교불가(NC근거=a)
EyeIrritation6pack_PID1024,eye,"Mildly irritating (rabbit), EPA Tox Category III",,epa_only,해당없음,정상,해당없음,1.0,ntp_measured,비교불가,폐기,미판독(태그=epa_only)
EyeIrritation6pack_PID1024,skin,"Slightly irritating (rabbit), EPA Tox Category IV",,epa_only,해당없음,정상,해당없음,0.0,sds_v1_negative_recovered,비교불가,폐기,미판독(태그=epa_only)
EyeIrritation6pack_PID1025,eye,Moderately irritating (rabbit) - EPA Tox Category III,,epa_only,해당없음,정상,해당없음,1.0,ntp_measured,비교불가,폐기,미판독(태그=epa_only)
EyeIrritation6pack_PID1025,skin,Brief and/or minor irritation (rabbit) - EPA Tox Category IV,,epa_only,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=epa_only)
EyeIrritation6pack_PID1027,eye,Moderately irritating (rabbit) - EPA Tox Category III (cat_eye_ghs 2B 힌트와 대략 부합),,epa_only,해당없음,정상,해당없음,1.0,ntp_measured,비교불가,폐기,미판독(태그=epa_only)
EyeIrritation6pack_PID1027,skin,Moderately irritating (rabbit) - EPA Tox Category III,,epa_only,해당없음,정상,해당없음,1.0,sds_v1,비교불가,폐기,미판독(태그=epa_only)
EyeIrritation6pack_PID103,skin,Slightly Irritating (rabbit),,qual_only,해당없음,정상,해당없음,,,비교불가,폐기,미판독(태그=qual_only)
EyeIrritation6pack_PID1032,eye,Causes moderate eye irritation,,qual_only,해당없음,정상,해당없음,1.0,ntp_measured,비교불가,폐기,미판독(태그=qual_only)
EyeIrritation6pack_PID1033,eye,Brief and/or minor irritation - EPA Tox Category III,,epa_only,해당없음,정상,해당없음,1.0,ntp_measured,비교불가,폐기,미판독(태그=epa_only)
