cas,ingredient_name,눈,피부,감작,출처유형,범주유효성,H코드정합,URL상태,CAS체디,기존값충돌,채택가능,판정근거
1330-20-7,Xylene,분류대상아님(EU CLP Annex VI 기준 H318/H319 없음),"구분2(피부 자극) (H315, EU CLP Annex VI): H315: Causes skin irritation [Warning Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI 기준 H317/H334 없음),annex_vi,정상,정상,PubChem CID URL 3건,pass,눈:신규[NC] vs 기존[1;2B;Not classified](ntp_measured) | 감작:신규[NC] vs 기존[1](sens_ghs),조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가 / 기존 v5 라벨과 충돌 존재 / 감작 판정문에 H334(호흡기감작) 문자열 포함(부재판정 기준으로만 사용)
100-41-4,Ethylbenzene,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2B](ntp_measured) | 피부:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
98-82-8,Cumene,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,없음,채택,"EU CLP Annex VI 근거 또는 양대출처 조회완료 NC, 범주/H코드 정합, URL 정상, 체디 pass, 기존값 충돌 없음"
121-14-2,"2,4-Dinitrotoluene",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,없음,채택,"EU CLP Annex VI 근거 또는 양대출처 조회완료 NC, 범주/H코드 정합, URL 정상, 체디 pass, 기존값 충돌 없음"
606-20-2,"2,6-Dinitrotoluene",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,없음,채택,"EU CLP Annex VI 근거 또는 양대출처 조회완료 NC, 범주/H코드 정합, URL 정상, 체디 pass, 기존값 충돌 없음"
57-14-7,"N,N-Dimethylhydrazine Standard",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"구분1(피부 부식/화상) (H314, EU CLP Annex VI): H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,없음,채택,"EU CLP Annex VI 근거 또는 양대출처 조회완료 NC, 범주/H코드 정합, URL 정상, 체디 pass, 기존값 충돌 없음"
144550-36-7,Iodosulfuron methyl ester sodium salt,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2B](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
199119-58-9,"Synonyms : Trifloxysulfuron sodium,Trifloxysulfuron sodium salt",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가 / 기존 v5 라벨과 충돌 존재
1582-09-8,Trifluralin 480 g/L,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B](ntp_measured) | 피부:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
64742-47-8,"Distillates (Petroleum), Hydrotreated Light",정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
