endpoint,관할,결측처리,n,유병률,AUC_권고,AUC_권고_sd,AUC_권고_교정,AUC_권고_교정_sd,Δ(교정−현행),t_df4,p,시드양수,MCC_권고,MCC_권고_교정
eye,UN_GHS+K_REACH+US_OSHA,nan0,1044,0.683,0.6858,0.0071,0.6857,0.0108,-0.0001,-0.08,0.9436,2,0.2372,0.2496
eye,UN_GHS+K_REACH+US_OSHA,native,1044,0.683,0.6744,0.0097,0.6755,0.0113,0.001,0.77,0.4846,4,0.2433,0.2406
eye,EU_CLP,nan0,1044,0.3697,0.7577,0.0034,0.7578,0.0032,0.0,0.04,0.9689,3,0.417,0.4189
eye,EU_CLP,native,1044,0.3697,0.7656,0.0026,0.7637,0.0034,-0.002,-2.5,0.0665,0,0.4315,0.4294
skin,UN_GHS,nan0,615,0.6033,0.7334,0.0064,0.7325,0.006,-0.0008,-1.11,0.3298,1,0.3642,0.3584
skin,UN_GHS,native,615,0.6033,0.735,0.0107,0.7358,0.0099,0.0008,0.71,0.5142,2,0.3641,0.3528
skin,EU_CLP+K_REACH+US_OSHA,nan0,1059,0.3362,0.7697,0.0041,0.7716,0.0054,0.0019,1.29,0.266,4,0.3852,0.3918
skin,EU_CLP+K_REACH+US_OSHA,native,1059,0.3362,0.7754,0.0031,0.7747,0.0049,-0.0007,-0.51,0.6346,2,0.3985,0.3987
sens,UN_GHS+EU_CLP+K_REACH+US_OSHA,nan0,716,0.5321,0.7333,0.005,0.7262,0.0068,-0.0071,-4.99,0.0075,0,0.3591,0.3374
sens,UN_GHS+EU_CLP+K_REACH+US_OSHA,native,716,0.5321,0.7558,0.0059,0.7425,0.0089,-0.0133,-5.87,0.0042,0,0.3948,0.3687
