endpoint,결측처리,라벨변형,CT_arm,n,유병률,ROC_AUC,AUC_sd,MCC,ΔAUC_vs_A0,sd_paired,t_df4,시드양수
eye,nan0,disk_bin,A0_base,1153,0.6184,0.6387,0.0097,0.2015,,,,
eye,nan0,disk_bin,A2_all,1153,0.6184,0.6643,0.011,0.2221,0.0256,0.007,8.21,5.0
eye,nan0,disk_bin,권고_eyeskinA2_sensA3,1153,0.6184,0.6665,0.013,0.2186,0.0277,0.0077,8.05,5.0
eye,native,disk_bin,A0_base,1153,0.6184,0.6299,0.0105,0.179,,,,
eye,native,disk_bin,A2_all,1153,0.6184,0.6499,0.0126,0.191,0.02,0.0058,7.74,5.0
eye,native,disk_bin,권고_eyeskinA2_sensA3,1153,0.6184,0.6497,0.0094,0.1948,0.0198,0.0049,8.98,5.0
eye,nan0,L1_UN,A0_base,1153,0.6184,0.6387,0.0097,0.2015,,,,
eye,nan0,L1_UN,A2_all,1153,0.6184,0.6643,0.011,0.2221,0.0256,0.007,8.21,5.0
eye,nan0,L1_UN,권고_eyeskinA2_sensA3,1153,0.6184,0.6665,0.013,0.2186,0.0277,0.0077,8.05,5.0
eye,native,L1_UN,A0_base,1153,0.6184,0.6299,0.0105,0.179,,,,
eye,native,L1_UN,A2_all,1153,0.6184,0.6499,0.0126,0.191,0.02,0.0058,7.74,5.0
eye,native,L1_UN,권고_eyeskinA2_sensA3,1153,0.6184,0.6497,0.0094,0.1948,0.0198,0.0049,8.98,5.0
eye,nan0,L1_EU,A0_base,1153,0.3348,0.7203,0.0075,0.365,,,,
eye,nan0,L1_EU,A2_all,1153,0.3348,0.7402,0.0057,0.3849,0.0199,0.0035,12.67,5.0
eye,nan0,L1_EU,권고_eyeskinA2_sensA3,1153,0.3348,0.7387,0.0087,0.3853,0.0183,0.0052,7.87,5.0
eye,native,L1_EU,A0_base,1153,0.3348,0.7296,0.0082,0.3625,,,,
eye,native,L1_EU,A2_all,1153,0.3348,0.7481,0.0083,0.3928,0.0186,0.0024,17.13,5.0
eye,native,L1_EU,권고_eyeskinA2_sensA3,1153,0.3348,0.7451,0.0088,0.3923,0.0155,0.0041,8.37,5.0
skin,nan0,disk_bin,A0_base,1059,0.3503,0.7556,0.005,0.3698,,,,
skin,nan0,disk_bin,A2_all,1059,0.3503,0.7715,0.0058,0.3871,0.0159,0.0028,12.9,5.0
skin,nan0,disk_bin,권고_eyeskinA2_sensA3,1059,0.3503,0.7728,0.0056,0.3902,0.0172,0.0014,26.87,5.0
skin,native,disk_bin,A0_base,1059,0.3503,0.7619,0.0065,0.3777,,,,
skin,native,disk_bin,A2_all,1059,0.3503,0.776,0.0059,0.3897,0.0142,0.0042,7.55,5.0
skin,native,disk_bin,권고_eyeskinA2_sensA3,1059,0.3503,0.7766,0.0064,0.3957,0.0147,0.002,16.59,5.0
skin,nan0,L1_UN,A0_base,615,0.6033,0.6882,0.0093,0.2982,,,,
skin,nan0,L1_UN,A2_all,615,0.6033,0.7335,0.008,0.3482,0.0453,0.0053,19.27,5.0
skin,nan0,L1_UN,권고_eyeskinA2_sensA3,615,0.6033,0.7334,0.0064,0.3642,0.0452,0.0038,26.69,5.0
skin,native,L1_UN,A0_base,615,0.6033,0.6992,0.0116,0.3082,,,,
skin,native,L1_UN,A2_all,615,0.6033,0.7347,0.0126,0.3386,0.0356,0.0102,7.84,5.0
skin,native,L1_UN,권고_eyeskinA2_sensA3,615,0.6033,0.735,0.0107,0.3641,0.0358,0.0064,12.61,5.0
skin,nan0,L1_EU,A0_base,1059,0.3362,0.7547,0.0085,0.3726,,,,
skin,nan0,L1_EU,A2_all,1059,0.3362,0.769,0.0063,0.3817,0.0143,0.0046,6.98,5.0
skin,nan0,L1_EU,권고_eyeskinA2_sensA3,1059,0.3362,0.7697,0.0041,0.3852,0.015,0.0051,6.58,5.0
skin,native,L1_EU,A0_base,1059,0.3362,0.7612,0.0071,0.3655,,,,
skin,native,L1_EU,A2_all,1059,0.3362,0.7754,0.0047,0.3964,0.0142,0.0029,11.12,5.0
skin,native,L1_EU,권고_eyeskinA2_sensA3,1059,0.3362,0.7754,0.0031,0.3985,0.0142,0.0044,7.19,5.0
