Formulation_ID,endpoint,원본,정본,정정근거,출처
MIX107,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX11,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX122,skin,2A,2,2A 는 눈 전용 범주. 출처 EPA 피부 II(72h 심한 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2A 는 없다,ntp_measured
MIX123,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX125,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX132,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX139,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX142,skin,2A,2,2A 는 눈 전용 범주. 출처 EPA 피부 II(72h 심한 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2A 는 없다,ntp_measured
MIX145,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX151,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX178,skin,2A,2,2A 는 눈 전용 범주. 출처 EPA 피부 II(72h 심한 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2A 는 없다,ntp_measured
MIX186,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX193,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX196,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX198,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX200,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX201,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX206,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX220,skin,2A,2,2A 는 눈 전용 범주. 출처 EPA 피부 II(72h 심한 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2A 는 없다,ntp_measured
MIX224,skin,2A,2,2A 는 눈 전용 범주. 출처 EPA 피부 II(72h 심한 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2A 는 없다,ntp_measured
MIX231,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX256,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX261,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX282,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX284,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX287,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX301,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX303,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX336,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX342,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX343,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX355,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX36,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX360,skin,2A,2,2A 는 눈 전용 범주. 출처 EPA 피부 II(72h 심한 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2A 는 없다,ntp_measured
MIX361,skin,2A,2,2A 는 눈 전용 범주. 출처 EPA 피부 II(72h 심한 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2A 는 없다,ntp_measured
MIX37,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX371,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX374,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX378,skin,2A,2,2A 는 눈 전용 범주. 출처 EPA 피부 II(72h 심한 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2A 는 없다,ntp_measured
MIX388,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX393,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX395,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX41,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX419,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX420,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX429,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX43,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX430,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX433,skin,2A,2,2A 는 눈 전용 범주. 출처 EPA 피부 II(72h 심한 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2A 는 없다,ntp_measured
MIX438,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX442,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX451,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX457,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX459,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX480,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX481,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX497,skin,2A,2,2A 는 눈 전용 범주. 출처 EPA 피부 II(72h 심한 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2A 는 없다,ntp_measured
MIX504,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
