측정,프로파일,관할,결측처리,CT,평가행_n,negrec_학습추가_n,유병률,AUC_negrec포함학습,AUC_negrec마스크,ΔAUC_마스크효과,sd_paired,t_df4,시드양수,MCC_마스크,MCC_포함,ROC_AUC,AUC_sd,MCC,BA,ΔAUC_CT권고_vs_A0
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),UN_GHS,nan0,CT_A0,1044,109.0,0.683,0.6732,0.6745,0.0013,0.0128,0.22,2.0,0.2354,0.2299,,,,,
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),K_REACH,nan0,CT_A0,1044,109.0,0.683,0.6732,0.6745,0.0013,0.0128,0.22,2.0,0.2354,0.2299,,,,,
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),US_OSHA,nan0,CT_A0,1044,109.0,0.683,0.6732,0.6745,0.0013,0.0128,0.22,2.0,0.2354,0.2299,,,,,
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),UN_GHS,nan0,CT_권고,1044,109.0,0.683,0.683,0.6858,0.0028,0.0059,1.05,4.0,0.2372,0.2361,,,,,
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),K_REACH,nan0,CT_권고,1044,109.0,0.683,0.683,0.6858,0.0028,0.0059,1.05,4.0,0.2372,0.2361,,,,,
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),US_OSHA,nan0,CT_권고,1044,109.0,0.683,0.683,0.6858,0.0028,0.0059,1.05,4.0,0.2372,0.2361,,,,,
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),UN_GHS,native,CT_A0,1044,109.0,0.683,0.667,0.6678,0.0008,0.0068,0.26,3.0,0.2252,0.21,,,,,
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),K_REACH,native,CT_A0,1044,109.0,0.683,0.667,0.6678,0.0008,0.0068,0.26,3.0,0.2252,0.21,,,,,
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),US_OSHA,native,CT_A0,1044,109.0,0.683,0.667,0.6678,0.0008,0.0068,0.26,3.0,0.2252,0.21,,,,,
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),UN_GHS,native,CT_권고,1044,109.0,0.683,0.6761,0.6744,-0.0017,0.0055,-0.69,2.0,0.2433,0.2248,,,,,
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),K_REACH,native,CT_권고,1044,109.0,0.683,0.6761,0.6744,-0.0017,0.0055,-0.69,2.0,0.2433,0.2248,,,,,
M4_동일평가행,UN형(UN_GHS/K_REACH/US_OSHA),US_OSHA,native,CT_권고,1044,109.0,0.683,0.6761,0.6744,-0.0017,0.0055,-0.69,2.0,0.2433,0.2248,,,,,
M4_동일평가행,EU형(EU_CLP),EU_CLP,nan0,CT_A0,1044,109.0,0.3697,0.7433,0.7423,-0.001,0.0078,-0.27,2.0,0.3999,0.4003,,,,,
M4_동일평가행,EU형(EU_CLP),EU_CLP,nan0,CT_권고,1044,109.0,0.3697,0.7613,0.7577,-0.0035,0.0037,-2.13,1.0,0.417,0.4206,,,,,
M4_동일평가행,EU형(EU_CLP),EU_CLP,native,CT_A0,1044,109.0,0.3697,0.7512,0.7505,-0.0007,0.002,-0.76,1.0,0.3987,0.4036,,,,,
M4_동일평가행,EU형(EU_CLP),EU_CLP,native,CT_권고,1044,109.0,0.3697,0.7643,0.7656,0.0014,0.0032,0.95,3.0,0.4315,0.4398,,,,,
M5_마스크후_최종,UN형(UN_GHS/K_REACH/US_OSHA),UN_GHS,nan0,CT_A0,1044,,0.683,,,,,,,,,0.6745,0.0097,0.2354,0.5988,
M5_마스크후_최종,UN형(UN_GHS/K_REACH/US_OSHA),K_REACH,nan0,CT_A0,1044,,0.683,,,,,,,,,0.6745,0.0097,0.2354,0.5988,
M5_마스크후_최종,UN형(UN_GHS/K_REACH/US_OSHA),US_OSHA,nan0,CT_A0,1044,,0.683,,,,,,,,,0.6745,0.0097,0.2354,0.5988,
M5_마스크후_최종,UN형(UN_GHS/K_REACH/US_OSHA),UN_GHS,nan0,CT_권고,1044,,0.683,,,,,6.41,,,,0.6858,0.0071,0.2372,0.6011,0.0114
M5_마스크후_최종,UN형(UN_GHS/K_REACH/US_OSHA),K_REACH,nan0,CT_권고,1044,,0.683,,,,,6.41,,,,0.6858,0.0071,0.2372,0.6011,0.0114
M5_마스크후_최종,UN형(UN_GHS/K_REACH/US_OSHA),US_OSHA,nan0,CT_권고,1044,,0.683,,,,,6.41,,,,0.6858,0.0071,0.2372,0.6011,0.0114
