관할,endpoint,정본범주,이진,처리,확인상태,근거
UN_GHS,eye,1,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,eye,2,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,eye,2A,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,eye,2B,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,eye,NC,0.0,음성(해당 관할 미분류),확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,skin,1,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,skin,1A,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,skin,1B,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,skin,1C,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,skin,2,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,skin,3,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,skin,NC,0.0,음성(해당 관할 미분류),확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,sens,1,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,sens,1A,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,sens,1B,1.0,양성,확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
UN_GHS,sens,NC,0.0,음성(해당 관할 미분류),확인,"UN GHS Rev.10 3.3(눈 2A/2B 선택범주 포함), 3.2(피부 Cat 3 선택범주 포함)"
EU_CLP,eye,1,1.0,양성,확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,eye,2,1.0,양성,확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,eye,2A,1.0,양성,확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,eye,2B,0.0,음성(해당 관할 미분류),확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,eye,NC,0.0,음성(해당 관할 미분류),확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,skin,1,1.0,양성,확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,skin,1A,1.0,양성,확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,skin,1B,1.0,양성,확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,skin,1C,1.0,양성,확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,skin,2,1.0,양성,확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,skin,3,0.0,음성(해당 관할 미분류),확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,skin,NC,0.0,음성(해당 관할 미분류),확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,sens,1,1.0,양성,확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,sens,1A,1.0,양성,확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,sens,1B,1.0,양성,확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
EU_CLP,sens,NC,0.0,음성(해당 관할 미분류),확인,"규칙 (EC) 1272/2008 부속서 I — Eye Irrit. 2 단일범주(2B/H320 없음), Skin Irrit. 2 단일범주(Cat 3/H316 없음)"
K_REACH,eye,1,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,eye,2,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,eye,2A,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,eye,2B,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,eye,NC,0.0,음성(해당 관할 미분류),부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,skin,1,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,skin,1A,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,skin,1B,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,skin,1C,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,skin,2,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,skin,3,0.0,음성(해당 관할 미분류),부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,skin,NC,0.0,음성(해당 관할 미분류),부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,sens,1,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,sens,1A,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,sens,1B,1.0,양성,부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
K_REACH,sens,NC,0.0,음성(해당 관할 미분류),부분확인,"고용노동부 고시 화학물질 분류·표시 — 눈 자극성 2A/2B 세분 채택, 피부 자극성 구분 2 단일(구분 3 미채택). **고시 원문 대조 미완**"
US_OSHA,eye,1,1.0,양성,부분확인,"OSHA HCS 2012 부속서 A.3(눈 2A/2B), A.2(피부 Cat 2, Cat 3 미채택). **원문 대조 미완**"
US_OSHA,eye,2,1.0,양성,부분확인,"OSHA HCS 2012 부속서 A.3(눈 2A/2B), A.2(피부 Cat 2, Cat 3 미채택). **원문 대조 미완**"
US_OSHA,eye,2A,1.0,양성,부분확인,"OSHA HCS 2012 부속서 A.3(눈 2A/2B), A.2(피부 Cat 2, Cat 3 미채택). **원문 대조 미완**"
US_OSHA,eye,2B,1.0,양성,부분확인,"OSHA HCS 2012 부속서 A.3(눈 2A/2B), A.2(피부 Cat 2, Cat 3 미채택). **원문 대조 미완**"
US_OSHA,eye,NC,0.0,음성(해당 관할 미분류),부분확인,"OSHA HCS 2012 부속서 A.3(눈 2A/2B), A.2(피부 Cat 2, Cat 3 미채택). **원문 대조 미완**"
US_OSHA,skin,1,1.0,양성,부분확인,"OSHA HCS 2012 부속서 A.3(눈 2A/2B), A.2(피부 Cat 2, Cat 3 미채택). **원문 대조 미완**"
US_OSHA,skin,1A,1.0,양성,부분확인,"OSHA HCS 2012 부속서 A.3(눈 2A/2B), A.2(피부 Cat 2, Cat 3 미채택). **원문 대조 미완**"
US_OSHA,skin,1B,1.0,양성,부분확인,"OSHA HCS 2012 부속서 A.3(눈 2A/2B), A.2(피부 Cat 2, Cat 3 미채택). **원문 대조 미완**"
US_OSHA,skin,1C,1.0,양성,부분확인,"OSHA HCS 2012 부속서 A.3(눈 2A/2B), A.2(피부 Cat 2, Cat 3 미채택). **원문 대조 미완**"
US_OSHA,skin,2,1.0,양성,부분확인,"OSHA HCS 2012 부속서 A.3(눈 2A/2B), A.2(피부 Cat 2, Cat 3 미채택). **원문 대조 미완**"
US_OSHA,skin,3,0.0,음성(해당 관할 미분류),부분확인,"OSHA HCS 2012 부속서 A.3(눈 2A/2B), A.2(피부 Cat 2, Cat 3 미채택). **원문 대조 미완**"
