측정,결측처리,endpoint,관할,n,유병률,ROC_AUC,AUC_sd,MCC,BA,ΔAUC_vs_UN,sd_paired,t_df4,시드양수,ΔAUC_CT권고_vs_A0
M1_공통행_CT_A0,nan0,eye,UN_GHS,1153,0.6184,0.6387,0.0097,0.2015,0.5898,,,,,
M1_공통행_CT_A0,nan0,eye,EU_CLP,1153,0.3348,0.7236,0.0063,0.3687,0.6756,0.0848,0.0103,18.49,5.0,
M1_공통행_CT_A0,nan0,eye,K_REACH,1153,0.6184,0.6387,0.0097,0.2015,0.5898,0.0,0.0,,0.0,
M1_공통행_CT_A0,nan0,eye,US_OSHA,1153,0.6184,0.6387,0.0097,0.2015,0.5898,0.0,0.0,,0.0,
M1_공통행_CT_A0,native,eye,UN_GHS,1153,0.6184,0.6299,0.0105,0.179,0.5799,,,,,
M1_공통행_CT_A0,native,eye,EU_CLP,1153,0.3348,0.7326,0.0052,0.3662,0.6726,0.1027,0.0094,24.34,5.0,
M1_공통행_CT_A0,native,eye,K_REACH,1153,0.6184,0.6299,0.0105,0.179,0.5799,0.0,0.0,,0.0,
M1_공통행_CT_A0,native,eye,US_OSHA,1153,0.6184,0.6299,0.0105,0.179,0.5799,0.0,0.0,,0.0,
M1_공통행_CT_A0,nan0,skin,UN_GHS,615,0.6033,0.6882,0.0093,0.2982,0.643,,,,,
M1_공통행_CT_A0,nan0,skin,EU_CLP,615,0.5789,0.7032,0.007,0.3153,0.6553,0.015,0.0062,5.41,5.0,
M1_공통행_CT_A0,nan0,skin,K_REACH,615,0.5789,0.7032,0.007,0.3153,0.6553,0.015,0.0062,5.41,5.0,
M1_공통행_CT_A0,nan0,skin,US_OSHA,615,0.5789,0.7032,0.007,0.3153,0.6553,0.015,0.0062,5.41,5.0,
M1_공통행_CT_A0,native,skin,UN_GHS,615,0.6033,0.6992,0.0116,0.3082,0.6475,,,,,
M1_공통행_CT_A0,native,skin,EU_CLP,615,0.5789,0.7143,0.0077,0.3133,0.6547,0.0151,0.006,5.6,5.0,
M1_공통행_CT_A0,native,skin,K_REACH,615,0.5789,0.7143,0.0077,0.3133,0.6547,0.0151,0.006,5.6,5.0,
M1_공통행_CT_A0,native,skin,US_OSHA,615,0.5789,0.7143,0.0077,0.3133,0.6547,0.0151,0.006,5.6,5.0,
M1_공통행_CT_A0,nan0,sens,UN_GHS,716,0.5321,0.6969,0.0135,0.2982,0.6491,,,,,
M1_공통행_CT_A0,nan0,sens,EU_CLP,716,0.5321,0.6969,0.0135,0.2982,0.6491,0.0,0.0,,0.0,
M1_공통행_CT_A0,nan0,sens,K_REACH,716,0.5321,0.6969,0.0135,0.2982,0.6491,0.0,0.0,,0.0,
M1_공통행_CT_A0,nan0,sens,US_OSHA,716,0.5321,0.6969,0.0135,0.2982,0.6491,0.0,0.0,,0.0,
M1_공통행_CT_A0,native,sens,UN_GHS,716,0.5321,0.7067,0.0108,0.3285,0.6644,,,,,
M1_공통행_CT_A0,native,sens,EU_CLP,716,0.5321,0.7067,0.0108,0.3285,0.6644,0.0,0.0,,0.0,
M1_공통행_CT_A0,native,sens,K_REACH,716,0.5321,0.7067,0.0108,0.3285,0.6644,0.0,0.0,,0.0,
M1_공통행_CT_A0,native,sens,US_OSHA,716,0.5321,0.7067,0.0108,0.3285,0.6644,0.0,0.0,,0.0,
