Formulation_ID,group_key,y_eye__L0_raw,y_eye__L1_canon,y_eye__L1_fixed,y_eye_cat__UN_GHS,y_eye_bin__UN_GHS,y_eye_usable__UN_GHS,y_eye_cat__EU_CLP,y_eye_bin__EU_CLP,y_eye_usable__EU_CLP,y_eye_cat__K_REACH,y_eye_bin__K_REACH,y_eye_usable__K_REACH,y_eye_cat__US_OSHA,y_eye_bin__US_OSHA,y_eye_usable__US_OSHA,y_skin__L0_raw,y_skin__L1_canon,y_skin__L1_fixed,y_skin_cat__UN_GHS,y_skin_bin__UN_GHS,y_skin_usable__UN_GHS,y_skin_cat__EU_CLP,y_skin_bin__EU_CLP,y_skin_usable__EU_CLP,y_skin_cat__K_REACH,y_skin_bin__K_REACH,y_skin_usable__K_REACH,y_skin_cat__US_OSHA,y_skin_bin__US_OSHA,y_skin_usable__US_OSHA,y_sens__L0_raw,y_sens__L1_canon,y_sens__L1_fixed,y_sens_cat__UN_GHS,y_sens_bin__UN_GHS,y_sens_usable__UN_GHS,y_sens_cat__EU_CLP,y_sens_bin__EU_CLP,y_sens_usable__EU_CLP,y_sens_cat__K_REACH,y_sens_bin__K_REACH,y_sens_usable__K_REACH,y_sens_cat__US_OSHA,y_sens_bin__US_OSHA,y_sens_usable__US_OSHA
Cancer_PID_1057,1330-20-7,2A,2A,0,2A,1,1,2A,1,1,2A,1,1,2A,1,1,2,2,0,2,1,1,2,1,1,2,1,1,2,1,1,,,0,,,0,,,0,,,0,,,0
Cancer_PID_108,134678-17-4,NC,NC,0,Not classified,0,1,Not classified,0,1,Not classified,0,1,Not classified,0,1,NC,NC,0,Not classified,0,1,Not classified,0,1,Not classified,0,1,Not classified,0,1,NC,NC,0,Not classified,0,1,Not classified,0,1,Not classified,0,1,Not classified,0,1
Cancer_PID_12,3'-Azido-3'-Deoxythymidine,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Cancer_PID_13,3'-Azido-3'-Deoxythymidine,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Cancer_PID_14,3'-Azido-3'-Deoxythymidine,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Cancer_PID_141,Beta-nitrostyrene,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Cancer_PID_15,3'-Azido-3'-deoxythymidine,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Cancer_PID_159,Bisether,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Cancer_PID_16,3'-Azido-3'-deoxythymidine,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Cancer_PID_6,57653-85-7,2A,2A,0,2A,1,1,2A,1,1,2A,1,1,2A,1,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
