key,column,원본값,복원값,복원_H코드,엔드포인트관련_H코드
EyeIrritation6pack_PID404,tox_h_statements,"H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0 ;;   ;; ( ;; 일 ;; 부 ;;   ;; 통 ;; 보 ;;   ;; H ;; 4 ;; 1 ;; 1 ;;   ;; 병 ;; 기 ;; )","H400, H410 (일부 통보 H411 병기)","['H400', 'H410', 'H411']",[]
EyeIrritation6pack_PID406,tox_h_statements,"H ;; 3 ;; 0 ;; 1 ;; , ;;   ;; H ;; 3 ;; 1 ;; 0 ;; , ;;   ;; H ;; 3 ;; 1 ;; 7 ;; , ;;   ;; H ;; 3 ;; 3 ;; 0 ;; , ;;   ;; H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0","H301, H310, H317, H330, H400, H410","['H301', 'H310', 'H317', 'H330', 'H400', 'H410']",['H317']
EyeIrritation6pack_PID408,tox_h_statements,"H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0","H400, H410","['H400', 'H410']",[]
EyeIrritation6pack_PID42,tox_h_statements,"H ;; 3 ;; 1 ;; 7 ;; , ;;   ;; H ;; 3 ;; 7 ;; 0 ;; , ;;   ;; H ;; 3 ;; 7 ;; 3 ;; , ;;   ;; H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0","H317, H370, H373, H400, H410","['H317', 'H370', 'H373', 'H400', 'H410']",['H317']
EyeIrritation6pack_PID639,tox_h_statements,"H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0","H400, H410","['H400', 'H410']",[]
EyeIrritation6pack_PID643,tox_h_statements,"H ;; 3 ;; 6 ;; 1 ;; f ;; d ;; , ;;   ;; H ;; 3 ;; 6 ;; 2 ;; , ;;   ;; H ;; 3 ;; 7 ;; 3","H361fd, H362, H373","['H361fd', 'H362', 'H373']",[]
EyeIrritation6pack_PID75,tox_h_statements,"H ;; 3 ;; 0 ;; 2 ;; ( ;; 1 ;; 0 ;; 0 ;; % ;; ) ;; , ;;   ;; H ;; 3 ;; 3 ;; 1 ;; ( ;; 1 ;; 7 ;; . ;; 4 ;; % ;; ) ;; , ;;   ;; H ;; 4 ;; 0 ;; 0 ;; ( ;; 1 ;; 0 ;; 0 ;; % ;; ) ;; , ;;   ;; H ;; 4 ;; 1 ;; 0 ;; ( ;; 1 ;; 0 ;; 0 ;; % ;; )","H302(100%), H331(17.4%), H400(100%), H410(100%)","['H302', 'H331', 'H400', 'H410']",[]
EyeIrritation6pack_PID756,tox_h_statements,"H ;; 3 ;; 1 ;; 9 ;; ( ;; 9 ;; 8 ;; . ;; 9 ;; % ;; ) ;; , ;;   ;; H ;; 3 ;; 3 ;; 2 ;; ( ;; 1 ;; 0 ;; 0 ;; % ;; ) ;; , ;;   ;; H ;; 4 ;; 0 ;; 0 ;; ( ;; 1 ;; 0 ;; 0 ;; % ;; ) ;; , ;;   ;; H ;; 4 ;; 1 ;; 0 ;; ( ;; 5 ;; 7 ;; . ;; 3 ;; % ;; )","H319(98.9%), H332(100%), H400(100%), H410(57.3%)","['H319', 'H332', 'H400', 'H410']",['H319']
EyeIrritation6pack_PID760,tox_h_statements,"H ;; 3 ;; 0 ;; 2 ;; ( ;; 7 ;; 4 ;; . ;; 8 ;; % ;; ) ;; , ;;   ;; H ;; 3 ;; 1 ;; 5 ;; ( ;; 2 ;; 0 ;; . ;; 8 ;; % ;; ) ;; , ;;   ;; H ;; 3 ;; 1 ;; 7 ;; ( ;; 8 ;; 3 ;; . ;; 2 ;; % ;; ) ;; , ;;   ;; H ;; 3 ;; 1 ;; 9 ;; ( ;; 1 ;; 0 ;; 0 ;; % ;; ) ;; , ;;   ;; H ;; 3 ;; 3 ;; 2 ;; ( ;; 1 ;; 0 ;; 0 ;; % ;; ) ;; , ;;   ;; H ;; 3 ;; 3 ;; 5 ;; ( ;; 1 ;; 0 ;; 0 ;; % ;; ) ;; , ;;   ;; H ;; 3 ;; 6 ;; 1 ;; ( ;; 1 ;; 6 ;; . ;; 4 ;; % ;; ) ;; , ;;   ;; H ;; 3 ;; 6 ;; 1 ;; d ;; ( ;; 5 ;; 8 ;; . ;; 4 ;; % ;; ) ;; , ;;   ;; H ;; 4 ;; 0 ;; 0 ;; ( ;; 7 ;; 4 ;; . ;; 8 ;; % ;; ) ;; , ;;   ;; H ;; 4 ;; 1 ;; 0 ;; ( ;; 2 ;; 8 ;; . ;; 8 ;; % ;; ) ;; , ;;   ;; H ;; 4 ;; 1 ;; 2 ;; ( ;; 8 ;; 1 ;; . ;; 9 ;; % ;; )","H302(74.8%), H315(20.8%), H317(83.2%), H319(100%), H332(100%), H335(100%), H361(16.4%), H361d(58.4%), H400(74.8%), H410(28.8%), H412(81.9%)","['H302', 'H315', 'H317', 'H319', 'H332', 'H335', 'H361', 'H361d', 'H400', 'H410', 'H412']","['H315', 'H317', 'H319']"
MIX1058,tox_h_statements,H ;; 3 ;; 1 ;; 7 ;; ; ;;   ;; H ;; 3 ;; 1 ;; 9,H317; H319,"['H317', 'H319']","['H317', 'H319']"
MIX26,tox_h_statements,"H ;; 3 ;; 1 ;; 7 ;; , ;;   ;; H ;; 3 ;; 7 ;; 0 ;; , ;;   ;; H ;; 3 ;; 7 ;; 3 ;; , ;;   ;; H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0","H317, H370, H373, H400, H410","['H317', 'H370', 'H373', 'H400', 'H410']",['H317']
MIX303,tox_h_statements,"H ;; 3 ;; 0 ;; 2 ;; , ;;   ;; H ;; 3 ;; 1 ;; 8 ;; , ;;   ;; H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0","H302, H318, H400, H410","['H302', 'H318', 'H400', 'H410']",['H318']
MIX310,tox_h_statements,"H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0","H400, H410","['H400', 'H410']",[]
MIX315,tox_h_statements,"H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0","H400, H410","['H400', 'H410']",[]
MIX48,tox_h_statements,H ;; 3 ;; 6 ;; 1 ;; f ;; d ;; : ;;   ;; S ;; u ;; s ;; p ;; e ;; c ;; t ;; e ;; d ;;   ;; o ;; f ;;   ;; d ;; a ;; m ;; a ;; g ;; i ;; n ;; g ;;   ;; f ;; e ;; r ;; t ;; i ;; l ;; i ;; t ;; y ;; ; ;;   ;; S ;; u ;; s ;; p ;; e ;; c ;; t ;; e ;; d ;;   ;; o ;; f ;;   ;; d ;; a ;; m ;; a ;; g ;; i ;; n ;; g ;;   ;; t ;; h ;; e ;;   ;; u ;; n ;; b ;; o ;; r ;; n ;;   ;; c ;; h ;; i ;; l ;; d ;;   ;; / ;;   ;; H ;; 3 ;; 6 ;; 2 ;; : ;;   ;; M ;; a ;; y ;;   ;; c ;; a ;; u ;; s ;; e ;;   ;; h ;; a ;; r ;; m ;;   ;; t ;; o ;;   ;; b ;; r ;; e ;; a ;; s ;; t ;; - ;; f ;; e ;; d ;;   ;; c ;; h ;; i ;; l ;; d ;; r ;; e ;; n ;;   ;; / ;;   ;; H ;; 3 ;; 7 ;; 3 ;; : ;;   ;; M ;; a ;; y ;;   ;; c ;; a ;; u ;; s ;; e ;; s ;;   ;; d ;; a ;; m ;; a ;; g ;; e ;;   ;; t ;; o ;;   ;; o ;; r ;; g ;; a ;; n ;; s ;;   ;; t ;; h ;; r ;; o ;; u ;; g ;; h ;;   ;; p ;; r ;; o ;; l ;; o ;; n ;; g ;; e ;; d ;;   ;; o ;; r ;;   ;; r ;; e ;; p ;; e ;; a ;; t ;; e ;; d ;;   ;; e ;; x ;; p ;; o ;; s ;; u ;; r ;; e ;;   ;; / ;;   ;; H ;; 4 ;; 0 ;; 0 ;; : ;;   ;; V ;; e ;; r ;; y ;;   ;; t ;; o ;; x ;; i ;; c ;;   ;; t ;; o ;;   ;; a ;; q ;; u ;; a ;; t ;; i ;; c ;;   ;; l ;; i ;; f ;; e ;;   ;; ( ;; 8 ;; 2 ;; . ;; 6 ;; % ;; ) ;;   ;; / ;;   ;; H ;; 4 ;; 1 ;; 0 ;; : ;;   ;; V ;; e ;; r ;; y ;;   ;; t ;; o ;; x ;; i ;; c ;;   ;; t ;; o ;;   ;; a ;; q ;; u ;; a ;; t ;; i ;; c ;;   ;; l ;; i ;; f ;; e ;;   ;; w ;; i ;; t ;; h ;;   ;; l ;; o ;; n ;; g ;;   ;; l ;; a ;; s ;; t ;; i ;; n ;; g ;;   ;; e ;; f ;; f ;; e ;; c ;; t ;; s ;;   ;; ( ;; 6 ;; 0 ;; . ;; 5 ;; % ;; ),H361fd: Suspected of damaging fertility; Suspected of damaging the unborn child / H362: May cause harm to breast-fed children / H373: May causes damage to organs through prolonged or repeated exposure / H400: Very toxic to aquatic life (82.6%) / H410: Very toxic to aquatic life with long lasting effects (60.5%),"['H361fd', 'H362', 'H373', 'H400', 'H410']",[]
MIX689,tox_h_statements,"H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0","H400, H410","['H400', 'H410']",[]
MIX692,tox_h_statements,"H ;; 3 ;; 1 ;; 8 ;; , ;;   ;; H ;; 4 ;; 1 ;; 1","H318, H411","['H318', 'H411']",['H318']
MIX784,tox_h_statements,"H ;; 3 ;; 1 ;; 5 ;; , ;;   ;; H ;; 3 ;; 1 ;; 9","H315, H319","['H315', 'H319']","['H315', 'H319']"
MIX836,tox_h_statements,"H ;; 2 ;; 7 ;; 2 ;; , ;;   ;; H ;; 3 ;; 0 ;; 2 ;; , ;;   ;; H ;; 3 ;; 1 ;; 4 ;; , ;;   ;; H ;; 3 ;; 1 ;; 5 ;; , ;;   ;; H ;; 3 ;; 1 ;; 7 ;; , ;;   ;; H ;; 3 ;; 1 ;; 9 ;; , ;;   ;; H ;; 3 ;; 3 ;; 4 ;; , ;;   ;; H ;; 3 ;; 3 ;; 5 ;; , ;;   ;; H ;; 4 ;; 0 ;; 0","H272, H302, H314, H315, H317, H319, H334, H335, H400","['H272', 'H302', 'H314', 'H315', 'H317', 'H319', 'H334', 'H335', 'H400']","['H314', 'H315', 'H317', 'H319']"
MIX838,tox_h_statements,"H ;; 4 ;; 0 ;; 0 ;; , ;;   ;; H ;; 4 ;; 1 ;; 0","H400, H410","['H400', 'H410']",[]
MIX839,tox_h_statements,"H ;; 3 ;; 1 ;; 5 ;; , ;;   ;; H ;; 3 ;; 1 ;; 8","H315, H318","['H315', 'H318']","['H315', 'H318']"
