우선순위,endpoint,Formulation_ID,product_name,현재라벨,현재이진,마스크적용,원문URL,URL출처컬럼,로컬보유,doc_source,doc_rel,판정결과(양성/음성/판별불가),H코드,원문근거문장,확인자,확인일
1,eye,MIX7,241-GOL Acrobat MZ WDG Fungicide,NC,0,예,https://www.rfdsafeagri.com/wp-content/uploads/2019/10/Acrobat.pdf,tox_source_url,예,local,ingredient_source_audit/highlighted/0c22b97aa385a2ea_highlighted.pdf,,,,,
1,eye,Cancer_PID_99,Aspirin; Phenacetin; Caffeine,NC,0,예,https://www.elementalmicroanalysis.com/documents/product/sds/PHENACETIN_20240312_EN.pdf,tox_source_url,아니오,url,,,,,,
1,eye,EyeIrritation6pack_PID116,BAS 320 I Pro Fire Ant Bait,NC,0,예,,,아니오,local,ingredient_source_audit/highlighted/65ba622bb02581cf_highlighted.pdf,,,,,
1,eye,MIX1002,Cedarwood oil Atlas,NC,0,예,,,아니오,local,ingredient_source_audit/highlighted/41e679697c8f495a_highlighted.pdf,,,,,
1,eye,MIX1004,Gurjun oil,NC,0,예,,,아니오,local,ingredient_source_audit/highlighted/6b554f569c17112e_highlighted.pdf,,,,,
1,eye,MIX1010,Bitter orange oil,NC,0,예,https://www.chemblink.com/MSDSFiles/5989-27-5Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G062_5989-27-5_ChemBlink_Sigma_highlighted.pdf,,,,,
1,eye,MIX1023,Amyris oil acetylated,NC,0,예,http://www.thegoodscentscompany.com/data/rw1001111.html,p1_source_url,아니오,local,ingredient_source_audit/highlighted/6a9669c7268221b5_highlighted.pdf,,,,,
1,eye,MIX1024,Bay oil,NC,0,예,https://www.praannaturals.com/downloads/msds/SDS_Oil_Sweet_Almond_OILSWALMCPUS614.pdf,tox_source_url,아니오,url,,,,,,
1,eye,MIX1045,Pinus sylvestris oil,NC,0,예,,,아니오,local,ingredient_source_audit/highlighted/a1ebf510abfe0dcc_highlighted.pdf,,,,,
1,eye,MIX1047,Hibawood oil,NC,0,예,https://www.chemblink.com/MSDSFiles/499-44-5Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/77-53-2Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/470-40-6Sigma-Aldrich.pdf | https://www.chemblink.com/MSDSFiles/562-74-3Sigma-Aldrich.pdf,tox_source_url,아니오,local,ingredient_source_audit/ordered_option_runs/highlighted_sources/G061_499-44-5_ChemBlink_Sigma_highlighted.pdf,,,,,
