cas,ingredient_name,충돌내용,팀원A_감작,출처티어,annexVI_항목존재,근거URL,메모,영향_성분행,영향_제형수,기존_cat_sens_ghs,기존_cat_sens_src,CT입력_ing_ghs_sens_비결측,판정,판정근거,적용여부,모델영향
122008-85-9,Cyhalofop-butyl,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,확인 불가,https://pubchem.ncbi.nlm.nih.gov/compound/180089#section=GHS-Classification,CID 180089 | ECHA C&L 통보 존재.,5,5,1,sds_reported,0,보류,Annex VI 표기이나 항목 존재 여부가 메모에서 확인 불가 — 확인 불가,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
123-33-1,Maleic hydrazide,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,확인 불가,https://pubchem.ncbi.nlm.nih.gov/compound/21954#section=GHS-Classification,CID 21954 | ECHA C&L 통보 존재.,4,4,1,sds_reported,0,보류,Annex VI 표기이나 항목 존재 여부가 메모에서 확인 불가 — 확인 불가,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
129909-90-6,RN,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,확인 불가,https://pubchem.ncbi.nlm.nih.gov/compound/153920#section=GHS-Classification,CID 153920 | ECHA C&L 통보 존재.,5,5,1,sds_reported,0,보류,Annex VI 표기이나 항목 존재 여부가 메모에서 확인 불가 — 확인 불가,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
1330-20-7,Xylene,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI 기준 H317/H334 없음),annex_vi,확인 불가,https://pubchem.ncbi.nlm.nih.gov/compound/7237#section=GHS-Classification ; https://pubchem.ncbi.nlm.nih.gov/compound/7809#section=GHS-Classification ; https://pubchem.ncbi.nlm.nih.gov/compound/7929#section=GHS-Classification,"[수동 보완, 2026-08-29] CAS 1330-20-7(자일렌, 이성질체혼합물)은 PubChem에 혼합물 단일 CID가 없어 자동조사 실패했으나, EU는 자일렌을 이성질체 구분없이 단일 조화분류 항목(Index)으로 관리하므로 개별 이성질체 o-(CID 7237)/m-(CID 7929)/p-자일렌(CID 7809) 3종의 EU CLP Annex VI 분류를 직접 대조: 3종 모두 H226/H312/H315/H332로 완전히 동일함을 확인하여 채택. 눈(H318/H319)·감작성(H317/H334) 코드는 3종 모두 없음. ECHA C&L 자가신고 데이터는 별도 미확인.",8,8,1,sds_reported,0,보류,Annex VI 표기이나 항목 존재 여부가 메모에서 확인 불가 — 확인 불가,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
180409-60-3,Cyflufenamid,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,확인 불가,https://pubchem.ncbi.nlm.nih.gov/compound/135515530#section=GHS-Classification,CID 135515530 | ECHA C&L 통보 존재.,2,2,1,sds_reported,0,보류,Annex VI 표기이나 항목 존재 여부가 메모에서 확인 불가 — 확인 불가,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
20193-20-8,"1-Propanamine, N-ethyl-",감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,확인 불가,https://pubchem.ncbi.nlm.nih.gov/compound/88398#section=GHS-Classification,CID 88398 | ECHA C&L 통보 존재.,1,1,1,sds_reported,0,보류,Annex VI 표기이나 항목 존재 여부가 메모에서 확인 불가 — 확인 불가,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
219714-96-2,Penoxsulam,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,확인 불가,https://pubchem.ncbi.nlm.nih.gov/compound/11784975#section=GHS-Classification,CID 11784975 | ECHA C&L 통보 존재.,16,16,1,sds_reported,0,보류,Annex VI 표기이나 항목 존재 여부가 메모에서 확인 불가 — 확인 불가,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
7727-43-1,Barium Sulphate,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,확인 불가,https://pubchem.ncbi.nlm.nih.gov/compound/24414#section=GHS-Classification,"[수동 정정, 사용자 확인, 2026-08-29] 원본 CAS 7727-43-1은 체크섬 오류. 사용자가 원본자료 대조 후 정정 CAS 7727-43-7(Barium Sulphate) 확인. CID 24414 기준 재조사: ECHA C&L 통보 존재하나 H302/H332(급성독성)만 있고 눈/피부/감작 관련 H코드는 없음.",2,2,1,sds_reported,0,보류,Annex VI 표기이나 항목 존재 여부가 메모에서 확인 불가 — 확인 불가,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
7757-82-6,Sodium sulfate max. NA,감작:신규[NC] vs 기존[1B](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,확인 불가,https://pubchem.ncbi.nlm.nih.gov/compound/24436#section=GHS-Classification,CID 24436 | ECHA C&L 통보 존재.,2,2,1B,sds_reported,0,보류,Annex VI 표기이나 항목 존재 여부가 메모에서 확인 불가 — 확인 불가,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
79277-67-1,Thifensulfuron,감작:신규[NC] vs 기존[1B](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,확인 불가,https://pubchem.ncbi.nlm.nih.gov/compound/91729#section=GHS-Classification,CID 91729 | ECHA C&L 통보 존재.,5,5,1B,sds_reported,0,보류,Annex VI 표기이나 항목 존재 여부가 메모에서 확인 불가 — 확인 불가,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
81335-77-5,Imazethapyr,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,확인 불가,https://pubchem.ncbi.nlm.nih.gov/compound/54740#section=GHS-Classification,CID 54740 | ECHA C&L 통보 존재.,5,5,1,sds_reported,0,보류,Annex VI 표기이나 항목 존재 여부가 메모에서 확인 불가 — 확인 불가,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
104206-82-8,"Mesotrione 2-[4-(methylsulfonyl)-2-nitrobenzoyl]-1,3-cyclohexanedione",감작:신규[NC] vs 기존[1;1B](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/175967#section=GHS-Classification,"CID 175967 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",15,15,1;1B,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
107534-96-3,Tebuconazole,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/86102#section=GHS-Classification,"CID 86102 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",58,58,1,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
119446-68-3,Difenoconazole,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/86173#section=GHS-Classification,"CID 86173 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",8,8,1,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
131341-86-1,Fludioxonil,감작:신규[NC] vs 기존[1B](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/86398#section=GHS-Classification,"CID 86398 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",32,32,1B,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
1314-13-2,zinc oxide - <20,감작:신규[NC] vs 기존[1B](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/3007857#section=GHS-Classification,"CID 3007857 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",3,3,1B,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
131860-33-8,Azoxystrobin 50 NA NA NA NA,감작:신규[NC] vs 기존[1B](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/3034285#section=GHS-Classification,"CID 3034285 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",22,22,1B,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
148-79-8,Thiabendazole,감작:신규[NC] vs 기존[1B](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/5430#section=GHS-Classification,"CID 5430 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",9,9,1B,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
175013-18-0,Pyraclostrobin,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/6422843#section=GHS-Classification,"CID 6422843 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",16,16,1,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
178928-70-6,Prothioconazole,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/6451142#section=GHS-Classification,"CID 6451142 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",9,9,1,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
1982-69-0,Sodium dicamba,감작:신규[NC] vs 기존[1B](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/23680611#section=GHS-Classification,"CID 23680611 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",3,3,1B,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
30560-19-1,Acephate,감작:신규[NC] vs 기존[1B](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/1982#section=GHS-Classification,"CID 1982 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",8,8,1B,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
35554-44-0,Imazalil,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/37175#section=GHS-Classification,"CID 37175 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",10,10,1,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
494793-67-8,Penflufen,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/11674113#section=GHS-Classification,"CID 11674113 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",14,14,1,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
68359-37-5,Cyfluthrin,감작:신규[NC] vs 기존[1](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/104926#section=GHS-Classification,"CID 104926 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",11,11,1,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
70630-17-0,Metalaxyl-M,감작:신규[NC] vs 기존[1B](sens_ghs),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,존재,https://pubchem.ncbi.nlm.nih.gov/compound/11150163#section=GHS-Classification,"CID 11150163 | EU CLP Annex VI 존재, ECHA C&L 통보 존재.",21,21,1B,sds_reported,0,정정후보(원문확인 필요),메모상 조화분류 항목이 존재하고 그 안에 감작 분류가 없음. 단 근거URL이 PubChem 미러이고 ECHA Annex VI 원문 미확인이므로 적용 전 원문 대조 필수 — 미러가 항목의 일부만 반영할 수 있다,미적용 — 본 장부는 기록용이며 어떤 라벨도 덮어쓰지 않았다,"없음 — cat_sens_* 는 LABEL_SOURCE(build_input_v5.py:1479-1480), CT 입력 ing_ghs_sens 비결측 0"
