측정,결측처리,endpoint,관할,n,유병률,ROC_AUC,AUC_sd,MCC,BA,ΔAUC_vs_UN,sd_paired,t_df4,시드양수,ΔAUC_CT권고_vs_A0
M1_공통행_CT_A0,nan0,sens,UN_GHS,716,0.5321,0.6969,0.0135,0.2982,0.6491,,,,,
M1_공통행_CT_A0,nan0,sens,EU_CLP,716,0.5321,0.6969,0.0135,0.2982,0.6491,0.0,0.0,,0.0,
M1_공통행_CT_A0,nan0,sens,K_REACH,716,0.5321,0.6969,0.0135,0.2982,0.6491,0.0,0.0,,0.0,
M1_공통행_CT_A0,nan0,sens,US_OSHA,716,0.5321,0.6969,0.0135,0.2982,0.6491,0.0,0.0,,0.0,
M1_공통행_CT_A0,native,sens,UN_GHS,716,0.5321,0.7067,0.0108,0.3285,0.6644,,,,,
M1_공통행_CT_A0,native,sens,EU_CLP,716,0.5321,0.7067,0.0108,0.3285,0.6644,0.0,0.0,,0.0,
M1_공통행_CT_A0,native,sens,K_REACH,716,0.5321,0.7067,0.0108,0.3285,0.6644,0.0,0.0,,0.0,
M1_공통행_CT_A0,native,sens,US_OSHA,716,0.5321,0.7067,0.0108,0.3285,0.6644,0.0,0.0,,0.0,
M2_관할행_CT_A0,nan0,sens,UN_GHS,716,0.5321,0.6969,0.0135,0.2982,0.6491,,,,,
M2_관할행_CT_권고,nan0,sens,UN_GHS,716,0.5321,0.7333,0.005,0.3591,0.6797,,,8.74,,0.0364
M2_관할행_CT_A0,native,sens,UN_GHS,716,0.5321,0.7067,0.0108,0.3285,0.6644,,,,,
M2_관할행_CT_권고,native,sens,UN_GHS,716,0.5321,0.7558,0.0059,0.3948,0.6976,,,20.63,,0.0491
M2_관할행_CT_A0,nan0,sens,EU_CLP,716,0.5321,0.6969,0.0135,0.2982,0.6491,,,,,
M2_관할행_CT_권고,nan0,sens,EU_CLP,716,0.5321,0.7333,0.005,0.3591,0.6797,,,8.74,,0.0364
M2_관할행_CT_A0,native,sens,EU_CLP,716,0.5321,0.7067,0.0108,0.3285,0.6644,,,,,
M2_관할행_CT_권고,native,sens,EU_CLP,716,0.5321,0.7558,0.0059,0.3948,0.6976,,,20.63,,0.0491
M2_관할행_CT_A0,nan0,sens,K_REACH,716,0.5321,0.6969,0.0135,0.2982,0.6491,,,,,
M2_관할행_CT_권고,nan0,sens,K_REACH,716,0.5321,0.7333,0.005,0.3591,0.6797,,,8.74,,0.0364
M2_관할행_CT_A0,native,sens,K_REACH,716,0.5321,0.7067,0.0108,0.3285,0.6644,,,,,
M2_관할행_CT_권고,native,sens,K_REACH,716,0.5321,0.7558,0.0059,0.3948,0.6976,,,20.63,,0.0491
M2_관할행_CT_A0,nan0,sens,US_OSHA,716,0.5321,0.6969,0.0135,0.2982,0.6491,,,,,
M2_관할행_CT_권고,nan0,sens,US_OSHA,716,0.5321,0.7333,0.005,0.3591,0.6797,,,8.74,,0.0364
M2_관할행_CT_A0,native,sens,US_OSHA,716,0.5321,0.7067,0.0108,0.3285,0.6644,,,,,
M2_관할행_CT_권고,native,sens,US_OSHA,716,0.5321,0.7558,0.0059,0.3948,0.6976,,,20.63,,0.0491
