단위,열,정보원,n행,결측,0,고유값수,최소,최대,0_무조성,0_무구조,임퓨트된0,결측플래그열_있음
제형,ct_eye_ord,판정제외,1675,901,612,3,0.0,3.0,79.0,11,0,1
제형,ct_not_applicable,판정제외,1675,0,1649,2,0.0,1.0,281.0,224,0,0
제형,ct_sens_ord,판정제외,1675,899,596,2,0.0,1.0,80.0,8,0,1
제형,ct_skin_ord,판정제외,1675,900,659,3,0.0,4.0,79.0,9,0,1
제형,f_BertzCT_max,무구조,1675,225,18,344,0.0,8431.087743,4.0,0,0,1
제형,f_BertzCT_mean,무구조,1675,225,18,698,0.0,3922.139654,4.0,0,0,1
제형,f_BertzCT_min,무구조,1675,225,78,360,0.0,3922.139654,9.0,0,0,1
제형,f_BertzCT_range,무구조,1675,225,567,473,0.0,8404.068193,116.0,0,0,1
제형,f_BertzCT_std,무구조,1675,225,567,507,0.0,3833.830443,116.0,0,0,1
제형,f_BertzCT_wmean,무구조,1675,419,14,687,0.0,3922.139654,0.0,0,0,1
제형,f_FractionCSP3_max,무구조,1675,225,84,101,0.0,1.0,19.0,0,0,1
제형,f_FractionCSP3_mean,무구조,1675,225,84,433,0.0,1.0,19.0,0,0,1
제형,f_FractionCSP3_min,무구조,1675,225,414,91,0.0,1.0,39.0,0,0,1
제형,f_FractionCSP3_range,무구조,1675,225,613,221,0.0,1.0,128.0,0,0,1
제형,f_FractionCSP3_std,무구조,1675,225,613,409,0.0,0.5,128.0,0,0,1
제형,f_FractionCSP3_wmean,무구조,1675,419,76,509,0.0,1.0,0.0,0,0,1
제형,f_HallKierAlpha_max,무구조,1675,225,20,309,-4.62,12.66,1.0,0,0,1
제형,f_HallKierAlpha_mean,무구조,1675,225,1,641,-4.62,2.372468,1.0,0,0,1
제형,f_HallKierAlpha_min,무구조,1675,225,1,292,-5.240519,2.372468,1.0,0,0,1
제형,f_HallKierAlpha_range,무구조,1675,225,585,411,0.0,15.69,124.0,0,0,1
제형,f_HallKierAlpha_std,무구조,1675,225,583,479,0.0,5.547634,123.0,0,0,1
제형,f_HallKierAlpha_wmean,무구조,1675,419,0,662,-4.62,2.02,0.0,0,0,1
제형,f_Kappa2_max,무구조,1675,225,1,376,-27.04,760.107715,1.0,0,0,1
제형,f_Kappa2_mean,무구조,1675,225,1,694,-27.04,325.131877,1.0,0,0,1
제형,f_Kappa2_min,무구조,1675,225,4,349,-27.04,40.397551,1.0,0,0,1
제형,f_Kappa2_range,무구조,1675,225,570,465,0.0,787.147715,118.0,0,0,1
제형,f_Kappa2_std,무구조,1675,225,570,499,0.0,332.285683,118.0,0,0,1
제형,f_Kappa2_wmean,무구조,1675,419,0,682,-25.481199,81.19261,0.0,0,0,1
제형,f_LabuteASA_max,무구조,1675,225,0,382,6.849231,726.431326,0.0,0,0,1
제형,f_LabuteASA_mean,무구조,1675,225,0,714,6.849231,726.431326,0.0,0,0,1
제형,f_LabuteASA_min,무구조,1675,225,0,397,6.097141,726.431326,0.0,0,0,1
제형,f_LabuteASA_range,무구조,1675,225,566,473,0.0,712.897841,118.0,0,0,1
제형,f_LabuteASA_std,무구조,1675,225,566,506,0.0,318.878178,118.0,0,0,1
