endpoint,물질키,값들,출처들,채택,성분행수
eye,ZXQYGBMAQZUVMI,2 | NC,phase1 | 팀원A,2,39
eye,XDDAORKBJWWYJS,1 | NC,phase1,1,34
eye,ZQEIXNIJLIKNTD,NC | 1,팀원A,1,50
eye,VYPSYNLAJGMNEJ,NC | 2,phase1 | 팀원A,2,32
eye,CDBYLPFSWZWCQE,2A | 1,phase1,1,5
eye,XMGQYMWWDOXHJM,NC | 2A,phase1,2A,17
skin,ZXQYGBMAQZUVMI,NC | 2,phase1 | 팀원A,2,39
skin,XDDAORKBJWWYJS,NC | 2,phase1,2,34
skin,QTBSBXVTEAMEQO,1B | 1,phase1,1,10
skin,WNTGYJSOUMFZEP,2 | NC,phase1 | 팀원A,2,10
skin,VYPSYNLAJGMNEJ,NC | 2,phase1 | 팀원A,2,32
skin,CDBYLPFSWZWCQE,NC | 2,phase1,2,5
skin,QAOWNCQODCNURD,1 | 1A,phase1,1,8
