물질키_InChIKey14,Murcko골격,eye_구분,eye_출처,skin_구분,skin_출처,대표성분명,대표CAS,대표SMILES,등장제형수
AAEVYOVXGOFMJO,c1ncncn1,NC,팀원A,NC,팀원A,Prometryn,7287-19-6,CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,2
AAPLYDDEQVREDC,C1=CCCC1,,,,,"2-Methyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-4-penten-1-ol",,CC1=CCC(C/C=C(\C)C=O)C1(C)C,1
ACMXQHFNODYQAT,O=C(Cc1ccccc1)NC(=NOCC1CC1)c1ccccc1,NC,팀원A,NC,팀원A,Cyflufenamid,180409-60-3,FC1=C(F)C(C(NC(=O)CC2=CC=CC=C2)=NOCC2CC2)=C(C=C1)C(F)(F)F,2
ADIDQIZBYUABQK,C1CCC2=C(CC1)CCC2,2A,phase1,2,phase1,alpha-Guaiene,,C=C(C)[C@@H]1CC[C@H](C)C2=C(C1)[C@@H](C)CC2,2
AEHJMNVBLRLZKK,c1ccc(OCCCOc2ccccn2)cc1,,,,,Synonyms : Pyridalyl,179101-81-6,FC(F)(F)c1ccc(OCCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)nc1,2
AEMRFAOFKBGASW,__ACYCLIC__,1,팀원A,1,팀원A,"Acetic acid, hydroxy- Glycolic Acid",79-14-1,O=C(O)CO,2
AFFLGGQVNFXPEV,__ACYCLIC__,,,,,"Synonyms : 1-Decene,decene",872-05-9,C=CCCCCCCCC,2
AFSHKCWTGFDXJR,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(C=CCCO1)C2,,,,,Abamectin (Avermectin B1a/B1b mixture) - 요청된 Avermectin A1a와 불일치,65195-51-9,[H][C@@]12OCC3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)C(C)=CC[C@]4([H])C[C@@]([H])(C[C@]5(O4)O[C@]([H])([C@@H](C)CC)[C@@H](C)C=C5)OC(=O)[C@]([H])(C=C(C)[C@H]1OC)[C@@]23O,1
AHTPATJNIAFOLR,O=C(Nc1ncncn1)NS(=O)(=O)c1ccsc1,NC,팀원A,NC,팀원A,Thifensulfuron methyl,79277-27-3,COC(=O)C1=C(C=CS1)S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1,6
AISADLWIINCFJS,C1=CCCCC1,NC,phase1,NC,phase1,"3-Butenal, 2-methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-",,CC1=CCCC(C)(C)C1C=CC(C)C=O,1
AJXHXSKQHBJNPB,c1ccc(OCCOCCOc2ccccc2)cc1,,,,,RN,104104-12-3,COc1ccc(OCCOCCOc2ccc(OC)cc2)cc1,2
AMSPWOYQQAWRRM,O=C(c1ccccc1)c1ccccc1,,,,,Metrafenone,220899-03-6,COc1cc(C)c(C(=O)c2c(OC)ccc(Br)c2C)c(OC)c1OC,2
APSBXTVYXVQYAB,__ACYCLIC__,,,,,Docusate sodium,577-11-7,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],2
APTZNLHMIGJTEW,c1ccc(-c2cc[nH]n2)cc1,NC,phase1,NC,phase1,Pyraflufen-ethyl,129630-19-9,CCOC(=O)COC1=C(Cl)C=C(F)C(=C1)C1=NN(C)C(OC(F)F)=C1Cl,7
ARUVKPQLZAKDPS,__ACYCLIC__,,,,,Copper sulfate,7758-98-7,O=S(=O)([O-])[O-].[Cu+2],2
ARXJGSRGQADJSQ,__ACYCLIC__,NC,팀원A,NC,팀원A,203-539-1 1-Methoxy-2-propanol -; R10-67,107-98-2,COCC(C)O,6
ASEFUFIKYOCPIJ,__ACYCLIC__,1,팀원A,2,팀원A,"Dodecanol, ethoxylated, monoether with sulfuric acid, sodium salt",9004-82-4,[Na+].CCCCCCCCCCCCOCCOS([O-])(=O)=O,1
ATUOYWHBWRKTHZ,__ACYCLIC__,NC,팀원A,NC,팀원A,PROPANE 2.5-10.0,74-98-6,CCC,7
AUHZEENZYGFFBQ,c1ccccc1,,,,,Mesitylene,,Cc1cc(C)cc(C)c1,4
AVWQQPYHYQKEIZ,c1ccccc1.c1ccccc1.c1ccccc1,1,팀원A,2,팀원A,Sodium tetrapropylenebenzenesulfonate,11067-82-6,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.CCCCCCCCCCCCc1cccc(S(=O)(=O)[O-])c1.CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Na+].[Na+].[Na+],1
AXISYYRBXTVTFY,__ACYCLIC__,,,,,Isopropyl Myristate 30.00,110-27-0,CCCCCCCCCCCCCC(=O)OC(C)C,2
BASFCYQUMIYNBI,__ACYCLIC__,,,,,mol,7440-06-4,[Pt],2
BEGLCMHJXHIJLR,O=c1ccs[nH]1,1,phase1,1,phase1,Methylisothiazolinone,2682-20-4,Cn1sccc1=O,22
BERDEBHAJNAUOM,__ACYCLIC__,1,phase1,NC,phase1,dicopper oxide - <50,1317-39-1,[Cu].[O]=[Cu],2
BFNBIHQBYMNNAN,__ACYCLIC__,,,,,Ammonium Sulfate,7783-20-2,O=S(=O)([O-])[O-].[NH4+].[NH4+],10
BFWMWWXRWVJXSE,c1cc[c]([SnH]([c]2ccccc2)[c]2ccccc2)cc1,1,팀원A,2,팀원A,Triphenyltin hydroxide,76-87-9,O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,2
BGRDGMRNKXEXQD,O=c1ccc(=O)[nH][nH]1,2,팀원A,2,팀원A,Maleic hydrazide,123-33-1,O=C1NNC(=O)C=C1,4
BHZWBQPHPLFZSV,c1ccccc1,,,,,Bromoxynil heptanoate,,CCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,2
BIRIWMCVLVTZND,c1ccc(Cc2cc(Cc3ccccc3)cc(Cc3ccccc3)c2)cc1,,,,,"Polyarylphenylether sulfate, ammonium salt",119432-41-6,CC(c1ccccc1)c1cc(C(C)c2ccccc2)c(OCCOS(=O)(=O)O)c(C(C)c2ccccc2)c1.N,2
BJQHLKABXJIVAM,c1ccccc1,NC,팀원A,NC,팀원A,Di(-ethylhexyl)phthalate (DEHP,117-81-7,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,2
BLFLLBZGZJTVJG,c1ccccc1,NC,팀원A,NC,팀원A,Benzocaine,94-09-7,CCOC(=O)c1ccc(N)cc1,2
BNIILDVGGAEEIG,__ACYCLIC__,,,,,Disodium phosphate,,O=P([O-])([O-])O.[Na+].[Na+],3
BPRJQFIHEGORJE,__ACYCLIC__,,,,,Dipropylene glycol,,CC(CO)OC(C)CO.CC(O)COCC(C)O,2
BQOFWKZOCNGFEC,C1=CCC2CC2C1,,,,,3-Carene,,CC1=CCC2C(C1)C2(C)C,2
BQYJATMQXGBDHF,c1ccc(Oc2ccc(C3(Cn4cncn4)OCCO3)cc2)cc1,2,팀원A,NC,팀원A,Difenoconazole,119446-68-3,CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1,8
BRHDDEIRQPDPMG,C1CCOC1,,,,,"Linalool, oxide",,C=CC1(C)CCC(C(C)(C)O)O1,1
BSYNRYMUTXBXSQ,c1ccccc1,,,,,Aspirin,,CC(=O)Oc1ccccc1C(=O)O,1
BSYVTEYKTMYBMK,C1CCOC1,,,,,Tetrahydrofurfuryl alcohol 30,97-99-4,OCC1CCCO1,3
BTTRMCQEPDPCPA,O=C1OC(=O)c2ccccc21,,,,,"Additional Information – Contains trace amounts of Hexachlorobenzene, (CAS#",118-45-6,O=C1OC(=O)c2cc(Cl)ccc21,1
BUHKXMOJBRUCDJ,__ACYCLIC__,,,,,"Sulfuric acid, mono-C10-16-alkyl esters, sodium salts <",68585-47-7,C.CCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],2
BXGVVQADPFXGHD,C1=C2CCCCC2CCCC1,,,,,Widdrol,,CC1(C)CCC[C@@]2(C)CC[C@](C)(O)CC=C12,1
BXNANOICGRISHX,O=c1ccc2ccccc2o1,NC,팀원A,NC,팀원A,Coumaphos,56-72-4,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2,12
BXTIAIHRXRNRNY,c1ccccc1,,,,,Ethofumesate carboxylic acid,572912-13-1,CC(C)(C(=O)O)c1cc(OS(C)(=O)=O)ccc1O,1
BXZVVICBKDXVGW,O=c1[nH]cnc2c1ncn2C1CCCO1,,,,,"2',3'-Dideoxyinosine",,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,1
BYEAHWXPCBROCE,__ACYCLIC__,1,팀원A,1,팀원A,"1,1,1,3,3,3-Hexafluoro-2-propanol",920-66-1,OC(C(F)(F)F)C(F)(F)F,1
CASLETQIYIQFTQ,O=S(=O)(Cc1cn[nH]c1)C1=NOCC1,NC,팀원A,NC,팀원A,Pyroxasulfone,447399-55-5,CN1N=C(C(CS(=O)(=O)C2=NOC(C)(C)C2)=C1OC(F)F)C(F)(F)F,4
CBTVGIZVANVGBH,__ACYCLIC__,,,,,2-Amino-2-methyl-1-propanol,,CC(C)(N)CO,2
CDBYLPFSWZWCQE,__ACYCLIC__,1,phase1,2,phase1,sodium carbonate >= 1 - <,497-19-8,O=C([O-])[O-].[Na+].[Na+],5
CDOSHBSSFJOMGT,__ACYCLIC__,2A,phase1,2,phase1,Linalool,,C=CC(C)(O)CCC=C(C)C,10
CFSRLACKBAWQFO,C1=CC2(CCC1)CCCC2,,,,,"4-Penten-1-one, 1-spiro[4.5]dec-6-en-7-yl-",224031-71-4,C=CCCC(=O)C1=CC2(CCCC2)CCC1,1
CHHHXKFHOYLYRE,__ACYCLIC__,2A,phase1,NC,phase1,Potassium Sorbate,,C/C=C/C=C/C(=O)[O-].[K+],1
CHIFOSRWCNZCFN,c1ccccc1,NC,팀원A,NC,팀원A,Pendimethalin,40487-42-1,CCC(CC)NC1=C(C=C(C)C(C)=C1[N+]([O-])=O)[N+]([O-])=O,5
CHNQZRKUZPNOOH,__ACYCLIC__,NC,phase1,NC,phase1,Mancozeb,8018-01-7,[Mn++].[Zn++].[S-]C(=S)NCCNC([S-])=S.[S-]C(=S)NCCNC([S-])=S,10
CKAPSXZOOQJIBF,c1ccccc1,,,,,Hexachlorobenzene,,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2
CLSVJBIHYWPGQY,O=C1NC2(C=C1c1ccccc1)CCCCC2,,,,,"3-(2,5-Dimethylphenyl)-8-methoxy-2-oxo-1-azaspiro(4.5)dec-3-en-4-yl ethyl carbonate",203313-25-1,CCOC(=O)OC1=C(c2cc(C)ccc2C)C(=O)NC12CCC(OC)CC2,4
COYBRKAVBMYYSF,c1ccc2ncccc2c1,2A,phase1,NC,phase1,Cloquintocet-mexyl,,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,1
CPJSUEIXXCENMM,c1ccccc1,NC,phase1,NC,phase1,Phenacetin,,CCOc1ccc(NC(C)=O)cc1,1
CRDAMVZIKSXKFV,__ACYCLIC__,2A,phase1,2,phase1,Farnesol,4602-84-0,CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,2
CRPUJAZIXJMDBK,C=C1CC2CCC1C2,2A,phase1,NC,phase1,Camphene,,C=C1C2CCC(C2)C1(C)C,7
CRQQGFGUEAVUIL,c1ccccc1,1,팀원A,NC,팀원A,Chlorothalonil,1897-45-6,ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,38
CTQNGGLPUBDAKN,c1ccccc1,,,,,Xylene,,Cc1ccccc1C,3
CURLTUGMZLYLDI,__ACYCLIC__,,,,,Carbon dioxide 1.00,124-38-9,O=C=O,2
CWBIFDGMOSWLRQ,__ACYCLIC__,,,,,Chrysotile,12001-29-5,O.[Mg+2].[Mg+2].[Mg+2].[O-][Si]([O-])([O-])O.[O-][Si]([O-])([O-])O,1
CWFOCCVIPCEQCK,c1ccc(-c2ccc[nH]2)cc1,NC,phase1,NC,phase1,Chlorfenapyr,122453-73-0,CCOCN1C(=C(C#N)C(Br)=C1C(F)(F)F)C1=CC=C(Cl)C=C1,3
CWGATOJEFAKFBK,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(CCCCO1)C2,,,,,Avermectin B2a,65195-57-5,[H][C@@]12OCC3=C/C=C/[C@H](C)[C@H](O[C@@]4([H])C[C@H](OC)[C@@H](O[C@@]5([H])C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)C(C)=CC[C@]4([H])C[C@@]([H])(C[C@]5(C[C@H](O)[C@H](C)[C@]([H])(O5)[C@@H](C)CC)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,1
CWKFPEBMTGKLKX,O=C(Nc1ccccc1)c1cccc(Oc2ccccc2)n1,,,,,Picolinafen,,O=C(Nc1ccc(F)cc1)c1cccc(Oc2cccc(C(F)(F)F)c2)n1,1
CXBMCYHAMVGWJQ,O=C(OCN1C(=O)C2=C(CCCC2)C1=O)C1CC1,NC,팀원A,NC,팀원A,Tetramethrin,7696-12-0,CC(C)=CC1C(C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,2
