대표,단위,endpoint,관할,피처,결측처리,CT,n,양성,유병률,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1_pos,f1_pos_sd,f1_neg,f1_macro,precision,recall,specificity,MCC,BA,accuracy,tp,fp,fn,tn,F1_최적임계값_참고_seed4,최적임계값_참고_seed4,f1_neg_sd,f1_macro_sd,precision_sd,recall_sd,specificity_sd,MCC_sd,BA_sd,accuracy_sd,골격그룹수
0,성분,eye,UN_GHS+K_REACH+US_OSHA,구조,nan0,해당없음,398,177,0.4447,0.7557,0.0067,0.7086,0.0121,0.6794,0.0109,0.7547,0.7171,0.698,0.6621,0.7701,0.4351,0.7161,0.7221,117.2,50.8,59.8,170.2,0.7244,0.436,0.0121,0.011,0.0175,0.0135,0.0201,0.0223,0.0107,0.0113,168
0,성분,eye,UN_GHS+K_REACH+US_OSHA,구조+지문,nan0,해당없음,398,177,0.4447,0.7554,0.0065,0.7065,0.0025,0.6816,0.0175,0.7502,0.7159,0.6893,0.6746,0.7566,0.4323,0.7156,0.7201,119.4,53.8,57.6,167.2,0.7243,0.48,0.0061,0.0117,0.0054,0.0306,0.0067,0.0235,0.0126,0.0106,168
0,성분,eye,UN_GHS+K_REACH+US_OSHA,구조,native,해당없음,398,177,0.4447,0.7537,0.006,0.7045,0.0107,0.674,0.0049,0.7508,0.7124,0.6929,0.6565,0.7665,0.4259,0.7115,0.7176,116.2,51.6,60.8,169.4,0.7154,0.425,0.0097,0.0069,0.0149,0.0093,0.0191,0.0145,0.0064,0.0077,168
1,성분,eye,UN_GHS+K_REACH+US_OSHA,구조+지문,native,해당없음,398,177,0.4447,0.7543,0.0072,0.7033,0.0048,0.6826,0.021,0.7544,0.7185,0.6958,0.6701,0.7656,0.4376,0.7178,0.7231,118.6,51.8,58.4,169.2,0.7278,0.476,0.0107,0.0157,0.0123,0.0298,0.0059,0.031,0.0161,0.0147,168
0,성분,eye,EU_CLP,구조,nan0,해당없음,338,116,0.3432,0.801,0.004,0.676,0.0121,0.6392,0.0159,0.8205,0.7299,0.6614,0.619,0.8342,0.4609,0.7266,0.7604,71.8,36.8,44.2,185.2,0.6912,0.356,0.0069,0.0106,0.0156,0.0254,0.0133,0.0206,0.0111,0.0089,153
0,성분,eye,EU_CLP,구조+지문,nan0,해당없음,338,116,0.3432,0.8024,0.004,0.6713,0.0083,0.6137,0.0129,0.8206,0.7172,0.6688,0.5672,0.8532,0.4394,0.7102,0.755,65.8,32.6,50.2,189.4,0.6939,0.297,0.005,0.0084,0.0124,0.0187,0.0088,0.0163,0.0086,0.0067,153
0,성분,eye,EU_CLP,구조,native,해당없음,338,116,0.3432,0.8013,0.0041,0.672,0.0074,0.6418,0.0155,0.8252,0.7335,0.6729,0.6138,0.8441,0.4689,0.729,0.7651,71.2,34.6,44.8,187.4,0.6923,0.373,0.0034,0.0092,0.0065,0.0261,0.0068,0.0172,0.0106,0.0061,153
0,성분,eye,EU_CLP,구조+지문,native,해당없음,338,116,0.3432,0.804,0.0064,0.6714,0.0125,0.6193,0.0106,0.8232,0.7213,0.6749,0.5724,0.8559,0.4476,0.7141,0.7586,66.4,32.0,49.6,190.0,0.6947,0.325,0.0039,0.0068,0.01,0.0157,0.0071,0.0131,0.0071,0.0054,153
0,성분,skin,UN_GHS+EU_CLP+K_REACH+US_OSHA,구조,nan0,해당없음,398,127,0.3191,0.7584,0.0047,0.5445,0.0103,0.5378,0.0297,0.8053,0.6715,0.5822,0.5008,0.8317,0.3474,0.6663,0.7261,63.6,45.6,63.4,225.4,0.6364,0.385,0.0065,0.017,0.0177,0.0448,0.0142,0.032,0.0183,0.0105,168
0,성분,skin,UN_GHS+EU_CLP+K_REACH+US_OSHA,구조+지문,nan0,해당없음,398,127,0.3191,0.7762,0.0041,0.5655,0.0094,0.5683,0.0236,0.8141,0.6912,0.6048,0.537,0.8354,0.3854,0.6862,0.7402,68.2,44.6,58.8,226.4,0.6498,0.313,0.0064,0.0135,0.015,0.0391,0.0153,0.0253,0.0152,0.009,168
0,성분,skin,UN_GHS+EU_CLP+K_REACH+US_OSHA,구조,native,해당없음,398,127,0.3191,0.7586,0.0044,0.5458,0.0088,0.5495,0.0283,0.8068,0.6782,0.5862,0.5181,0.8288,0.3593,0.6734,0.7296,65.8,46.4,61.2,224.6,0.6411,0.384,0.0064,0.0165,0.0161,0.0418,0.0118,0.0312,0.0178,0.0105,168
1,성분,skin,UN_GHS+EU_CLP+K_REACH+US_OSHA,구조+지문,native,해당없음,398,127,0.3191,0.7746,0.0045,0.5634,0.0102,0.5762,0.0299,0.8162,0.6962,0.6091,0.548,0.8354,0.3951,0.6917,0.7437,69.6,44.6,57.4,226.4,0.6429,0.319,0.004,0.0166,0.0092,0.049,0.0118,0.0307,0.0193,0.0089,168
