endpoint,대조군,관할,n,유병률,A0_채움_성분행,성분커버리지,CT판정행,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,MCC,MCC_sd,BA,BA_sd,재현율,재현율_sd,특이도,특이도_sd,roc_auc_보정,roc_auc_보정_sd,tau_평균
eye,반영전,EU_CLP,1044,0.3697,0,0.3301,982,0.7265,0.01,0.6251,0.0119,0.3422,0.0161,0.6738,0.0075,0.6233,0.013,0.7243,0.0198,0.658,0.011,0.4909
eye,반영후,EU_CLP,1044,0.3697,0,0.3516,1027,0.7261,0.0069,0.6247,0.0111,0.3519,0.009,0.6794,0.005,0.6399,0.0245,0.7188,0.02,0.6532,0.0076,0.4847
eye,반영후_NC유지,EU_CLP,1044,0.3697,0,0.5934,1397,0.7334,0.0054,0.6268,0.009,0.3415,0.0164,0.6739,0.0074,0.6311,0.0178,0.7167,0.0274,0.6629,0.0095,0.4861
eye,A0채움_전체,EU_CLP,1044,0.3697,1632,0.5671,1368,0.7285,0.0063,0.6226,0.0115,0.3439,0.0143,0.6758,0.0066,0.643,0.0138,0.7085,0.0233,0.6549,0.0104,0.4779
eye,A0채움_유해만,EU_CLP,1044,0.3697,524,0.3516,1027,0.7261,0.0069,0.6247,0.0111,0.3519,0.009,0.6794,0.005,0.6399,0.0245,0.7188,0.02,0.6532,0.0076,0.4847
eye,A0채움_tier표기_annexvi,EU_CLP,1044,0.3697,1067,0.5062,1300,0.7348,0.0035,0.6246,0.0077,0.3433,0.012,0.675,0.0049,0.6378,0.0296,0.7122,0.033,0.6629,0.0083,0.4762
skin,반영전,EU_CLP,1059,0.3362,0,0.2963,900,0.7015,0.0023,0.5241,0.0093,0.2797,0.0091,0.6465,0.0045,0.6287,0.0338,0.6643,0.033,0.647,0.0034,0.4455
skin,반영후,EU_CLP,1059,0.3362,0,0.3156,941,0.7054,0.0039,0.5239,0.0132,0.2742,0.0142,0.6436,0.0072,0.6258,0.0321,0.6615,0.032,0.6497,0.0053,0.4421
skin,반영후_NC유지,EU_CLP,1059,0.3362,0,0.5976,1399,0.7125,0.0033,0.5317,0.0112,0.3151,0.0158,0.6657,0.0083,0.6674,0.0244,0.664,0.0218,0.652,0.0015,0.432
skin,A0채움_전체,EU_CLP,1059,0.3362,1660,0.5649,1367,0.7107,0.0037,0.5297,0.0115,0.299,0.0164,0.6577,0.0086,0.6719,0.0201,0.6435,0.0194,0.652,0.0044,0.4228
skin,A0채움_유해만,EU_CLP,1059,0.3362,360,0.3156,941,0.7054,0.0039,0.5239,0.0132,0.2742,0.0142,0.6436,0.0072,0.6258,0.0321,0.6615,0.032,0.6497,0.0053,0.4421
skin,A0채움_tier표기_annexvi,EU_CLP,1059,0.3362,1144,0.4982,1293,0.7089,0.0007,0.5275,0.0075,0.2996,0.0113,0.6583,0.006,0.6983,0.0306,0.6182,0.0304,0.6527,0.0015,0.4031
