endpoint,대조,지표,기준,대조군,차이,잡음범위_대응차SD2배,판정
eye,반영후 vs 반영전,roc_auc,0.7265,0.7261,-0.000399,0.008642,시드 재현 범위 안 — 변화 없음
eye,반영후 vs 반영전,roc_auc_보정,0.658,0.6532,-0.004845,0.009679,시드 재현 범위 안 — 변화 없음
eye,반영후 vs 반영전,MCC,0.3422,0.3519,0.009707,0.024866,시드 재현 범위 안 — 변화 없음
eye,반영후 vs 반영전,BA,0.6738,0.6794,0.005555,0.009144,시드 재현 범위 안 — 변화 없음
eye,반영후_NC유지 vs 반영후,roc_auc,0.7261,0.7334,0.007307,0.0084,시드 재현 범위 안 — 변화 없음
eye,반영후_NC유지 vs 반영후,roc_auc_보정,0.6532,0.6629,0.009703,0.012007,시드 재현 범위 안 — 변화 없음
eye,반영후_NC유지 vs 반영후,MCC,0.3519,0.3415,-0.010353,0.029534,시드 재현 범위 안 — 변화 없음
eye,반영후_NC유지 vs 반영후,BA,0.6794,0.6739,-0.005468,0.014346,시드 재현 범위 안 — 변화 없음
eye,A0채움_전체 vs 반영후,roc_auc,0.7261,0.7285,0.002395,0.009252,시드 재현 범위 안 — 변화 없음
eye,A0채움_전체 vs 반영후,roc_auc_보정,0.6532,0.6549,0.001712,0.012154,시드 재현 범위 안 — 변화 없음
eye,A0채움_전체 vs 반영후,MCC,0.3519,0.3439,-0.007967,0.019517,시드 재현 범위 안 — 변화 없음
eye,A0채움_전체 vs 반영후,BA,0.6794,0.6758,-0.003613,0.006055,시드 재현 범위 안 — 변화 없음
eye,A0채움_유해만 vs 반영후,roc_auc,0.7261,0.7261,0.0,0.0,시드 재현 범위 안 — 변화 없음
eye,A0채움_유해만 vs 반영후,roc_auc_보정,0.6532,0.6532,0.0,0.0,시드 재현 범위 안 — 변화 없음
eye,A0채움_유해만 vs 반영후,MCC,0.3519,0.3519,0.0,0.0,시드 재현 범위 안 — 변화 없음
eye,A0채움_유해만 vs 반영후,BA,0.6794,0.6794,0.0,0.0,시드 재현 범위 안 — 변화 없음
eye,A0채움_tier표기_annexvi vs 반영후,roc_auc,0.7261,0.7348,0.00878,0.009195,시드 재현 범위 안 — 변화 없음
eye,A0채움_tier표기_annexvi vs 반영후,roc_auc_보정,0.6532,0.6629,0.00975,0.00843,시드 재현 범위 밖 — 개선
eye,A0채움_tier표기_annexvi vs 반영후,MCC,0.3519,0.3433,-0.008601,0.016554,시드 재현 범위 안 — 변화 없음
