endpoint,조사반영,관할,n,유병률,indep_채움_성분행,성분커버리지,CT판정행,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,MCC,MCC_sd,BA,BA_sd,재현율,재현율_sd,특이도,특이도_sd,roc_auc_보정,roc_auc_보정_sd,tau_평균,tau_sd
eye,조사전,EU_CLP,1044,0.3697,0,0.3301,982,0.7265,0.01,0.6251,0.0119,0.3422,0.0161,0.6738,0.0075,0.6233,0.013,0.7243,0.0198,0.658,0.011,0.4909,0.057
eye,조사후_전체,EU_CLP,1044,0.3697,465,0.3516,1027,0.7261,0.0069,0.6247,0.0111,0.3519,0.009,0.6794,0.005,0.6399,0.0245,0.7188,0.02,0.6532,0.0076,0.4847,0.0549
eye,조사후_이름경로제외,EU_CLP,1044,0.3697,406,0.349,1021,0.7231,0.0068,0.6199,0.0103,0.3259,0.0112,0.6675,0.0059,0.6523,0.0208,0.6827,0.0196,0.6499,0.008,0.4647,0.0496
eye,조사후_NC유지,EU_CLP,1044,0.3697,465,0.5934,1397,0.7334,0.0054,0.6268,0.009,0.3415,0.0164,0.6739,0.0074,0.6311,0.0178,0.7167,0.0274,0.6629,0.0095,0.4861,0.0621
eye,조사전_NC유지,EU_CLP,1044,0.3697,0,0.5109,1298,0.7356,0.0055,0.6248,0.0067,0.3615,0.0208,0.6823,0.0095,0.6197,0.0249,0.745,0.0311,0.6692,0.0093,0.5025,0.0575
skin,조사전,EU_CLP,1059,0.3362,0,0.2963,900,0.7015,0.0023,0.5241,0.0093,0.2797,0.0091,0.6465,0.0045,0.6287,0.0338,0.6643,0.033,0.647,0.0034,0.4455,0.0677
skin,조사후_전체,EU_CLP,1059,0.3362,493,0.3156,941,0.7054,0.0039,0.5239,0.0132,0.2742,0.0142,0.6436,0.0072,0.6258,0.0321,0.6615,0.032,0.6497,0.0053,0.4421,0.0749
skin,조사후_이름경로제외,EU_CLP,1059,0.3362,431,0.3124,936,0.7016,0.005,0.5224,0.0148,0.2694,0.0123,0.642,0.0065,0.6438,0.0158,0.6401,0.0138,0.6445,0.006,0.4244,0.079
skin,조사후_NC유지,EU_CLP,1059,0.3362,493,0.5976,1399,0.7125,0.0033,0.5317,0.0112,0.3151,0.0158,0.6657,0.0083,0.6674,0.0244,0.664,0.0218,0.652,0.0015,0.432,0.0564
skin,조사전_NC유지,EU_CLP,1059,0.3362,0,0.5115,1299,0.7058,0.0015,0.5296,0.0098,0.3002,0.0119,0.6572,0.0063,0.6404,0.031,0.674,0.0264,0.6509,0.0047,0.4466,0.0734
