endpoint,대조,지표,조사전,조사후,차이,잡음범위_대응차SD2배,판정
eye,조사후_전체,roc_auc,0.7265,0.7261,-0.000399,0.008642,시드 재현 범위 안 — 변화 없음
eye,조사후_전체,roc_auc_보정,0.658,0.6532,-0.004845,0.009679,시드 재현 범위 안 — 변화 없음
eye,조사후_전체,MCC,0.3422,0.3519,0.009707,0.024866,시드 재현 범위 안 — 변화 없음
eye,조사후_전체,BA,0.6738,0.6794,0.005555,0.009144,시드 재현 범위 안 — 변화 없음
eye,조사후_이름경로제외,roc_auc,0.7265,0.7231,-0.00331,0.007958,시드 재현 범위 안 — 변화 없음
eye,조사후_이름경로제외,roc_auc_보정,0.658,0.6499,-0.008124,0.008303,시드 재현 범위 안 — 변화 없음
eye,조사후_이름경로제외,MCC,0.3422,0.3259,-0.016275,0.036049,시드 재현 범위 안 — 변화 없음
eye,조사후_이름경로제외,BA,0.6738,0.6675,-0.006313,0.014989,시드 재현 범위 안 — 변화 없음
eye,조사후_NC유지,roc_auc,0.7356,0.7334,-0.00219,0.007015,시드 재현 범위 안 — 변화 없음
eye,조사후_NC유지,roc_auc_보정,0.6692,0.6629,-0.006376,0.01118,시드 재현 범위 안 — 변화 없음
eye,조사후_NC유지,MCC,0.3615,0.3415,-0.020016,0.015062,시드 재현 범위 밖 — 손실
eye,조사후_NC유지,BA,0.6823,0.6739,-0.008434,0.006944,시드 재현 범위 밖 — 손실
eye,조사전_NC유지,roc_auc,0.7265,0.7356,0.009098,0.017492,시드 재현 범위 안 — 변화 없음
eye,조사전_NC유지,roc_auc_보정,0.658,0.6692,0.011234,0.017943,시드 재현 범위 안 — 변화 없음
eye,조사전_NC유지,MCC,0.3422,0.3615,0.019371,0.029003,시드 재현 범위 안 — 변화 없음
eye,조사전_NC유지,BA,0.6738,0.6823,0.008521,0.013065,시드 재현 범위 안 — 변화 없음
skin,조사후_전체,roc_auc,0.7015,0.7054,0.003854,0.004322,시드 재현 범위 안 — 변화 없음
skin,조사후_전체,roc_auc_보정,0.647,0.6497,0.00269,0.003946,시드 재현 범위 안 — 변화 없음
skin,조사후_전체,MCC,0.2797,0.2742,-0.005504,0.019445,시드 재현 범위 안 — 변화 없음
skin,조사후_전체,BA,0.6465,0.6436,-0.002827,0.010596,시드 재현 범위 안 — 변화 없음
skin,조사후_이름경로제외,roc_auc,0.7015,0.7016,7.6e-05,0.007019,시드 재현 범위 안 — 변화 없음
skin,조사후_이름경로제외,roc_auc_보정,0.647,0.6445,-0.002435,0.008362,시드 재현 범위 안 — 변화 없음
skin,조사후_이름경로제외,MCC,0.2797,0.2694,-0.01032,0.016063,시드 재현 범위 안 — 변화 없음
skin,조사후_이름경로제외,BA,0.6465,0.642,-0.004507,0.008753,시드 재현 범위 안 — 변화 없음
skin,조사후_NC유지,roc_auc,0.7058,0.7125,0.006651,0.008258,시드 재현 범위 안 — 변화 없음
skin,조사후_NC유지,roc_auc_보정,0.6509,0.652,0.001029,0.009663,시드 재현 범위 안 — 변화 없음
skin,조사후_NC유지,MCC,0.3002,0.3151,0.014869,0.047674,시드 재현 범위 안 — 변화 없음
skin,조사후_NC유지,BA,0.6572,0.6657,0.008504,0.02396,시드 재현 범위 안 — 변화 없음
skin,조사전_NC유지,roc_auc,0.7015,0.7058,0.004316,0.007329,시드 재현 범위 안 — 변화 없음
skin,조사전_NC유지,roc_auc_보정,0.647,0.6509,0.003945,0.012593,시드 재현 범위 안 — 변화 없음
skin,조사전_NC유지,MCC,0.2797,0.3002,0.020515,0.031982,시드 재현 범위 안 — 변화 없음
skin,조사전_NC유지,BA,0.6465,0.6572,0.010735,0.014663,시드 재현 범위 안 — 변화 없음
