대표,노선,단위,endpoint,관할,피처셋,열수,결측처리,임계값규칙,n,양성,유병률,roc_auc,roc_auc_sd,roc_auc_보정,roc_auc_보정_sd,누출기여_AUC,누출기여_초과분비율,pr_auc,pr_auc_sd,tau_J_중첩CV,tau_J_중첩CV_sd,MCC__J_중첩CV,BA__J_중첩CV,재현율__J_중첩CV,특이도__J_중첩CV,AUC게이트_0.70,AUC게이트_기준,폴드출처,재현율__J_중첩CV_sd,특이도__J_중첩CV_sd,정밀도__J_중첩CV,정밀도__J_중첩CV_sd,MCC__J_중첩CV_sd,BA__J_중첩CV_sd,정확도__J_중첩CV,정확도__J_중첩CV_sd,tp__J_중첩CV,tp__J_중첩CV_sd,fp__J_중첩CV,fp__J_중첩CV_sd,fn__J_중첩CV,fn__J_중첩CV_sd,tn__J_중첩CV,tn__J_중첩CV_sd,재현율__고정0.5,재현율__고정0.5_sd,특이도__고정0.5,특이도__고정0.5_sd,정밀도__고정0.5,정밀도__고정0.5_sd,MCC__고정0.5,MCC__고정0.5_sd,BA__고정0.5,BA__고정0.5_sd,정확도__고정0.5,정확도__고정0.5_sd,tp__고정0.5,tp__고정0.5_sd,fp__고정0.5,fp__고정0.5_sd,fn__고정0.5,fn__고정0.5_sd,tn__고정0.5,tn__고정0.5_sd,tau_J_중첩CV_n,tau_J_중첩CV_최소,tau_J_중첩CV_최대,tau_고정0.5,tau_고정0.5_sd,tau_고정0.5_n,tau_고정0.5_최소,tau_고정0.5_최대,층_문서독립_n,층_문서독립_roc_auc,층_문서독립_MCC,층_문서독립_BA,층_문서독립_재현율,층_문서독립_특이도,층_문서독립_유병률,층_문서공유_분류절_n,층_문서공유_분류절_roc_auc,층_문서공유_분류절_MCC,층_문서공유_분류절_BA,층_문서공유_분류절_재현율,층_문서공유_분류절_특이도,층_문서공유_분류절_유병률,층_문서공유_11절_n,층_문서공유_11절_roc_auc,층_문서공유_11절_MCC,층_문서공유_11절_BA,층_문서공유_11절_재현율,층_문서공유_11절_특이도,층_문서공유_11절_유병률,층_CT판정행_A0_base_n,층_CT판정행_A0_base_roc_auc,층_CT판정행_A0_base_MCC,층_CT판정행_A0_base_BA,층_CT판정행_A0_base_재현율,층_CT판정행_A0_base_특이도,층_CT판정행_A0_base_유병률,층_CT판정행_A2_aug_nc_unknown_n,층_CT판정행_A2_aug_nc_unknown_roc_auc,층_CT판정행_A2_aug_nc_unknown_MCC,층_CT판정행_A2_aug_nc_unknown_BA,층_CT판정행_A2_aug_nc_unknown_재현율,층_CT판정행_A2_aug_nc_unknown_특이도,층_CT판정행_A2_aug_nc_unknown_유병률
1,L2,제형,eye,EU_CLP,L2단독,31,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),1044,386,0.3697,0.7186,0.006,0.6597,0.009,0.0589,0.2694,0.619,0.0114,0.4847,0.0417,0.3196,0.6635,0.6368,0.6903,0,보정,배포본(공통폴드.npz),0.0211,0.0406,0.5483,0.025,0.0228,0.0101,0.6705,0.018,245.8,8.1363,203.8,26.7339,140.2,8.1363,454.2,26.7339,0.6145,0.0053,0.7128,0.0096,0.5566,0.0082,0.3215,0.0109,0.6636,0.0053,0.6764,0.0062,237.2,2.0494,189.0,6.2849,148.8,2.0494,469.0,6.2849,25,0.3618,0.5431,0.5,0.0,25,0.5,0.5,608.0,0.6696,0.1941,0.6147,0.5086,0.7207,0.1908,330.0,0.6309,0.1795,0.5992,0.702,0.4963,0.7545,106.0,0.6699,0.2256,0.6351,0.5714,0.6988,0.1981,464.0,0.7363,0.3807,0.6881,0.563,0.8132,0.3147,607.0,0.767,0.4336,0.7159,0.6457,0.7861,0.3822
0,L2,제형,eye,EU_CLP,L2+결합,59,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),1044,386,0.3697,0.7547,0.0081,0.6829,0.0069,0.0718,0.2819,0.6493,0.0067,0.4612,0.0418,0.3902,0.7,0.6824,0.7176,0,보정,배포본(공통폴드.npz),0.0254,0.018,0.5866,0.0112,0.0167,0.0088,0.7046,0.008,263.4,9.8133,185.8,11.8406,122.6,9.8133,472.2,11.8406,0.6425,0.0179,0.7578,0.0072,0.6087,0.0057,0.3961,0.0128,0.7001,0.0072,0.7151,0.0051,248.0,6.892,159.4,4.7223,138.0,6.892,498.6,4.7223,25,0.3777,0.5324,0.5,0.0,25,0.5,0.5,608.0,0.6985,0.2627,0.653,0.5466,0.7593,0.1908,330.0,0.6319,0.208,0.6114,0.7462,0.4765,0.7545,106.0,0.7607,0.316,0.691,0.6762,0.7059,0.1981,464.0,0.7734,0.4556,0.7233,0.6014,0.8453,0.3147,607.0,0.8027,0.4922,0.7448,0.6767,0.8128,0.3822
0,L2,제형,eye,EU_CLP,L2+L1,83,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),1044,386,0.3697,0.7716,0.0067,0.7043,0.0062,0.0673,0.2478,0.679,0.0125,0.4549,0.0284,0.4128,0.7086,0.6539,0.7632,1,보정,배포본(공통폴드.npz),0.0213,0.0177,0.6186,0.0162,0.0215,0.0107,0.7228,0.0107,252.4,8.2037,155.8,11.6276,133.6,8.2037,502.2,11.6276,0.5979,0.0149,0.8185,0.0079,0.6591,0.0141,0.4258,0.0213,0.7082,0.0106,0.737,0.0096,230.8,5.7619,119.4,5.1769,155.2,5.7619,538.6,5.1769,25,0.3911,0.4972,0.5,0.0,25,0.5,0.5,608.0,0.709,0.2438,0.6347,0.4707,0.7988,0.1908,330.0,0.6883,0.2587,0.6406,0.7454,0.5358,0.7545,106.0,0.7344,0.3113,0.6775,0.581,0.7741,0.1981,464.0,0.787,0.4305,0.713,0.5959,0.8302,0.3147,607.0,0.8068,0.4658,0.7332,0.675,0.7915,0.3822
0,L2,제형,eye,EU_CLP,L2+L3,129,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),1044,386,0.3697,0.7626,0.0044,0.6939,0.0046,0.0687,0.2616,0.6543,0.0062,0.4525,0.0405,0.4065,0.7039,0.6337,0.7742,0,보정,배포본(공통폴드.npz),0.0175,0.0152,0.6224,0.0098,0.0053,0.0029,0.7222,0.004,244.6,6.7676,148.6,10.015,141.4,6.7676,509.4,10.015,0.5927,0.0163,0.8195,0.006,0.6583,0.004,0.4223,0.0094,0.7061,0.0058,0.7356,0.0035,228.8,6.3008,118.8,3.9623,157.2,6.3008,539.2,3.9623,25,0.3812,0.5346,0.5,0.0,25,0.5,0.5,608.0,0.7195,0.292,0.6553,0.4776,0.8329,0.1908,330.0,0.6123,0.1024,0.556,0.6972,0.4148,0.7545,106.0,0.7987,0.4415,0.7597,0.7429,0.7765,0.1981,464.0,0.7727,0.4092,0.6969,0.5466,0.8472,0.3147,607.0,0.7914,0.4498,0.7194,0.6138,0.8251,0.3822
0,L2,제형,eye,EU_CLP,전체_노선혼합,209,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),1044,386,0.3697,0.7701,0.0062,0.7007,0.0071,0.0694,0.2569,0.6865,0.0041,0.4365,0.0333,0.4212,0.71,0.6301,0.79,1,보정,배포본(공통폴드.npz),0.0156,0.0156,0.6379,0.0187,0.0244,0.0118,0.7308,0.0121,243.2,6.0166,138.2,10.2567,142.8,6.0166,519.8,10.2567,0.5637,0.0094,0.8438,0.0046,0.6792,0.0061,0.4265,0.0083,0.7037,0.0044,0.7402,0.0035,217.6,3.6469,102.8,3.0332,168.4,3.6469,555.2,3.0332,25,0.3772,0.5205,0.5,0.0,25,0.5,0.5,608.0,0.7194,0.3157,0.6657,0.4862,0.8451,0.1908,330.0,0.6385,0.1154,0.5635,0.69,0.437,0.7545,106.0,0.8052,0.4555,0.7607,0.7143,0.8071,0.1981,464.0,0.7721,0.4304,0.7072,0.5603,0.8541,0.3147,607.0,0.788,0.461,0.7237,0.6112,0.8363,0.3822
0,L2,제형,eye,EU_CLP,L2단독,31,nan0,J_중첩CV(폴드별 τ → 폴드 검증분 적용),1044,386,0.3697,0.6968,0.0035,0.6505,0.002,0.0463,0.2353,0.6026,0.0076,0.5005,0.0357,0.2823,0.6429,0.5767,0.7091,0,보정,배포본(공통폴드.npz),0.0215,0.0229,0.5381,0.0124,0.0137,0.0067,0.6602,0.0091,222.6,8.2946,191.4,15.0599,163.4,8.2946,466.6,15.0599,0.5819,0.0054,0.7112,0.0054,0.5417,0.0052,0.2892,0.0076,0.6466,0.0038,0.6634,0.0039,224.6,2.0736,190.0,3.5355,161.4,2.0736,468.0,3.5355,25,0.4146,0.6172,0.5,0.0,25,0.5,0.5,608.0,0.6631,0.1986,0.6157,0.4879,0.7435,0.1908,330.0,0.6141,0.1277,0.5729,0.6249,0.521,0.7545,106.0,0.6575,0.1543,0.5923,0.4952,0.6894,0.1981,464.0,0.6932,0.3234,0.6499,0.4521,0.8478,0.3147,607.0,0.7345,0.3832,0.6859,0.5638,0.808,0.3822
0,L2,제형,eye,K_REACH,L2단독,31,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),1044,713,0.683,0.6082,0.0075,0.584,0.0061,0.0242,0.2237,0.7734,0.0058,0.6537,0.0946,0.1201,0.5618,0.4154,0.7082,0,보정,자체생성 — 라벨 벡터가 달라 층화가 달라지므로 폴드를 공유할 수 없다,0.0785,0.0844,0.7565,0.0269,0.0389,0.0202,0.5082,0.0327,296.2,55.9661,96.6,27.9428,416.8,55.9661,234.4,27.9428,0.7091,0.0183,0.4169,0.0301,0.7238,0.0085,0.1247,0.0232,0.563,0.0121,0.6165,0.0103,505.6,13.0499,193.0,9.9499,207.4,13.0499,138.0,9.9499,25,0.502,0.8622,0.5,0.0,25,0.5,0.5,608.0,0.5577,0.0691,0.5341,0.3949,0.6734,0.6414,330.0,0.7897,0.214,0.6638,0.4486,0.8789,0.8848,106.0,0.5631,0.0854,0.542,0.3613,0.7227,0.2925,464.0,0.6347,0.1933,0.5997,0.4838,0.7155,0.653,607.0,0.6657,0.2122,0.6151,0.5474,0.6829,0.7018
0,L2,제형,eye,UN_GHS,L2단독,31,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),1044,713,0.683,0.6082,0.0075,0.584,0.0061,0.0242,0.2237,0.7734,0.0058,0.6537,0.0946,0.1201,0.5618,0.4154,0.7082,0,보정,자체생성 — 라벨 벡터가 달라 층화가 달라지므로 폴드를 공유할 수 없다,0.0785,0.0844,0.7565,0.0269,0.0389,0.0202,0.5082,0.0327,296.2,55.9661,96.6,27.9428,416.8,55.9661,234.4,27.9428,0.7091,0.0183,0.4169,0.0301,0.7238,0.0085,0.1247,0.0232,0.563,0.0121,0.6165,0.0103,505.6,13.0499,193.0,9.9499,207.4,13.0499,138.0,9.9499,25,0.502,0.8622,0.5,0.0,25,0.5,0.5,608.0,0.5577,0.0691,0.5341,0.3949,0.6734,0.6414,330.0,0.7897,0.214,0.6638,0.4486,0.8789,0.8848,106.0,0.5631,0.0854,0.542,0.3613,0.7227,0.2925,464.0,0.6347,0.1933,0.5997,0.4838,0.7155,0.653,607.0,0.6657,0.2122,0.6151,0.5474,0.6829,0.7018
1,L2,제형,skin,EU_CLP,L2단독,31,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),1059,356,0.3362,0.7018,0.0033,0.641,0.0067,0.0608,0.3013,0.5285,0.0081,0.4412,0.0691,0.2748,0.6447,0.6466,0.6427,0,보정,배포본(공통폴드.npz),0.0328,0.026,0.4785,0.0091,0.0134,0.0073,0.644,0.0087,230.2,11.6919,251.2,18.2538,125.8,11.6919,451.8,18.2538,0.5904,0.0111,0.7101,0.007,0.5077,0.0076,0.291,0.0127,0.6503,0.0066,0.6699,0.006,210.2,3.9623,203.8,4.9193,145.8,3.9623,499.2,4.9193,25,0.311,0.578,0.5,0.0,25,0.5,0.5,544.0,0.6279,0.0943,0.5567,0.404,0.7095,0.1838,421.0,0.6552,0.2446,0.6175,0.7545,0.4804,0.5748,94.0,0.6109,0.1104,0.5746,0.5143,0.635,0.1489,461.0,0.7166,0.2854,0.6485,0.5609,0.7362,0.2993,552.0,0.7324,0.3027,0.6561,0.6136,0.6986,0.346
0,L2,제형,skin,EU_CLP,L2+결합,59,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),1059,356,0.3362,0.7379,0.0041,0.6655,0.0063,0.0724,0.3043,0.5723,0.0117,0.4294,0.0638,0.3191,0.6676,0.6657,0.6694,0,보정,배포본(공통폴드.npz),0.0289,0.0266,0.5054,0.0105,0.009,0.0048,0.6682,0.0091,237.0,10.2713,232.4,18.7297,119.0,10.2713,470.6,18.7297,0.5983,0.0129,0.7474,0.0057,0.5453,0.0048,0.3385,0.0093,0.6728,0.0052,0.6973,0.0036,213.0,4.5826,177.6,4.0373,143.0,4.5826,525.4,4.0373,25,0.3203,0.5392,0.5,0.0,25,0.5,0.5,544.0,0.6981,0.1908,0.6092,0.45,0.7685,0.1838,421.0,0.6299,0.1893,0.5888,0.7587,0.419,0.5748,94.0,0.7457,0.2075,0.64,0.6,0.68,0.1489,461.0,0.7519,0.33,0.6687,0.5652,0.7721,0.2993,552.0,0.7658,0.3535,0.6803,0.6209,0.7396,0.346
