노선,단위,endpoint,단계,피처셋,열수,제외열수,관할,결측처리,임계값규칙,폴드출처,n,양성,유병률,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,재현율__J_중첩CV,재현율__J_중첩CV_sd,특이도__J_중첩CV,특이도__J_중첩CV_sd,정밀도__J_중첩CV,정밀도__J_중첩CV_sd,MCC__J_중첩CV,MCC__J_중첩CV_sd,BA__J_중첩CV,BA__J_중첩CV_sd,정확도__J_중첩CV,정확도__J_중첩CV_sd,tp__J_중첩CV,tp__J_중첩CV_sd,fp__J_중첩CV,fp__J_중첩CV_sd,fn__J_중첩CV,fn__J_중첩CV_sd,tn__J_중첩CV,tn__J_중첩CV_sd,재현율__고정0.5,재현율__고정0.5_sd,특이도__고정0.5,특이도__고정0.5_sd,정밀도__고정0.5,정밀도__고정0.5_sd,MCC__고정0.5,MCC__고정0.5_sd,BA__고정0.5,BA__고정0.5_sd,정확도__고정0.5,정확도__고정0.5_sd,tp__고정0.5,tp__고정0.5_sd,fp__고정0.5,fp__고정0.5_sd,fn__고정0.5,fn__고정0.5_sd,tn__고정0.5,tn__고정0.5_sd,tau_J_중첩CV,tau_J_중첩CV_sd,tau_J_중첩CV_n,tau_J_중첩CV_최소,tau_J_중첩CV_최대,tau_고정0.5,tau_고정0.5_sd,tau_고정0.5_n,tau_고정0.5_최소,tau_고정0.5_최대,roc_auc_보정,roc_auc_보정_sd,누출기여_AUC,누출기여_초과분비율,AUC게이트_0.70,AUC게이트_기준,층_문서독립_n,층_문서독립_roc_auc,층_문서독립_MCC,층_문서독립_BA,층_문서독립_재현율,층_문서독립_특이도,층_문서독립_유병률,층_문서공유_분류절_n,층_문서공유_분류절_roc_auc,층_문서공유_분류절_MCC,층_문서공유_분류절_BA,층_문서공유_분류절_재현율,층_문서공유_분류절_특이도,층_문서공유_분류절_유병률,층_문서공유_11절_n,층_문서공유_11절_roc_auc,층_문서공유_11절_MCC,층_문서공유_11절_BA,층_문서공유_11절_재현율,층_문서공유_11절_특이도,층_문서공유_11절_유병률,층_CT판정행_A0_base_n,층_CT판정행_A0_base_roc_auc,층_CT판정행_A0_base_MCC,층_CT판정행_A0_base_BA,층_CT판정행_A0_base_재현율,층_CT판정행_A0_base_특이도,층_CT판정행_A0_base_유병률,층_CT판정행_A2_aug_nc_unknown_n,층_CT판정행_A2_aug_nc_unknown_roc_auc,층_CT판정행_A2_aug_nc_unknown_MCC,층_CT판정행_A2_aug_nc_unknown_BA,층_CT판정행_A2_aug_nc_unknown_재현율,층_CT판정행_A2_aug_nc_unknown_특이도,층_CT판정행_A2_aug_nc_unknown_유병률
L2,제형,eye,① L2단독_원본,L2단독,42,0,EU_CLP,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),배포본(공통폴드.npz),1044,386,0.3697,0.7265,0.01,0.6251,0.0119,0.6233,0.013,0.7243,0.0198,0.5706,0.0149,0.3422,0.0161,0.6738,0.0075,0.687,0.01,240.6,5.0299,181.4,13.0499,145.4,5.0299,476.6,13.0499,0.6119,0.0191,0.7334,0.0142,0.574,0.0127,0.3412,0.0193,0.6727,0.0099,0.6885,0.0094,236.2,7.3621,175.4,9.3702,149.8,7.3621,482.6,9.3702,0.4909,0.057,25,0.3872,0.5943,0.5,0.0,25,0.5,0.5,0.658,0.011,0.0685,0.3024,0,보정,608,0.6653,0.2114,0.6212,0.481,0.7614,0.1908,330,0.634,0.1497,0.5828,0.694,0.4716,0.7545,106,0.6968,0.277,0.661,0.5714,0.7506,0.1981,464,0.7136,0.3135,0.651,0.4863,0.8157,0.3147,607,0.7487,0.3764,0.6851,0.5836,0.7867,0.3822
L2,제형,eye,② 중복쌍정리,L2단독,38,4,EU_CLP,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),배포본(공통폴드.npz),1044,386,0.3697,0.7275,0.008,0.6246,0.0135,0.6337,0.0228,0.7134,0.0142,0.5647,0.0097,0.3401,0.0168,0.6735,0.0089,0.6839,0.0075,244.6,8.792,188.6,9.3702,141.4,8.792,469.4,9.3702,0.6218,0.0143,0.7289,0.0123,0.5737,0.0084,0.3455,0.0108,0.6753,0.0055,0.6893,0.0058,240.0,5.5227,178.4,8.0808,146.0,5.5227,479.6,8.0808,0.4867,0.0556,25,0.371,0.6015,0.5,0.0,25,0.5,0.5,0.6588,0.0089,0.0687,0.302,0,보정,608,0.6659,0.2075,0.6204,0.4897,0.7512,0.1908,330,0.6351,0.1457,0.5798,0.7028,0.4568,0.7545,106,0.6989,0.2951,0.6742,0.6095,0.7388,0.1981,464,0.7171,0.3163,0.6563,0.5164,0.7962,0.3147,607,0.7517,0.3772,0.6874,0.6026,0.7723,0.3822
L2,제형,eye,③ +죽은열제외,L2단독,37,5,EU_CLP,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),배포본(공통폴드.npz),1044,386,0.3697,0.7297,0.0094,0.6256,0.0133,0.6363,0.0432,0.7109,0.0405,0.565,0.0182,0.3409,0.0072,0.6736,0.0034,0.6833,0.01,245.6,16.6823,190.2,26.6683,140.4,16.6823,467.8,26.6683,0.6155,0.014,0.7365,0.017,0.5784,0.0144,0.348,0.0181,0.676,0.0087,0.6918,0.01,237.6,5.4129,173.4,11.1937,148.4,5.4129,484.6,11.1937,0.4828,0.061,25,0.366,0.5791,0.5,0.0,25,0.5,0.5,0.6598,0.0118,0.0699,0.3043,0,보정,608,0.6675,0.2152,0.6251,0.5034,0.7467,0.1908,330,0.6339,0.1453,0.5794,0.702,0.4568,0.7545,106,0.7035,0.2888,0.6682,0.5905,0.7459,0.1981,464,0.7192,0.3241,0.6592,0.5164,0.8019,0.3147,607,0.7535,0.384,0.6901,0.6052,0.7749,0.3822
L2,제형,eye,④ +감작CT제외,L2단독,31,11,EU_CLP,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),배포본(공통폴드.npz),1044,386,0.3697,0.7114,0.0082,0.6137,0.0145,0.6249,0.0532,0.6611,0.0566,0.5215,0.023,0.2792,0.023,0.643,0.0118,0.6477,0.0195,241.2,20.5475,223.0,37.229,144.8,20.5475,435.0,37.229,0.5912,0.0076,0.6982,0.0132,0.5348,0.0102,0.2842,0.0131,0.6447,0.0063,0.6586,0.0077,228.2,2.9496,198.6,8.6776,157.8,2.9496,459.4,8.6776,0.4785,0.0687,25,0.3305,0.621,0.5,0.0,25,0.5,0.5,0.651,0.0104,0.0604,0.2857,0,보정,608,0.6611,0.1668,0.6004,0.5086,0.6923,0.1908,330,0.6207,0.1342,0.5743,0.6843,0.4642,0.7545,106,0.6694,0.1899,0.6151,0.5619,0.6682,0.1981,464,0.7306,0.3282,0.6641,0.5452,0.783,0.3147,607,0.7605,0.3783,0.689,0.6233,0.7547,0.3822
L2,제형,eye,⑤ 감작7열단독제외(§5-3 대조),L2단독,35,7,EU_CLP,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),배포본(공통폴드.npz),1044,386,0.3697,0.7078,0.0082,0.6129,0.0131,0.6347,0.0662,0.6523,0.058,0.5187,0.0184,0.2799,0.0203,0.6435,0.011,0.6458,0.0156,245.0,25.5636,228.8,38.1798,141.0,25.5636,429.2,38.1798,0.5865,0.0062,0.6973,0.0153,0.5322,0.0115,0.2789,0.014,0.6419,0.0066,0.6563,0.0087,226.4,2.4083,199.2,10.0598,159.6,2.4083,458.8,10.0598,0.4639,0.0708,25,0.3362,0.6195,0.5,0.0,25,0.5,0.5,0.6469,0.0109,0.0609,0.2931,0,보정,608,0.6561,0.1706,0.6033,0.5241,0.6825,0.1908,330,0.6185,0.1331,0.573,0.6867,0.4593,0.7545,106,0.6708,0.237,0.6449,0.6286,0.6612,0.1981,464,0.7249,0.3254,0.6637,0.5507,0.7767,0.3147,607,0.7566,0.3736,0.6875,0.631,0.744,0.3822
L2,제형,skin,① L2단독_원본,L2단독,42,0,EU_CLP,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),배포본(공통폴드.npz),1059,356,0.3362,0.7015,0.0023,0.5241,0.0093,0.6287,0.0338,0.6643,0.033,0.4874,0.0128,0.2797,0.0091,0.6465,0.0045,0.6523,0.0114,223.8,12.0499,236.0,23.2056,132.2,12.0499,467.0,23.2056,0.5775,0.0043,0.7275,0.0103,0.5178,0.0102,0.2976,0.0132,0.6525,0.0064,0.6771,0.0076,205.6,1.5166,191.6,7.2319,150.4,1.5166,511.4,7.2319,0.4455,0.0677,25,0.3324,0.5815,0.5,0.0,25,0.5,0.5,0.647,0.0034,0.0545,0.2705,0,보정,544,0.653,0.1403,0.5819,0.422,0.7419,0.1838,421,0.6411,0.2109,0.6028,0.7174,0.4883,0.5748,94,0.6377,0.146,0.5995,0.5714,0.6275,0.1489,461,0.6992,0.244,0.6259,0.5174,0.7344,0.2993,552,0.7191,0.275,0.6408,0.578,0.7036,0.346
L2,제형,skin,② 중복쌍정리,L2단독,38,4,EU_CLP,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),배포본(공통폴드.npz),1059,356,0.3362,0.703,0.0032,0.5228,0.0106,0.6303,0.0353,0.6637,0.0454,0.4885,0.0209,0.2811,0.0162,0.647,0.007,0.6525,0.0188,224.4,12.5817,236.4,31.9108,131.6,12.5817,466.6,31.9108,0.5798,0.0108,0.728,0.0025,0.5191,0.0051,0.3003,0.0102,0.6539,0.0055,0.6782,0.0039,206.4,3.8471,191.2,1.7889,149.6,3.8471,511.8,1.7889,0.4481,0.0708,25,0.3226,0.5602,0.5,0.0,25,0.5,0.5,0.6474,0.0054,0.0556,0.2739,0,보정,544,0.6504,0.125,0.5725,0.404,0.741,0.1838,421,0.6449,0.2243,0.6089,0.7306,0.4872,0.5748,94,0.6239,0.1058,0.5721,0.5143,0.63,0.1489,461,0.7011,0.2402,0.6232,0.5101,0.7362,0.2993,552,0.721,0.281,0.6435,0.5812,0.7058,0.346
L2,제형,skin,③ +죽은열제외,L2단독,37,5,EU_CLP,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),배포본(공통폴드.npz),1059,356,0.3362,0.7014,0.0028,0.523,0.0098,0.6275,0.0311,0.672,0.033,0.4929,0.0146,0.2864,0.0122,0.6498,0.0058,0.657,0.0127,223.4,11.0589,230.6,23.1905,132.6,11.0589,472.4,23.1905,0.5736,0.0153,0.7243,0.0055,0.513,0.0083,0.2906,0.0152,0.649,0.0081,0.6737,0.0062,204.2,5.4498,193.8,3.8341,151.8,5.4498,509.2,3.8341,0.4544,0.06,25,0.3381,0.5594,0.5,0.0,25,0.5,0.5,0.6461,0.0058,0.0553,0.2746,0,보정,544,0.651,0.14,0.5807,0.41,0.7514,0.1838,421,0.6418,0.2206,0.6074,0.7231,0.4916,0.5748,94,0.6213,0.1199,0.5818,0.5286,0.635,0.1489,461,0.7009,0.2465,0.6267,0.5116,0.7418,0.2993,552,0.7195,0.2848,0.6457,0.5812,0.7102,0.346
L2,제형,skin,④ +감작CT제외,L2단독,31,11,EU_CLP,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),배포본(공통폴드.npz),1059,356,0.3362,0.6999,0.0039,0.5339,0.0128,0.6152,0.0136,0.6774,0.0254,0.4919,0.0154,0.2802,0.0148,0.6463,0.0066,0.6565,0.0126,219.0,4.8477,226.8,17.8522,137.0,4.8477,476.2,17.8522,0.5764,0.0078,0.7269,0.0078,0.5167,0.0087,0.296,0.0126,0.6516,0.0063,0.6763,0.0065,205.2,2.7749,192.0,5.4772,150.8,2.7749,511.0,5.4772,0.4558,0.0601,25,0.3361,0.5658,0.5,0.0,25,0.5,0.5,0.6388,0.0037,0.0611,0.3057,0,보정,544,0.626,0.0918,0.5529,0.364,0.7419,0.1838,421,0.6527,0.2498,0.6224,0.7264,0.5184,0.5748,94,0.6096,0.1211,0.5804,0.4857,0.675,0.1489,461,0.7154,0.2965,0.6487,0.5159,0.7814,0.2993,552,0.7325,0.3191,0.6611,0.577,0.7452,0.346
L2,제형,skin,⑤ 감작7열단독제외(§5-3 대조),L2단독,35,7,EU_CLP,native_복원,J_중첩CV(폴드별 τ → 폴드 검증분 적용),배포본(공통폴드.npz),1059,356,0.3362,0.6981,0.0038,0.5311,0.013,0.6135,0.0292,0.6669,0.0341,0.4834,0.0173,0.2682,0.0177,0.6402,0.0084,0.6489,0.0149,218.4,10.4067,234.2,23.952,137.6,10.4067,468.8,23.952,0.5753,0.0134,0.7206,0.0086,0.5105,0.0076,0.2882,0.0124,0.648,0.0065,0.6718,0.0058,204.8,4.7645,196.4,6.0249,151.2,4.7645,506.6,6.0249,0.4542,0.0719,25,0.2719,0.5955,0.5,0.0,25,0.5,0.5,0.6372,0.0031,0.0609,0.3074,0,보정,544,0.6264,0.0919,0.5535,0.376,0.7311,0.1838,421,0.6489,0.2292,0.6122,0.7182,0.5061,0.5748,94,0.6157,0.1277,0.585,0.5,0.67,0.1489,461,0.7122,0.2509,0.6252,0.4826,0.7678,0.2993,552,0.73,0.286,0.644,0.555,0.733,0.346
