대조,endpoint,지표,원본열수,정리열수,원본,정리,차이,잡음범위_시드SD2배,판정
최종 (42열 → 31열 전부정리),eye,roc_auc,42,31,0.7265,0.7114,-0.0151,0.02,잡음 범위
최종 (42열 → 31열 전부정리),eye,roc_auc_보정,42,31,0.658,0.651,-0.007,0.022,잡음 범위
최종 (42열 → 31열 전부정리),eye,pr_auc,42,31,0.6251,0.6137,-0.0114,0.029,잡음 범위
최종 (42열 → 31열 전부정리),eye,MCC__J_중첩CV,42,31,0.3422,0.2792,-0.063,0.046,유의한 손실
최종 (42열 → 31열 전부정리),eye,BA__J_중첩CV,42,31,0.6738,0.643,-0.0308,0.0236,유의한 손실
최종 (42열 → 31열 전부정리),eye,재현율__J_중첩CV,42,31,0.6233,0.6249,0.0016,0.1064,잡음 범위
최종 (42열 → 31열 전부정리),eye,특이도__J_중첩CV,42,31,0.7243,0.6611,-0.0632,0.1132,잡음 범위
최종 (42열 → 31열 전부정리),eye,MCC__고정0.5,42,31,0.3412,0.2842,-0.057,0.0386,유의한 손실
최종 (42열 → 31열 전부정리),eye,BA__고정0.5,42,31,0.6727,0.6447,-0.028,0.0198,유의한 손실
최종 (42열 → 31열 전부정리),eye,층_문서독립_roc_auc,42,31,0.6653,0.6611,-0.0042,0.0,유의한 손실
최종 (42열 → 31열 전부정리),eye,층_문서독립_MCC,42,31,0.2114,0.1668,-0.0446,0.0,유의한 손실
최종 (42열 → 31열 전부정리),eye,층_문서독립_BA,42,31,0.6212,0.6004,-0.0208,0.0,유의한 손실
최종 (42열 → 31열 전부정리),eye,층_문서공유_분류절_roc_auc,42,31,0.634,0.6207,-0.0133,0.0,유의한 손실
최종 (42열 → 31열 전부정리),eye,층_문서공유_분류절_MCC,42,31,0.1497,0.1342,-0.0155,0.0,유의한 손실
최종 (42열 → 31열 전부정리),eye,층_문서공유_분류절_BA,42,31,0.5828,0.5743,-0.0085,0.0,유의한 손실
최종 (42열 → 31열 전부정리),eye,층_문서공유_11절_roc_auc,42,31,0.6968,0.6694,-0.0274,0.0,유의한 손실
최종 (42열 → 31열 전부정리),eye,층_문서공유_11절_MCC,42,31,0.277,0.1899,-0.0871,0.0,유의한 손실
최종 (42열 → 31열 전부정리),eye,층_문서공유_11절_BA,42,31,0.661,0.6151,-0.0459,0.0,유의한 손실
최종 (42열 → 31열 전부정리),skin,roc_auc,42,31,0.7015,0.6999,-0.0016,0.0078,잡음 범위
최종 (42열 → 31열 전부정리),skin,roc_auc_보정,42,31,0.647,0.6388,-0.0082,0.0074,유의한 손실
최종 (42열 → 31열 전부정리),skin,pr_auc,42,31,0.5241,0.5339,0.0098,0.0256,잡음 범위
최종 (42열 → 31열 전부정리),skin,MCC__J_중첩CV,42,31,0.2797,0.2802,0.0005,0.0296,잡음 범위
최종 (42열 → 31열 전부정리),skin,BA__J_중첩CV,42,31,0.6465,0.6463,-0.0002,0.0132,잡음 범위
최종 (42열 → 31열 전부정리),skin,재현율__J_중첩CV,42,31,0.6287,0.6152,-0.0135,0.0676,잡음 범위
최종 (42열 → 31열 전부정리),skin,특이도__J_중첩CV,42,31,0.6643,0.6774,0.0131,0.066,잡음 범위
최종 (42열 → 31열 전부정리),skin,MCC__고정0.5,42,31,0.2976,0.296,-0.0016,0.0264,잡음 범위
최종 (42열 → 31열 전부정리),skin,BA__고정0.5,42,31,0.6525,0.6516,-0.0009,0.0128,잡음 범위
최종 (42열 → 31열 전부정리),skin,층_문서독립_roc_auc,42,31,0.653,0.626,-0.027,0.0,유의한 손실
최종 (42열 → 31열 전부정리),skin,층_문서독립_MCC,42,31,0.1403,0.0918,-0.0485,0.0,유의한 손실
최종 (42열 → 31열 전부정리),skin,층_문서독립_BA,42,31,0.5819,0.5529,-0.029,0.0,유의한 손실
최종 (42열 → 31열 전부정리),skin,층_문서공유_분류절_roc_auc,42,31,0.6411,0.6527,0.0116,0.0,유의한 개선
최종 (42열 → 31열 전부정리),skin,층_문서공유_분류절_MCC,42,31,0.2109,0.2498,0.0389,0.0,유의한 개선
최종 (42열 → 31열 전부정리),skin,층_문서공유_분류절_BA,42,31,0.6028,0.6224,0.0196,0.0,유의한 개선
최종 (42열 → 31열 전부정리),skin,층_문서공유_11절_roc_auc,42,31,0.6377,0.6096,-0.0281,0.0,유의한 손실
최종 (42열 → 31열 전부정리),skin,층_문서공유_11절_MCC,42,31,0.146,0.1211,-0.0249,0.0,유의한 손실
최종 (42열 → 31열 전부정리),skin,층_문서공유_11절_BA,42,31,0.5995,0.5804,-0.0191,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,roc_auc,42,35,0.7265,0.7078,-0.0187,0.02,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,roc_auc_보정,42,35,0.658,0.6469,-0.0111,0.022,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,pr_auc,42,35,0.6251,0.6129,-0.0122,0.0262,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,MCC__J_중첩CV,42,35,0.3422,0.2799,-0.0623,0.0406,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,BA__J_중첩CV,42,35,0.6738,0.6435,-0.0303,0.022,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,재현율__J_중첩CV,42,35,0.6233,0.6347,0.0114,0.1324,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,특이도__J_중첩CV,42,35,0.7243,0.6523,-0.072,0.116,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,MCC__고정0.5,42,35,0.3412,0.2789,-0.0623,0.0386,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,BA__고정0.5,42,35,0.6727,0.6419,-0.0308,0.0198,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,층_문서독립_roc_auc,42,35,0.6653,0.6561,-0.0092,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,층_문서독립_MCC,42,35,0.2114,0.1706,-0.0408,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,층_문서독립_BA,42,35,0.6212,0.6033,-0.0179,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,층_문서공유_분류절_roc_auc,42,35,0.634,0.6185,-0.0155,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,층_문서공유_분류절_MCC,42,35,0.1497,0.1331,-0.0166,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,층_문서공유_분류절_BA,42,35,0.5828,0.573,-0.0098,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,층_문서공유_11절_roc_auc,42,35,0.6968,0.6708,-0.026,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,층_문서공유_11절_MCC,42,35,0.277,0.237,-0.04,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",eye,층_문서공유_11절_BA,42,35,0.661,0.6449,-0.0161,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,roc_auc,42,35,0.7015,0.6981,-0.0034,0.0076,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,roc_auc_보정,42,35,0.647,0.6372,-0.0098,0.0068,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,pr_auc,42,35,0.5241,0.5311,0.007,0.026,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,MCC__J_중첩CV,42,35,0.2797,0.2682,-0.0115,0.0354,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,BA__J_중첩CV,42,35,0.6465,0.6402,-0.0063,0.0168,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,재현율__J_중첩CV,42,35,0.6287,0.6135,-0.0152,0.0676,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,특이도__J_중첩CV,42,35,0.6643,0.6669,0.0026,0.0682,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,MCC__고정0.5,42,35,0.2976,0.2882,-0.0094,0.0264,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,BA__고정0.5,42,35,0.6525,0.648,-0.0045,0.013,잡음 범위
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,층_문서독립_roc_auc,42,35,0.653,0.6264,-0.0266,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,층_문서독립_MCC,42,35,0.1403,0.0919,-0.0484,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,층_문서독립_BA,42,35,0.5819,0.5535,-0.0284,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,층_문서공유_분류절_roc_auc,42,35,0.6411,0.6489,0.0078,0.0,유의한 개선
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,층_문서공유_분류절_MCC,42,35,0.2109,0.2292,0.0183,0.0,유의한 개선
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,층_문서공유_분류절_BA,42,35,0.6028,0.6122,0.0094,0.0,유의한 개선
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,층_문서공유_11절_roc_auc,42,35,0.6377,0.6157,-0.022,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,층_문서공유_11절_MCC,42,35,0.146,0.1277,-0.0183,0.0,유의한 손실
"§5-3 대조 (42열 → 35열, 감작 7열만 제외)",skin,층_문서공유_11절_BA,42,35,0.5995,0.585,-0.0145,0.0,유의한 손실
