endpoint,구간,단계,지표,직전,현재,차이,잡음범위_시드SD2배,판정
eye,42→38열,② 중복쌍정리,roc_auc,0.7265,0.7275,0.001,0.02,잡음 범위
eye,42→38열,② 중복쌍정리,roc_auc_보정,0.658,0.6588,0.0008,0.022,잡음 범위
eye,42→38열,② 중복쌍정리,pr_auc,0.6251,0.6246,-0.0005,0.027,잡음 범위
eye,42→38열,② 중복쌍정리,MCC__J_중첩CV,0.3422,0.3401,-0.0021,0.0336,잡음 범위
eye,42→38열,② 중복쌍정리,BA__J_중첩CV,0.6738,0.6735,-0.0003,0.0178,잡음 범위
eye,42→38열,② 중복쌍정리,재현율__J_중첩CV,0.6233,0.6337,0.0104,0.0456,잡음 범위
eye,42→38열,② 중복쌍정리,특이도__J_중첩CV,0.7243,0.7134,-0.0109,0.0396,잡음 범위
eye,42→38열,② 중복쌍정리,MCC__고정0.5,0.3412,0.3455,0.0043,0.0386,잡음 범위
eye,42→38열,② 중복쌍정리,BA__고정0.5,0.6727,0.6753,0.0026,0.0198,잡음 범위
eye,38→37열,③ +죽은열제외,roc_auc,0.7275,0.7297,0.0022,0.0188,잡음 범위
eye,38→37열,③ +죽은열제외,roc_auc_보정,0.6588,0.6598,0.001,0.0236,잡음 범위
eye,38→37열,③ +죽은열제외,pr_auc,0.6246,0.6256,0.001,0.027,잡음 범위
eye,38→37열,③ +죽은열제외,MCC__J_중첩CV,0.3401,0.3409,0.0008,0.0336,잡음 범위
eye,38→37열,③ +죽은열제외,BA__J_중첩CV,0.6735,0.6736,0.0001,0.0178,잡음 범위
eye,38→37열,③ +죽은열제외,재현율__J_중첩CV,0.6337,0.6363,0.0026,0.0864,잡음 범위
eye,38→37열,③ +죽은열제외,특이도__J_중첩CV,0.7134,0.7109,-0.0025,0.081,잡음 범위
eye,38→37열,③ +죽은열제외,MCC__고정0.5,0.3455,0.348,0.0025,0.0362,잡음 범위
eye,38→37열,③ +죽은열제외,BA__고정0.5,0.6753,0.676,0.0007,0.0174,잡음 범위
eye,37→31열,④ +감작CT제외,roc_auc,0.7297,0.7114,-0.0183,0.0188,잡음 범위
eye,37→31열,④ +감작CT제외,roc_auc_보정,0.6598,0.651,-0.0088,0.0236,잡음 범위
eye,37→31열,④ +감작CT제외,pr_auc,0.6256,0.6137,-0.0119,0.029,잡음 범위
