Formulation_ID,ingredient_name,cas,채움전략,농도값,정보원,신뢰도,상세,원본행인덱스
EyeIrritation6pack_PID1005,"Distillates (Petroleum), Hydrotreated Light",64742-47-8,전략4_ing2pct_exact,100.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=total_row_dropped",52
EyeIrritation6pack_PID1009,0.2 mg/M3 0.2 mg/M3 N/A No,,전략4_ing2pct_exact,75.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",63
EyeIrritation6pack_PID1013,Food 30.8 25.4 22.9,,전략4_ing2pct_exact,30.8,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",76
EyeIrritation6pack_PID1013,Beverages and tobacco 2.8 2.9 3.4,,전략4_ing2pct_exact,2.8,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",77
EyeIrritation6pack_PID1013,otal 33.6 28.3 26.3,,전략4_ing2pct_exact,33.6,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",78
EyeIrritation6pack_PID1013,Crude materials 1.7 2.9 0.8,,전략4_ing2pct_exact,1.7,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",79
EyeIrritation6pack_PID1013,Fuels 28.2 23.1 24.7,,전략4_ing2pct_exact,28.2,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",80
EyeIrritation6pack_PID1013,Oils and fats 0.4 0.2 0.2,,전략4_ing2pct_exact,0.4,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",81
EyeIrritation6pack_PID1013,otal 30.3 26.2 25.7,,전략4_ing2pct_exact,30.3,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",82
EyeIrritation6pack_PID1013,Chemicals 17.2 14.7 15.3,,전략4_ing2pct_exact,17.2,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",83
EyeIrritation6pack_PID1013,"Wood, textile, metals 12.1 13.5 13.1",,전략4_ing2pct_exact,12.1,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",84
EyeIrritation6pack_PID1013,Machinery and transportation equipment 0.3 1.2 2.7,,전략4_ing2pct_exact,0.3,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",85
EyeIrritation6pack_PID1013,"Clothing, footwear, and similar items 6.4 16.0 16.8",,전략4_ing2pct_exact,6.4,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",86
EyeIrritation6pack_PID1013,otal 36.0 45.4 47.9,,전략4_ing2pct_exact,36.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",87
EyeIrritation6pack_PID1013,Miscellaneous 0.1 0.1 0.1,,전략4_ing2pct_exact,0.1,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",88
EyeIrritation6pack_PID1013,9    Miscellaneous                          0.1    0.1     0.1       7.9,,전략4_ing2pct_exact,100.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",89
EyeIrritation6pack_PID1013,are of manufactures in total imports 50 54,,전략4_ing2pct_exact,50.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",90
EyeIrritation6pack_PID1013,are of manufactures in imports from CARIFTA sources 25 33,,전략4_ing2pct_exact,25.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",91
EyeIrritation6pack_PID1013,hare of manufactures in total exports 4 10,,전략4_ing2pct_exact,4.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",92
EyeIrritation6pack_PID1013,are of manufactures in exports to CARIFTA destinations 26 34,,전략4_ing2pct_exact,26.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",93
EyeIrritation6pack_PID1013,ARIFTA imports 8 9,,전략4_ing2pct_exact,8.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",94
EyeIrritation6pack_PID1019,Cypermethrin,52315-07-8,전략4_ing2pct_exact,24.8,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:master_kept",103
EyeIrritation6pack_PID1027,Imazosulfuron,122548-33-8,전략4_ing2pct_exact,75.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:master_kept",127
EyeIrritation6pack_PID17,Diuron,330-54-1,전략4_ing2pct_exact,62.22,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",372
EyeIrritation6pack_PID219,flumioxazin (ISO),,전략4_ing2pct_exact,50.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",445
EyeIrritation6pack_PID328,"Diuron 3-(3,4-dichlorophenyl)-1,1-dimethylurea",,전략4_ing2pct_exact,40.7,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",638
EyeIrritation6pack_PID351,Metribuzin,,전략4_ing2pct_exact,64.3,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",684
EyeIrritation6pack_PID351,Chlorimuron ethyl,,전략4_ing2pct_exact,10.7,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",685
EyeIrritation6pack_PID351,Other/Inert Ingredients,,전략4_ing2pct_exact,25.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",687
EyeIrritation6pack_PID352,Chlorimuron ethyl,,전략4_ing2pct_exact,25.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",689
EyeIrritation6pack_PID364,Penthiopyrad,,전략4_ing2pct_exact,20.6,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",732
EyeIrritation6pack_PID413,Carfentrazone-ethyl,128639-02-1,전략4_ing2pct_exact,18.04,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:master_kept",887
EyeIrritation6pack_PID414,Glyphosate isopropylamine,38641-94-0,전략4_ing2pct_exact,49.71,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:master_kept",895
EyeIrritation6pack_PID437,cid:131) Satisfaction Guaranteed (or your money back) (cid:131) Kills Japanese beetles and other leaf feeding beetles,,전략4_ing2pct_exact,100.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=total_row_dropped",923
EyeIrritation6pack_PID486,"Lambda Lambda-cyhalothrin:[1a(S),3a(Z)]-(±))cyano(3-phenoxyphenyl)methyl",,전략4_ing2pct_exact,23.6,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1039
EyeIrritation6pack_PID486,Other Non-Toxic and non-hazardous,,전략4_ing2pct_exact,76.4,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1040
EyeIrritation6pack_PID498,Acetic acid atom % D 1 Acetic acid 100 Uatnokmno %w nD X S,,전략4_ing2pct_exact,100.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=total_row_dropped",1081
EyeIrritation6pack_PID503,Sulfoxaflor,,전략4_ing2pct_exact,21.8,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1111
EyeIrritation6pack_PID503,Propylene glycol,,전략4_ing2pct_exact,4.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1112
EyeIrritation6pack_PID503,Balance Not available,,전략4_ing2pct_exact,74.2,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1113
EyeIrritation6pack_PID574,"N’-1,2,3-thiadiazol-5-ylurea",,전략4_ing2pct_exact,42.4,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1266
EyeIrritation6pack_PID574,INERT INGREDIENTS:. . . . . . . . . . . . . . . . . . . . . . . Hold eye open and rinse slowly and gently with water for,,전략4_ing2pct_exact,57.6,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1267
EyeIrritation6pack_PID61,Isopropylamine Salt of Glyphosate,38641-94-0,전략4_ing2pct_exact,41.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1327
EyeIrritation6pack_PID691,Synonyms: Sodium Chlorite Solution,,전략4_ing2pct_exact,7.5,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1514
EyeIrritation6pack_PID691,Sodium chlorite 2 -7.8,,전략4_ing2pct_exact,7.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1515
EyeIrritation6pack_PID691,Water,,전략4_ing2pct_exact,89.2,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1516
EyeIrritation6pack_PID739,Hydrofluorosilicic Acid,16961-83-4,전략4_ing2pct_exact,25.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1610
EyeIrritation6pack_PID739,Water/Inactive Ingredients,7732-18-5,전략4_ing2pct_exact,75.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1611
EyeIrritation6pack_PID772,Neat,,전략4_ing2pct_exact,100.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=total_row_dropped",1678
EyeIrritation6pack_PID776,Calcium Limestone (>=80 - <=),,전략4_ing2pct_exact,100.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1697
EyeIrritation6pack_PID776,"Carbamide, Carbonyldiamide, Carbamidic Acid",,전략4_ing2pct_exact,97.5,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1699
EyeIrritation6pack_PID776,Alkalinity as ammonia (150 ppm max) C =,,전략4_ing2pct_exact,31.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1700
EyeIrritation6pack_PID776,XCU C =,,전략4_ing2pct_exact,11.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1704
EyeIrritation6pack_PID776,19-0-5 Prodiamine,,전략4_ing2pct_exact,0.37,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1707
EyeIrritation6pack_PID776,Oil Dri Montmorillonite ( - 93%),,전략4_ing2pct_exact,90.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1708
EyeIrritation6pack_PID776,Pesticide Prodiamine ( - 66.95 %) C = 0.6 %,,전략4_ing2pct_exact,63.05,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1709
EyeIrritation6pack_PID776,Kaolin ( - 27.63 %),,전략4_ing2pct_exact,26.03,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1710
EyeIrritation6pack_PID776,White mineral oil () n/a C = 0.6 %,,전략4_ing2pct_exact,100.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=cross_source_block_dropped:ntp_ice_kept",1711
EyeIrritation6pack_PID795,Acetone 60- <=,,전략4_ing2pct_exact,100.0,ing2_pct_value(2차수집_exact),높음,"ing2_pct_kind=exact, pct_status=total_row_dropped",1752
