Formulation_ID,ingredient_name,cas,ing_ghs_indep_eye_cat,ing_ghs_indep_skin_cat,ing_ghs_indep_sens_cat,ing2_pct_raw_text,pct_text,pct_value,동일CAS_농도참조,동일CAS_참조수,SDS존재,SDS파일,has_ghs_eye,has_ghs_skin,has_ghs_both,우선순위
EyeIrritation6pack_PID179,"Bromuconazole 1-[(2RS,4RS:2RS,4SR)-4-bromo-2-(2,4dichlorophenyl) tetrahydrofurfuryl]-1H-1,2,4-triazole",116255-48-2,NC,NC,NC,90-100%,16.7%,16.7,98.0,6,True,정채윤_GHS 조사.xlsx,True,True,True,0
EyeIrritation6pack_PID179,"Tebuconazole (RS)-1-p-chlorophenyl-4,4-dimethyl-3(1H-1,2,4-triazol-1-ylmethyl)pentan-3-ol",107534-96-3,NC,NC,NC,,10.7%,10.7,10.0,53,True,정채윤_GHS 조사.xlsx,True,True,True,0
EyeIrritation6pack_PID414,Carfentrazone-ethyl,128639-02-1,NC,NC,NC,,22.37%,22.37,0.395,4,True,정채윤_GHS 조사.xlsx,True,True,True,0
EyeIrritation6pack_PID414,2-Methylnaphthalene,91-57-6,NC,NC,NC,,<18%,18.0,15.0,1,True,정채윤_GHS 조사.xlsx,True,True,True,0
EyeIrritation6pack_PID414,Naphthalene,91-20-3,NC,NC,NC,,<10%,10.0,4.6,13,True,정채윤_GHS 조사.xlsx,True,True,True,0
EyeIrritation6pack_PID414,1-Methylnaphthalene,90-12-0,2,NC,NC,,<9%,9.0,7.5,1,True,정채윤_GHS 조사.xlsx,True,True,True,0
EyeIrritation6pack_PID675,Butan-2-one w/w,78-93-3,2,NC,NC,55.0%,55.0%,55.0,,0,True,정채윤_GHS 조사.xlsx,True,True,True,0
EyeIrritation6pack_PID675,Propan-2-ol w/w,67-63-0,1,NC,NC,5.0%,5.0%,5.0,60.0,2,True,정채윤_GHS 조사.xlsx,True,True,True,0
EyeIrritation6pack_PID675,butan-1-ol w/w,71-36-3,1,2,NC,4.0%,4.0%,4.0,0.3,2,True,정채윤_GHS 조사.xlsx,True,True,True,0
EyeIrritation6pack_PID675,triethylenetetramine w/w,112-24-3,1,1,1,1.0%,1.0%,1.0,,0,True,정채윤_GHS 조사.xlsx,True,True,True,0
EyeIrritation6pack_PID933,"Silica, amorphous - 60.00%",7631-86-9,2,2,NC,50.00-60.00%,50.00%,50.0,12.5,3,True,정채윤_GHS 조사.xlsx,True,True,True,0
EyeIrritation6pack_PID933,Gypsum (Ca(SO4).2H2O) - 5.00%,13397-24-5,NC,NC,NC,1.00-5.00%,1.00%,1.0,1.0,1,True,정채윤_GHS 조사.xlsx,True,True,True,0
MIX334,Butan-2-one w/w,78-93-3,2,NC,NC,,55.0%,55.0,,0,True,정채윤_GHS 조사.xlsx,True,True,True,0
MIX334,Propan-2-ol w/w,67-63-0,1,NC,NC,,5.0%,5.0,60.0,2,True,정채윤_GHS 조사.xlsx,True,True,True,0
MIX334,butan-1-ol w/w,71-36-3,1,2,NC,,4.0%,4.0,0.3,2,True,정채윤_GHS 조사.xlsx,True,True,True,0
MIX334,triethylenetetramine w/w,112-24-3,1,1,1,,1.0%,1.0,,0,True,정채윤_GHS 조사.xlsx,True,True,True,0
MIX614,"Bromuconazole 1-[(2RS,4RS:2RS,4SR)-4-bromo-2-(2,4dichlorophenyl) tetrahydrofurfuryl]-1H-1,2,4-triazole",116255-48-2,NC,NC,NC,98.4%,16.7%,16.7,98.0,6,True,정채윤_GHS 조사.xlsx,True,True,True,0
MIX614,"Tebuconazole (RS)-1-p-chlorophenyl-4,4-dimethyl-3(1H-1,2,4-triazol-1-ylmethyl)pentan-3-ol",107534-96-3,NC,NC,NC,,10.7%,10.7,10.0,53,True,정채윤_GHS 조사.xlsx,True,True,True,0
MIX818,Octanoic acid,124-07-2,1,1,NC,unverified,60,60.0,55.0,3,True,정채윤_GHS 조사.xlsx,True,True,True,0
MIX818,Decanoic acid,334-48-5,2,2,NC,>96 (confirmed only for mismatched pure-substance source),40,40.0,40.0,2,True,정채윤_GHS 조사.xlsx,True,True,True,0
MIX819,Octanoic acid,124-07-2,1,1,NC,unverified,55,55.0,55.0,3,True,정채윤_GHS 조사.xlsx,True,True,True,0
MIX819,Decanoic acid,334-48-5,2,2,NC,>96 (confirmed only for mismatched pure-substance source),45,45.0,40.0,2,True,정채윤_GHS 조사.xlsx,True,True,True,0
Cancer_PID_12,3'-Azido-3'-Deoxythymidine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_12,Lamivudine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_13,3'-Azido-3'-Deoxythymidine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_13,Lamivudine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_13,Nelfinavir Mesylate,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_14,3'-Azido-3'-Deoxythymidine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_14,Lamivudine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_14,Nevirapine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_141,Beta-nitrostyrene,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_141,Styrene,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_15,3'-Azido-3'-deoxythymidine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_15,"2',3'-Dideoxycytidine",,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_159,Bisether,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_159,2-Chloro-1-methylethylether,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_16,3'-Azido-3'-deoxythymidine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_16,"2',3'-Dideoxyinosine",,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_957,TEF evaluation (Binary mixture,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_957,PCB 126/PCB 153),,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_958,TEF evaluation,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_99,Aspirin,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_99,Phenacetin,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
Cancer_PID_99,Caffeine,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID10,단일 성분,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID100,Other ingredients (non-hazardous) to,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID1004,Triticonazole,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID1016,,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID1020,4-Dichlorophenoxy)aceticacid(ISO) 300g/L,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID1020,"Poly(oxy-1,2-ethanediyl),.alpha.-[(1,1,3,3-tetramethylbutyl",,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID1020,Picloram(presentashexyloxypropylaminesalt) 75g/L,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID1020,2-butoxyethanol,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID1021,"Glyphosate(asmonomethylamine,ammoniumand 450g/L)",,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
EyeIrritation6pack_PID1021,Surfactant,,,,,,,,,0,True,정채윤_GHS 조사.xlsx,False,False,False,2
