endpoint,라벨출처,라벨문서,층,n,양성,유병률,근거
eye,ntp_measured,NTP 시험 측정값,문서독립,608,116,0.1908,완제품 SDS 와 무관한 독립 시험데이터. SDS 유래 피처와 문서 공유 없음
eye,phase1_sds,Phase 1 수집 완제품 SDS 분류,문서공유_분류절,22,4,0.1818,위와 동일
eye,sds_2nd,완제품 SDS 2차 수집 분류 문구,문서공유_분류절,127,91,0.7165,위와 동일. 2차 수집분
eye,sds_2nd_sec11,완제품 SDS 11절 독성정보에서 역산,문서공유_11절,106,21,0.1981,라벨을 11절에서 읽었다. 금지 피처 t11_* 와 동일 절 — 최고 위험 층. t11_* 배제가 이 층을 지키는 유일한 장치다
eye,sds_v1,완제품 SDS 2·3절 분류 문구,문서공유_분류절,181,154,0.8508,라벨이 완제품 SDS 의 분류 선언에서 왔다. L1 피처(9절 물성)와 같은 문서
skin,ntp_measured,NTP 시험 측정값,문서독립,544,100,0.1838,완제품 SDS 와 무관한 독립 시험데이터. SDS 유래 피처와 문서 공유 없음
skin,phase1_sds,Phase 1 수집 완제품 SDS 분류,문서공유_분류절,21,5,0.2381,위와 동일
skin,sds_2nd,완제품 SDS 2차 수집 분류 문구,문서공유_분류절,115,90,0.7826,위와 동일. 2차 수집분
skin,sds_2nd_sec11,완제품 SDS 11절 독성정보에서 역산,문서공유_11절,94,14,0.1489,라벨을 11절에서 읽었다. 금지 피처 t11_* 와 동일 절 — 최고 위험 층. t11_* 배제가 이 층을 지키는 유일한 장치다
skin,sds_v1,완제품 SDS 2·3절 분류 문구,문서공유_분류절,285,147,0.5158,라벨이 완제품 SDS 의 분류 선언에서 왔다. L1 피처(9절 물성)와 같은 문서
