열,값,성분행수
ing_ghs_src,nan,4022
ing_ghs_src,phase1_cas_global,986
ing_ghs_src,phase1_row,164
ing_ghs_src,phase1_name_global,115
ing_ghs_src_url,pubchem.ncbi.nlm.nih.gov,1209
ing_ghs_src_url,ultrainternational.com,20
ing_ghs_src_url,www.chemblink.com,15
ing_ghs_src_url,corecheminc.com,12
ing_ghs_src_url,direct.hpc-j.co.jp,7
ing_ghs_src_url,hermitageoils.com,1
ing_ghs_src_url,www.chemicalbook.com,1
ing_ghs_indep_eye_tier,nan,3932
ing_ghs_indep_eye_tier,annex_vi,1144
ing_ghs_indep_eye_tier,echa_cl,211
ing_ghs_indep_eye_tier_src,nan,3932
ing_ghs_indep_eye_tier_src,annex_vi,1050
ing_ghs_indep_eye_tier_src,echa_cl,305
ing_ghs_indep_skin_tier,nan,3932
ing_ghs_indep_skin_tier,annex_vi,1248
ing_ghs_indep_skin_tier,echa_cl,107
ing_ghs_indep_skin_tier_src,nan,3932
ing_ghs_indep_skin_tier_src,annex_vi,1050
ing_ghs_indep_skin_tier_src,echa_cl,305
